Date,open,high,low,close,adj_close,volume
2002-07-01,5.200000,5.270000,5.132500,5.262500,-0.004467,5706
2002-07-02,5.250000,5.587500,5.227500,5.515000,-0.004681,23328
2002-07-03,5.522500,5.712500,5.487500,5.542500,-0.004704,26824
2002-07-04,5.702500,5.725000,5.575000,5.610000,-0.004761,11580
2002-07-05,5.625000,5.775000,5.600000,5.730000,-0.004863,13912
2002-07-08,5.800000,6.000000,5.750000,5.937500,-0.005039,20336
2002-07-09,5.875000,6.002500,5.750000,5.870000,-0.004982,25568
2002-07-10,5.950000,5.950000,5.675000,5.685000,-0.004825,6412
2002-07-11,5.925000,5.925000,5.575000,5.640000,-0.004787,6116
2002-07-12,5.377500,5.625000,5.377500,5.587500,-0.004742,4316
2002-07-15,5.555000,5.555000,5.375000,5.392500,-0.004577,2978
2002-07-16,5.375000,5.490000,5.375000,5.437500,-0.004615,2360
2002-07-17,5.377500,5.382500,5.250000,5.270000,-0.004473,8500
2002-07-18,5.250000,5.425000,5.250000,5.385000,-0.004571,7020
2002-07-19,5.400000,5.525000,5.400000,5.490000,-0.004660,2344
2002-07-22,5.300000,5.375000,5.225000,5.245000,-0.004452,5396
2002-07-23,5.175000,5.700000,5.175000,5.592500,-0.004747,12726
2002-07-24,5.552500,5.800000,5.532500,5.717500,-0.004853,21638
2002-07-25,5.750000,5.870000,5.625000,5.682500,-0.004823,15390
2002-07-26,5.675000,5.675000,5.275000,5.330000,-0.004524,9616
2002-07-29,5.225000,5.387500,5.200000,5.290000,-0.004490,5868
2002-07-30,5.400000,5.400000,5.207500,5.285000,-0.004486,8364
2002-07-31,5.250000,5.375000,5.200000,5.360000,-0.004549,4272
2002-08-01,5.350000,5.467500,5.350000,5.367500,-0.004556,10556
2002-08-02,5.265000,5.475000,5.265000,5.437500,-0.004615,4580
2002-08-05,5.500000,5.537500,5.375000,5.450000,-0.004626,20162
2002-08-06,5.475000,5.645000,5.475000,5.607500,-0.004759,9662
2002-08-07,5.632500,5.715000,5.582500,5.650000,-0.004795,5450
2002-08-08,5.600000,5.697500,5.600000,5.662500,-0.004806,6308
2002-08-09,5.600000,5.665000,5.600000,5.655000,-0.004800,2444
2002-08-12,5.662500,5.697500,5.650000,5.687500,-0.004827,2234
2002-08-13,5.625000,5.825000,5.615000,5.782500,-0.004908,3820
2002-08-14,5.825000,5.850000,5.702500,5.802500,-0.004925,2136
2002-08-15,null,null,null,null,null,null
2002-08-16,5.750000,5.800000,5.712500,5.750000,-0.004880,2846
2002-08-19,5.800000,5.825000,5.777500,5.782500,-0.004908,1478
2002-08-20,5.722500,5.750000,5.657500,5.705000,0.022998,5912
2002-08-21,5.725000,5.725000,5.620000,5.637500,0.022725,1062
2002-08-22,5.637500,5.685000,5.602500,5.605000,0.022594,1222
2002-08-23,5.577500,5.650000,5.577500,5.642500,0.022746,2048
