Date,open,high,low,close,adj_close,volume
2002-07-01,9.000000,9.000000,8.700000,8.700000,6.802492,440
2002-07-02,8.300000,9.000000,8.250000,9.000000,7.037061,605
2002-07-03,9.500000,9.500000,8.600000,8.600000,6.724302,128
2002-07-04,9.400000,10.350000,9.400000,10.350000,8.092618,1094
2002-07-05,11.800000,12.450000,11.000000,12.200000,9.539126,2069
2002-07-08,12.500000,13.450000,12.000000,12.300000,9.617316,2462
2002-07-09,12.100000,12.450000,12.000000,12.000000,9.382747,4441
2002-07-10,11.500000,12.000000,11.500000,12.000000,9.382747,501
2002-07-11,12.000000,12.000000,11.000000,11.000000,8.600853,288
2002-07-12,10.250000,11.000000,10.000000,10.000000,7.818957,1400
2002-07-15,10.000000,10.250000,9.100000,9.250000,7.232534,271
2002-07-16,8.600000,8.600000,8.600000,8.600000,6.724302,60
2002-07-17,8.250000,8.250000,7.750000,8.000000,6.255164,7325
2002-07-18,7.900000,8.800000,7.750000,8.000000,6.255164,1160
2002-07-19,8.700000,8.800000,7.500000,8.000000,6.255164,3080
2002-07-22,7.300000,7.650000,7.300000,7.650000,5.981502,238
2002-07-23,null,null,null,null,null,null
2002-07-24,7.550000,8.350000,7.000000,7.000000,5.473269,7301
2002-07-25,6.900000,6.900000,6.900000,6.900000,5.395079,1
2002-07-26,7.300000,7.300000,7.000000,7.000000,5.473269,600
2002-07-29,6.450000,6.450000,6.450000,6.450000,5.043226,100
2002-07-30,6.500000,7.100000,6.500000,7.100000,5.551459,120
2002-07-31,null,null,null,null,null,null
2002-08-01,null,null,null,null,null,null
2002-08-02,6.650000,7.700000,6.650000,7.700000,6.020596,185
2002-08-05,7.200000,7.200000,7.200000,7.200000,5.629649,160
2002-08-06,null,null,null,null,null,null
2002-08-07,7.350000,7.550000,7.300000,7.550000,5.903312,320
2002-08-08,null,null,null,null,null,null
2002-08-09,7.050000,8.200000,7.050000,8.200000,6.411544,1301
2002-08-12,7.600000,8.000000,7.600000,8.000000,6.255164,81
2002-08-13,8.700000,8.700000,8.700000,8.700000,6.802492,250
2002-08-14,8.700000,8.700000,8.700000,8.700000,6.802492,100
2002-08-15,null,null,null,null,null,null
2002-08-16,9.100000,9.150000,8.750000,8.750000,6.841586,367
2002-08-19,8.500000,8.600000,8.300000,8.300000,6.489733,778
2002-08-20,7.550000,7.800000,7.550000,7.600000,5.942407,1000
2002-08-21,7.200000,7.200000,7.200000,7.200000,5.629649,8
2002-08-22,null,null,null,null,null,null
2002-08-23,6.500000,7.250000,6.500000,7.250000,5.668743,285
2002-08-26,7.050000,7.500000,7.050000,7.250000,5.668743,800
2002-08-27,7.050000,8.000000,6.800000,7.650000,5.981502,2900
2002-08-28,7.250000,8.000000,7.250000,7.800000,6.098785,440
2002-08-29,7.100000,7.300000,6.900000,7.300000,5.707838,4200
2002-08-30,6.600000,7.000000,6.600000,6.950000,5.434174,1400
2002-09-02,6.200000,7.000000,6.200000,7.000000,5.473269,1171
2002-09-03,6.800000,6.800000,6.750000,6.800000,5.316891,160
2002-09-04,5.850000,5.850000,5.850000,5.850000,4.574089,1
2002-09-05,6.250000,6.250000,6.250000,6.250000,4.886848,30
2002-09-06,7.050000,7.050000,7.050000,7.050000,5.512364,36
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,6.550000,6.550000,6.500000,6.500000,5.082322,339
2002-09-12,null,null,null,null,null,null
2002-09-13,6.500000,6.750000,6.500000,6.750000,5.277795,1400
2002-09-16,6.750000,6.750000,6.700000,6.750000,5.277795,3500
2002-09-17,6.500000,6.500000,6.500000,6.500000,5.082322,40
2002-09-18,6.500000,6.500000,6.200000,6.500000,5.082322,1300
2002-09-19,5.950000,6.500000,5.950000,6.500000,5.082322,700
2002-09-20,5.900000,6.300000,5.900000,6.300000,4.925942,600
2002-09-23,5.900000,6.000000,5.900000,6.000000,4.691373,7400
2002-09-24,5.900000,6.000000,5.900000,5.900000,4.613184,42
2002-09-25,null,null,null,null,null,null
2002-09-26,6.000000,6.000000,6.000000,6.000000,4.691373,1
2002-09-27,6.400000,6.500000,6.400000,6.500000,5.082322,700
2002-09-30,6.400000,6.400000,6.400000,6.400000,5.004131,32
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,5.500000,5.500000,5.500000,5.500000,4.300426,22
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,null,null,null,null,null,null
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,6.500000,6.600000,6.500000,6.500000,5.082322,842
2002-10-18,6.300000,6.350000,6.300000,6.300000,4.925942,450
2002-10-21,5.550000,6.700000,5.550000,6.050000,4.730468,400
2002-10-22,6.750000,6.750000,6.000000,6.550000,5.121417,1900
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,6.000000,6.750000,6.000000,6.750000,5.277795,90
2002-10-28,6.000000,6.000000,6.000000,6.000000,4.691373,80
2002-10-29,6.100000,6.100000,6.000000,6.000000,4.691373,120
2002-10-30,6.250000,6.650000,6.100000,6.650000,5.199605,690
2002-10-31,null,null,null,null,null,null
2002-11-01,6.850000,6.900000,6.850000,6.900000,5.395079,100
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
2002-11-11,null,null,null,null,null,null
2002-11-12,null,null,null,null,null,null
2002-11-13,5.550000,6.000000,5.550000,6.000000,4.691373,200
2002-11-14,6.100000,6.100000,6.100000,6.100000,4.769563,300
2002-11-15,7.000000,7.050000,7.000000,7.050000,5.512364,900
2002-11-18,6.550000,6.750000,6.550000,6.750000,5.277795,400
2002-11-19,null,null,null,null,null,null
2002-11-20,6.550000,7.150000,6.550000,7.150000,5.590554,1500
2002-11-21,5.850000,7.650000,5.850000,7.000000,5.473269,3
2002-11-22,null,null,null,null,null,null
2002-11-25,6.800000,6.800000,6.800000,6.800000,5.316891,20
2002-11-26,6.050000,7.650000,6.050000,7.500000,5.864218,1000
2002-11-27,7.050000,7.100000,7.050000,7.100000,5.551459,224
2002-11-28,7.000000,7.000000,7.000000,7.000000,5.473269,260
2002-11-29,7.650000,7.650000,7.650000,7.650000,5.981502,200
2002-12-02,7.150000,7.150000,7.050000,7.050000,5.512364,200
2002-12-03,7.250000,7.250000,7.250000,7.250000,5.668743,2
2002-12-04,6.600000,6.600000,6.600000,6.600000,5.160511,80
2002-12-05,7.000000,7.000000,7.000000,7.000000,5.473269,700
2002-12-06,null,null,null,null,null,null
2002-12-09,null,null,null,null,null,null
2002-12-10,6.800000,6.800000,6.800000,6.800000,5.316891,1000
2002-12-11,6.600000,7.450000,6.550000,6.650000,5.199605,446
2002-12-12,7.200000,7.200000,6.600000,6.600000,5.160511,400
2002-12-13,6.650000,6.650000,6.650000,6.650000,5.199605,462
2002-12-16,7.000000,7.200000,6.550000,7.050000,5.512364,880
2002-12-17,6.350000,7.000000,6.350000,7.000000,5.473269,200
