Date,open,high,low,close,adj_close,volume
2007-08-30,363.000000,388.649994,358.100006,362.299988,302.206055,10743908
2007-08-31,363.899994,382.899994,363.450012,377.049988,314.509460,4128420
2007-09-03,365.549988,381.399994,365.549988,375.250000,313.008057,658696
2007-09-04,377.750000,380.649994,373.899994,375.850006,313.508514,674743
2007-09-05,381.350006,381.350006,371.899994,371.950012,310.255402,501266
2007-09-06,383.500000,383.500000,366.149994,367.950012,306.918915,534692
2007-09-07,373.000000,373.000000,361.000000,364.149994,303.749176,648569
2007-09-10,358.000000,362.500000,348.100006,350.100006,292.029633,455061
2007-09-11,352.000000,362.299988,348.750000,350.100006,292.029633,316050
2007-09-12,355.000000,362.000000,351.500000,358.399994,298.952972,489442
2007-09-13,361.000000,364.799988,357.200012,362.149994,302.080933,230981
2007-09-14,367.000000,386.500000,364.000000,375.299988,313.049713,1581623
2007-09-17,378.000000,384.899994,373.250000,377.850006,315.176788,760934
2007-09-18,385.000000,396.799988,384.000000,392.950012,327.772217,1127800
2007-09-19,410.000000,419.000000,403.549988,414.350006,345.622650,2357864
2007-09-20,415.000000,441.399994,411.100006,424.649994,354.214172,1784260
2007-09-21,411.000000,448.000000,411.000000,444.049988,370.396301,1135652
2007-09-24,452.500000,452.500000,430.250000,441.850006,368.561249,501071
2007-09-25,442.799988,442.799988,425.899994,436.649994,364.223755,947943
2007-09-26,401.250000,441.000000,401.250000,431.200012,359.677765,1091512
2007-09-27,439.899994,452.000000,417.000000,445.100006,371.272156,799310
2007-09-28,443.899994,449.000000,435.000000,444.549988,370.813385,379328
2007-10-01,446.500000,447.000000,425.049988,428.299988,357.258728,108516
2007-10-03,439.649994,440.000000,418.000000,428.899994,357.759186,268402
2007-10-04,421.100006,455.000000,421.100006,444.149994,370.479767,285168
2007-10-05,456.000000,465.000000,452.000000,460.450012,384.076111,371892
2007-10-08,464.799988,489.000000,455.000000,465.350006,388.163330,251996
2007-10-09,460.000000,487.000000,458.000000,482.149994,402.176758,447159
2007-10-10,488.000000,497.000000,455.149994,470.950012,392.834503,584855
2007-10-11,479.000000,486.950012,471.000000,479.000000,399.549286,292629
2007-10-12,406.000000,480.000000,406.000000,476.049988,397.088531,289970
2007-10-15,458.000000,497.000000,458.000000,480.450012,400.758698,235285
2007-10-16,489.899994,506.500000,477.000000,488.750000,407.682007,349442
2007-10-17,409.500000,505.000000,409.500000,497.899994,415.314331,325692
2007-10-18,500.299988,510.000000,440.100006,470.000000,392.042084,827585
2007-10-19,463.000000,467.000000,435.200012,458.850006,382.741516,96004
2007-10-22,402.299988,468.000000,402.299988,463.000000,386.203156,54787
2007-10-23,472.000000,472.100006,460.149994,467.649994,390.081879,106684
2007-10-24,478.000000,499.600006,455.000000,459.000000,382.866608,115307
2007-10-25,462.100006,462.899994,443.000000,446.299988,372.273163,94782
2007-10-26,443.000000,460.100006,442.000000,444.899994,371.105316,140729
2007-10-29,470.000000,470.000000,435.000000,441.000000,367.852264,62471
2007-10-30,454.700012,454.700012,442.250000,447.399994,373.190643,194745
2007-10-31,454.000000,463.000000,440.000000,453.450012,378.237183,93996
2007-11-01,450.000000,460.000000,449.000000,453.000000,377.861847,109508
2007-11-02,454.000000,455.100006,435.250000,438.600006,365.850311,48382
2007-11-05,460.950012,460.950012,429.500000,434.250000,362.221832,12499
2007-11-06,431.000000,442.299988,416.000000,424.750000,354.297577,21277
2007-11-07,436.000000,436.000000,408.000000,410.000000,341.994141,26525
2007-11-08,350.000000,405.750000,350.000000,401.850006,335.195984,50395
2007-11-12,450.000000,450.000000,371.000000,386.100006,322.058350,32563
2007-11-13,398.899994,398.899994,385.000000,391.500000,326.562714,25023
2007-11-14,398.000000,404.950012,384.000000,391.549988,326.604401,78171
2007-11-15,366.100006,405.000000,366.100006,395.000000,329.482147,41329
