Date,open,high,low,close,adj_close,volume
2002-07-01,6.850000,7.275000,6.800000,6.867500,0.036953,13400
2002-07-02,6.752500,6.752500,6.505000,6.515000,0.035056,25000
2002-07-03,null,null,null,null,null,null
2002-07-04,6.650000,7.150000,6.650000,6.900000,0.037128,49020
2002-07-05,6.900000,6.900000,6.750000,6.755000,0.036347,4000
2002-07-08,6.550000,6.997500,6.450000,6.800000,0.036590,7980
2002-07-09,6.800000,7.350000,6.800000,7.245000,0.038984,90780
2002-07-10,7.300000,7.300000,7.000000,7.217500,0.038836,40880
2002-07-11,7.400000,7.500000,7.075000,7.345000,0.039522,89380
2002-07-12,7.500000,7.800000,7.500000,7.717500,0.041526,25340
2002-07-15,7.625000,7.625000,7.355000,7.472500,0.040208,35220
2002-07-16,7.065000,7.650000,7.065000,7.442500,0.040047,17120
2002-07-17,7.050000,7.250000,7.050000,7.250000,0.039011,10680
2002-07-18,7.440000,7.440000,7.002500,7.002500,0.037679,22780
2002-07-19,7.295000,7.312500,7.125000,7.125000,0.038338,5200
2002-07-22,7.100000,7.100000,6.750000,6.807500,0.036630,28400
2002-07-23,6.750000,6.950000,6.750000,6.950000,0.037397,5040
2002-07-24,6.612500,6.612500,6.600000,6.605000,0.035540,4500
2002-07-25,6.997500,7.000000,6.997500,7.000000,0.037666,2800
2002-07-26,6.500000,6.500000,6.500000,6.500000,0.034975,2960
2002-07-29,6.500000,6.500000,6.500000,6.500000,0.227340,1420
2002-07-30,6.302500,6.302500,5.850000,5.900000,0.206354,18320
2002-07-31,null,null,null,null,null,null
2002-08-01,5.852500,5.852500,5.852500,5.852500,0.204693,3000
2002-08-02,null,null,null,null,null,null
2002-08-05,6.000000,6.300000,6.000000,6.300000,0.220345,500
2002-08-06,5.765000,5.922500,5.765000,5.922500,0.207141,400
2002-08-07,6.250000,6.250000,5.937500,5.937500,0.207666,2000
2002-08-08,null,null,null,null,null,null
2002-08-09,5.950000,5.950000,5.900000,5.915000,0.206879,1000
2002-08-12,5.900000,6.450000,5.755000,6.180000,0.216147,21920
2002-08-13,6.075000,6.075000,6.000000,6.000000,0.209852,4400
2002-08-14,6.250000,6.400000,5.925000,6.170000,0.215798,9000
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,null,null,null,null,null,null
2002-08-20,5.905000,5.905000,5.850000,5.850000,0.204606,3000
2002-08-21,5.850000,6.395000,5.850000,5.910000,0.206704,11700
2002-08-22,5.862500,6.100000,5.755000,5.877500,0.205567,13000
2002-08-23,5.737500,5.897500,5.705000,5.765000,0.201633,5140
2002-08-26,5.650000,5.650000,5.650000,5.650000,0.197611,2000
2002-08-27,6.100000,6.140000,5.710000,5.800000,0.202857,16020
2002-08-28,5.602500,5.995000,5.602500,5.950000,0.208103,1240
2002-08-29,5.675000,5.925000,5.675000,5.750000,0.201108,8400
2002-08-30,5.760000,6.120000,5.752500,6.075000,0.212475,19500
2002-09-02,5.750000,6.125000,5.712500,6.087500,0.212912,8800
2002-09-03,5.782500,6.142500,5.480000,5.900000,0.206354,45000
2002-09-04,5.675000,6.125000,5.675000,6.125000,0.214224,4000
2002-09-05,null,null,null,null,null,null
2002-09-06,6.000000,6.175000,6.000000,6.147500,0.215011,2400
2002-09-09,5.750000,5.750000,5.750000,5.750000,0.201108,1000
2002-09-10,null,null,null,null,null,null
2002-09-11,5.910000,5.910000,5.575000,5.600000,0.195862,8000
2002-09-12,6.095000,6.095000,5.512500,5.532500,0.193501,6460
2002-09-13,null,null,null,null,null,null
2002-09-16,5.630000,5.630000,5.500000,5.550000,0.194113,3620
2002-09-17,5.515000,5.515000,5.512500,5.512500,0.192801,2000
2002-09-18,5.580000,5.620000,5.580000,5.620000,0.196561,6000
2002-09-19,6.022500,6.150000,5.750000,5.882500,0.205742,9940
2002-09-20,5.990000,5.990000,5.750000,5.900000,0.206354,10500
2002-09-23,null,null,null,null,null,null
2002-09-24,5.750000,5.895000,5.750000,5.850000,0.204606,10000
2002-09-25,5.850000,5.850000,5.662500,5.755000,0.201283,10000
2002-09-26,6.045000,6.045000,5.615000,5.615000,0.196386,2240
2002-09-27,5.750000,5.990000,5.750000,5.750000,0.201108,3120
2002-09-30,null,null,null,null,null,null
2002-10-01,5.505000,5.505000,5.500000,5.500000,0.192364,3840
2002-10-02,null,null,null,null,null,null
2002-10-03,5.850000,5.850000,5.360000,5.487500,0.191927,8380
2002-10-04,5.307500,5.925000,5.307500,5.450000,0.190615,4060
2002-10-07,5.450000,5.450000,5.450000,5.450000,0.190615,17600
2002-10-08,5.210000,5.247500,5.200000,5.240000,0.183271,70800
2002-10-09,5.200000,5.475000,5.200000,5.300000,0.185369,10000
2002-10-10,5.550000,5.550000,5.300000,5.425000,0.189741,6200
2002-10-11,5.255000,5.700000,5.255000,5.625000,0.196736,113340
2002-10-14,5.425000,5.725000,5.412500,5.415000,0.189391,12400
2002-10-15,null,null,null,null,null,null
2002-10-16,5.450000,5.450000,5.450000,5.450000,0.190615,2000
2002-10-17,5.825000,5.950000,5.600000,5.600000,0.195862,8740
2002-10-18,5.535000,5.925000,5.535000,5.925000,0.207229,9000
2002-10-21,5.510000,5.510000,5.510000,5.510000,0.192714,400
2002-10-22,null,null,null,null,null,null
2002-10-23,5.400000,5.650000,5.375000,5.472500,0.191402,20000
2002-10-24,5.700000,5.700000,5.310000,5.310000,0.185719,5600
2002-10-25,5.640000,5.685000,5.310000,5.460000,0.190965,16200
2002-10-28,5.425000,5.425000,5.425000,5.425000,0.189741,6000
2002-10-29,5.800000,5.800000,5.500000,5.750000,0.201108,4400
2002-10-30,null,null,null,null,null,null
2002-10-31,5.510000,5.510000,5.510000,5.510000,0.192714,1000
2002-11-01,5.647500,5.900000,5.450000,5.550000,0.194113,4500
2002-11-04,null,null,null,null,null,null
2002-11-05,5.825000,5.850000,5.825000,5.850000,0.204606,3000
2002-11-06,null,null,null,null,null,null
2002-11-07,5.837500,5.850000,5.537500,5.850000,0.204606,20400
2002-11-08,5.750000,5.875000,5.625000,5.800000,0.202857,16000
2002-11-11,5.825000,5.825000,5.825000,5.825000,0.203731,200
2002-11-12,5.790000,5.790000,5.565000,5.700000,0.199359,164000
2002-11-13,5.825000,5.995000,5.825000,5.852500,0.204693,9000
2002-11-14,5.850000,6.000000,5.750000,5.750000,0.201108,5020
2002-11-15,5.850000,5.850000,5.850000,5.850000,0.204606,2400
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,5.750000,5.900000,5.750000,5.900000,0.206354,50160
2002-11-21,6.000000,6.060000,5.805000,5.825000,0.203731,117000
2002-11-22,null,null,null,null,null,null
2002-11-25,5.885000,5.885000,5.612500,5.612500,0.196299,20000
2002-11-26,5.840000,5.840000,5.560000,5.560000,0.194463,14000
2002-11-27,5.162500,6.100000,5.162500,6.000000,0.209852,13080
2002-11-28,6.000000,6.000000,6.000000,6.000000,0.209852,1000
2002-11-29,5.900000,6.025000,5.875000,5.880000,0.205655,9700
2002-12-02,5.900000,5.900000,5.800000,5.800000,0.202857,4500
2002-12-03,5.800000,6.140000,5.800000,6.140000,0.214748,11700
2002-12-04,6.345000,6.345000,5.680000,5.965000,0.208628,12140
2002-12-05,6.047500,6.460000,6.000000,6.317500,0.220957,132380
2002-12-06,6.950000,6.950000,6.175000,6.432500,0.224979,42980
2002-12-09,6.490000,6.490000,6.175000,6.300000,0.220345,42840
2002-12-10,6.267500,6.740000,6.252500,6.527500,0.228301,97140
2002-12-11,6.850000,7.175000,6.550000,6.970000,0.243778,203720
2002-12-12,7.300000,7.550000,7.010000,7.052500,0.246663,331900
2002-12-13,7.202500,7.347500,6.670000,6.747500,0.235996,155960
2002-12-16,6.750000,7.000000,6.507500,6.710000,0.234684,36560
2002-12-17,6.535000,6.632500,6.400000,6.450000,0.225591,13800
2002-12-18,6.745000,6.750000,6.527500,6.685000,0.233810,19100
2002-12-19,6.770000,6.770000,6.400000,6.600000,0.230837,17940
2002-12-20,6.375000,6.490000,6.300000,6.310000,0.220694,51380
2002-12-23,6.300000,6.315000,6.175000,6.242500,0.218333,29100
2002-12-24,6.400000,6.562500,6.300000,6.300000,0.220345,51000
2002-12-25,null,null,null,null,null,null
2002-12-26,6.400000,6.450000,6.175000,6.257500,0.218858,33560
2002-12-27,6.255000,6.255000,6.250000,6.250000,0.218596,7500
2002-12-30,6.150000,6.150000,6.107500,6.107500,0.213612,11900
2002-12-31,6.002500,6.715000,6.000000,6.682500,0.233723,233740
2003-01-01,6.585000,6.800000,6.582500,6.680000,0.233635,99620
2003-01-02,6.575000,6.575000,6.357500,6.422500,0.224629,22440
2003-01-03,6.450000,6.800000,6.450000,6.770000,0.236783,46140
2003-01-06,6.797500,6.800000,6.625000,6.757500,0.236346,52820
2003-01-07,6.562500,6.700000,6.562500,6.655000,0.232761,16300
2003-01-08,6.700000,6.785000,6.700000,6.737500,0.235646,65620
2003-01-09,6.750000,7.340000,6.750000,7.150000,0.250074,198380
2003-01-10,7.150000,7.302500,6.930000,6.995000,0.244652,66700
2003-01-13,6.765000,7.040000,6.765000,7.040000,0.246226,1620
2003-01-14,7.217500,7.450000,6.742500,7.387500,0.258380,252560
2003-01-15,7.547500,7.680000,7.075000,7.260000,0.253921,221460
2003-01-16,7.150000,7.397500,7.150000,7.295000,0.255145,48860
2003-01-17,7.295000,7.750000,7.295000,7.600000,0.265812,265300
2003-01-20,7.700000,7.870000,7.550000,7.622500,0.266599,95060
2003-01-21,7.900000,8.385000,7.800000,8.385000,0.293268,276360
2003-01-22,8.645000,9.225000,8.645000,9.225000,0.322647,943700
2003-01-23,9.550000,9.687500,9.300000,9.682500,0.338649,651700
2003-01-24,9.900000,10.150000,9.200000,9.382500,0.328156,1110920
2003-01-27,9.250000,9.400000,8.915000,8.915000,0.311805,171980
2003-01-28,8.505000,8.677500,8.470000,8.505000,0.297465,89660
2003-01-29,8.212500,8.932500,8.210000,8.932500,0.312417,317640
2003-01-30,9.340000,9.350000,8.750000,8.825000,0.308657,258000
2003-01-31,8.452500,8.950000,8.452500,8.917500,0.311892,51080
2003-02-03,8.995000,9.365000,8.600000,9.350000,0.327019,404200
2003-02-04,9.592500,9.600000,9.050000,9.222500,0.322560,432400
2003-02-05,9.137500,9.400000,8.905000,9.037500,0.316089,156480
2003-02-06,8.850000,9.200000,8.850000,9.087500,0.317838,35080
2003-02-07,8.955000,9.210000,8.715000,8.805000,0.307958,47900
2003-02-10,8.300000,9.190000,8.300000,8.407500,0.294055,13380
2003-02-11,9.000000,9.000000,8.270000,8.290000,0.289945,17320
2003-02-12,8.450000,8.700000,8.257500,8.560000,0.299389,49820
2003-02-13,null,null,null,null,null,null
2003-02-14,8.160000,8.492500,8.160000,8.242500,0.288284,8340
2003-02-17,8.500000,9.050000,8.500000,8.905000,0.311455,142860
2003-02-18,9.100000,9.100000,8.750000,8.825000,0.308657,113480
2003-02-19,9.000000,9.000000,8.705000,8.835000,0.309007,79500
2003-02-20,8.925000,8.925000,8.610000,8.747500,0.305947,31240
2003-02-21,8.550000,9.100000,8.360000,8.940000,0.312679,93380
2003-02-24,8.662500,8.950000,8.662500,8.825000,0.308657,7720
2003-02-25,8.687500,8.800000,8.502500,8.502500,0.297378,52400
2003-02-26,8.555000,8.750000,8.312500,8.540000,0.298689,34600
2003-02-27,8.437500,9.000000,8.437500,8.657500,0.302799,110000
2003-02-28,8.900000,8.900000,8.150000,8.380000,0.293093,49740
2003-03-03,8.905000,8.950000,8.140000,8.140000,0.284699,30020
2003-03-04,8.400000,8.400000,8.075000,8.087500,0.282863,4240
2003-03-05,7.970000,8.350000,7.970000,8.192500,0.286535,54960
2003-03-06,8.350000,8.372500,8.127500,8.127500,0.284262,3440
2003-03-07,7.805000,8.000000,7.525000,7.820000,0.273507,41840
2003-03-10,7.555000,7.695000,7.450000,7.455000,0.260741,5040
2003-03-11,7.205000,7.945000,7.000000,7.497500,0.262227,9960
2003-03-12,7.150000,7.847500,7.100000,7.500000,0.262315,14160
2003-03-13,7.400000,7.885000,6.912500,7.565000,0.264588,204320
2003-03-14,null,null,null,null,null,null
2003-03-17,7.050000,7.360000,6.762500,7.250000,0.253571,81160
2003-03-18,null,null,null,null,null,null
2003-03-19,6.977500,8.150000,6.975000,7.277500,0.254533,469400
2003-03-20,7.250000,7.375000,7.250000,7.375000,0.257943,176000
2003-03-21,7.875000,7.950000,7.300000,7.847500,0.274469,380900
2003-03-24,7.995000,8.000000,7.275000,7.375000,0.257943,65860
2003-03-25,7.055000,7.447500,7.050000,7.240000,0.253221,77540
2003-03-26,7.400000,7.400000,6.832500,6.935000,0.242554,15560
2003-03-27,6.900000,7.290000,6.850000,7.000000,0.244827,5040
2003-03-28,7.430000,7.430000,7.075000,7.077500,0.247538,6940
2003-03-31,6.800000,6.925000,6.562500,6.797500,0.237745,31460
2003-04-01,7.000000,7.180000,6.862500,6.862500,0.240018,24140
2003-04-02,7.147500,7.150000,7.007500,7.007500,0.245090,4180
2003-04-03,7.010000,7.050000,6.900000,6.940000,0.242729,6420
2003-04-04,7.050000,7.325000,7.050000,7.135000,0.249549,3220
2003-04-07,7.410000,7.425000,7.155000,7.425000,0.259692,11960
2003-04-08,6.550000,7.600000,6.550000,6.967500,0.243691,8640
2003-04-09,6.900000,7.000000,6.810000,6.995000,0.244652,16100
2003-04-10,6.775000,7.000000,6.000000,6.745000,0.235909,16760
2003-04-11,6.350000,7.095000,6.350000,6.970000,0.243778,89760
2003-04-14,null,null,null,null,null,null
2003-04-15,6.750000,7.050000,6.700000,7.050000,0.246576,50000
2003-04-16,6.997500,7.200000,6.762500,7.200000,0.251822,25800
2003-04-17,6.867500,7.040000,6.710000,6.965000,0.243603,90040
2003-04-18,null,null,null,null,null,null
2003-04-21,6.700000,7.197500,6.262500,6.862500,0.240018,10020
2003-04-22,6.900000,6.900000,6.900000,6.900000,0.241330,2000
2003-04-23,6.900000,6.900000,6.750000,6.770000,0.236783,2400
2003-04-24,6.250000,6.850000,6.250000,6.712500,0.234772,8080
2003-04-25,6.800000,6.800000,6.750000,6.800000,0.237832,7900
2003-04-28,6.400000,6.762500,6.400000,6.675000,0.233460,10580
2003-04-29,6.705000,6.840000,6.705000,6.715000,0.234859,10800
2003-04-30,6.732500,6.935000,6.732500,6.750000,0.236083,2580
2003-05-01,null,null,null,null,null,null
2003-05-02,6.750000,7.000000,6.750000,6.837500,0.239144,6680
2003-05-05,6.600000,7.075000,6.600000,7.007500,0.245090,18720
2003-05-06,7.250000,7.400000,7.002500,7.317500,0.255932,25300
2003-05-07,7.300000,7.475000,7.250000,7.445000,0.260391,46800
