Date,open,high,low,close,adj_close,volume
2002-07-01,46.099998,47.000000,46.099998,46.849998,29.083572,600
2002-07-02,46.549999,46.849998,46.250000,46.599998,28.928377,2188
2002-07-03,48.799999,48.799999,47.599998,47.599998,29.549150,1481
2002-07-04,49.000000,50.000000,48.900002,49.700001,30.852797,1921
2002-07-05,51.000000,51.400002,49.099998,49.599998,30.790718,4635
2002-07-08,50.900002,52.099998,50.900002,52.099998,32.342667,3749
2002-07-09,54.250000,54.750000,54.000000,54.750000,33.987736,3478
2002-07-10,56.900002,59.500000,53.500000,54.500000,33.832542,5709
2002-07-11,55.500000,55.500000,51.000000,52.250000,32.435783,1700
2002-07-12,54.000000,54.000000,51.400002,53.349998,33.118641,695
2002-07-15,54.000000,55.000000,52.000000,52.000000,32.280586,550
2002-07-16,52.000000,52.000000,48.000000,48.650002,30.200979,3558
2002-07-17,46.250000,46.250000,46.250000,46.250000,28.711098,50
2002-07-18,47.000000,47.849998,47.000000,47.849998,29.704359,500
2002-07-19,48.700001,48.700001,48.500000,48.500000,30.107853,251
2002-07-22,49.000000,49.000000,46.200001,46.349998,28.773186,700
2002-07-23,46.500000,47.849998,45.200001,45.799999,28.431755,525
2002-07-24,45.099998,45.099998,45.000000,45.000000,27.935127,400
2002-07-25,45.000000,45.000000,42.099998,42.500000,26.383173,2400
2002-07-26,40.250000,42.950001,40.250000,40.650002,25.234732,450
2002-07-29,42.000000,42.000000,42.000000,42.000000,26.072786,10
2002-07-30,40.250000,40.299999,40.250000,40.299999,25.017458,600
2002-07-31,42.000000,42.000000,42.000000,42.000000,26.072786,100
2002-08-01,null,null,null,null,null,null
2002-08-02,null,null,null,null,null,null
2002-08-05,41.000000,41.000000,41.000000,41.000000,25.452007,200
2002-08-06,40.000000,40.000000,39.950001,40.000000,24.831224,300
2002-08-07,38.500000,38.500000,38.500000,38.500000,23.900049,200
2002-08-08,37.500000,37.500000,37.500000,37.500000,23.279274,200
2002-08-09,null,null,null,null,null,null
2002-08-12,null,null,null,null,null,null
2002-08-13,null,null,null,null,null,null
2002-08-14,37.500000,37.500000,36.500000,36.500000,22.658491,224
2002-08-15,null,null,null,null,null,null
2002-08-16,37.750000,37.750000,37.750000,37.750000,23.434465,50
2002-08-19,37.099998,38.049999,37.099998,38.049999,23.620707,212
2002-08-20,39.900002,39.900002,38.250000,38.400002,23.837980,346
2002-08-21,39.799999,40.000000,39.500000,39.849998,24.738104,350
2002-08-22,null,null,null,null,null,null
2002-08-23,40.000000,40.000000,40.000000,40.000000,24.831224,250
2002-08-26,null,null,null,null,null,null
2002-08-27,38.200001,38.200001,37.250000,37.250000,23.124075,300
2002-08-28,null,null,null,null,null,null
2002-08-29,null,null,null,null,null,null
2002-08-30,36.500000,36.750000,36.250000,36.250000,22.503296,600
2002-09-02,35.750000,36.250000,35.750000,36.250000,22.503296,250
2002-09-03,null,null,null,null,null,null
2002-09-04,34.250000,35.049999,34.250000,35.000000,21.727320,170
2002-09-05,35.049999,35.049999,35.000000,35.000000,21.727320,112
2002-09-06,35.049999,35.049999,34.900002,35.000000,21.727320,218
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,null,null,null,null,null,null
