Date,open,high,low,close,adj_close,volume
2011-06-17,29.990000,29.990000,26.299999,28.355000,25.987503,158520
2011-06-20,27.200001,27.200001,26.205000,26.230000,24.039930,5040
2011-06-21,25.799999,26.469999,25.010000,25.750000,23.600006,3990
2011-06-22,23.200001,26.795000,23.200001,24.504999,22.458961,90
2011-06-23,24.004999,25.900000,24.004999,25.000000,22.912626,950
2011-06-24,24.000000,25.879999,24.000000,25.775000,23.622921,590
2011-06-27,25.799999,28.135000,24.900000,27.120001,24.855621,9560
2011-06-28,26.004999,27.700001,25.600000,27.495001,25.199312,2230
2011-06-29,27.855000,27.889999,27.100000,27.745001,25.428436,780
2011-06-30,28.879999,30.200001,25.700001,29.975000,27.472244,1118290
2011-07-01,29.975000,29.995001,28.275000,29.084999,26.656549,2200
2011-07-04,29.100000,29.495001,29.100000,29.250000,26.807775,2600
2011-07-05,28.799999,29.200001,27.575001,27.719999,25.405521,220
2011-07-06,29.995001,29.995001,28.094999,28.299999,25.937096,730
2011-07-07,29.799999,30.000000,27.500000,29.705000,27.224785,6020
2011-07-08,28.100000,29.995001,28.100000,28.775000,26.372433,253130
2011-07-11,28.110001,28.495001,27.440001,27.600000,25.295542,2110
2011-07-12,26.600000,27.900000,26.600000,27.500000,25.203890,2810
2011-07-13,27.500000,30.000000,27.500000,29.584999,27.114801,298060
2011-07-14,29.600000,30.000000,29.549999,30.000000,27.495153,10040
2011-07-15,29.004999,30.000000,29.004999,29.995001,27.490572,317400
2011-07-18,31.000000,31.500000,30.400000,31.370001,28.750769,39150
2011-07-19,32.400002,32.985001,31.500000,32.599998,29.878067,29480
2011-07-20,33.040001,33.040001,31.750000,32.099998,29.419815,17770
2011-07-21,31.605000,31.745001,30.219999,30.665001,28.104631,258070
2011-07-22,30.090000,30.889999,29.700001,30.025000,27.518064,7050
2011-07-25,30.100000,30.100000,29.700001,30.000000,27.495153,5760
2011-07-26,30.110001,30.110001,28.500000,28.990000,26.569487,285370
