Date,open,high,low,close,adj_close,volume
2006-03-08,60.000000,60.000000,42.099998,47.099998,31.160225,5354514
2006-03-09,47.500000,49.250000,46.250000,46.750000,30.928675,613000
2006-03-10,47.599998,47.950001,43.049999,43.599998,28.844707,367500
2006-03-13,44.799999,44.849998,40.299999,40.599998,26.859976,233300
2006-03-14,40.400002,48.750000,39.000000,46.299999,30.630960,2303300
2006-03-16,46.700001,46.700001,42.450001,42.799999,28.315449,444300
2006-03-17,42.599998,42.799999,41.000000,41.150002,27.223850,192900
2006-03-20,41.500000,43.700001,40.400002,41.500000,27.455400,273800
2006-03-21,42.450001,42.750000,40.049999,40.599998,26.859976,114500
2006-03-22,40.700001,40.900002,39.000000,39.250000,25.966852,69800
2006-03-23,39.250000,40.250000,38.099998,38.450001,25.437599,124000
2006-03-24,38.950001,39.299999,36.549999,36.950001,24.445229,108700
2006-03-27,38.049999,38.500000,35.799999,36.150002,23.915970,89800
2006-03-28,36.099998,36.700001,32.849998,33.349998,22.063553,98500
2006-03-29,34.450001,35.450001,33.500000,33.799999,22.361265,81794
2006-03-30,34.000000,35.400002,34.000000,34.299999,22.692053,48400
2006-03-31,34.000000,37.299999,33.200001,36.099998,23.882887,135500
2006-04-03,36.099998,36.700001,36.000000,36.200001,23.949049,35600
2006-04-04,36.500000,37.250000,36.250000,36.500000,24.147520,41400
2006-04-05,35.150002,37.500000,35.150002,36.549999,24.180593,25100
2006-04-07,34.099998,39.000000,34.099998,36.299999,24.015203,36300
2006-04-10,35.000000,36.799999,34.799999,35.450001,23.452864,15200
2006-04-12,33.099998,39.099998,33.099998,35.650002,23.585186,148837
2006-04-13,36.400002,36.450001,34.500000,35.000000,23.155153,28500
2006-04-17,37.599998,37.650002,34.500000,34.750000,22.989761,21900
2006-04-18,34.099998,36.750000,34.099998,35.400002,23.419786,68900
2006-04-19,37.000000,37.000000,32.549999,32.950001,21.798925,41400
2006-04-20,33.099998,39.549999,33.000000,36.599998,24.213675,218700
2006-04-21,33.099998,38.799999,33.099998,36.250000,23.982124,94500
2006-04-24,36.000000,36.700001,35.200001,36.000000,23.816732,29600
2006-04-25,35.900002,35.900002,32.750000,34.700001,22.956682,21600
2006-04-26,33.099998,41.599998,33.099998,34.849998,23.055920,22500
2006-04-27,35.500000,35.900002,34.250000,34.500000,22.824369,19700
2006-04-28,32.599998,35.849998,30.200001,33.450001,22.129709,18498
2006-05-02,34.799999,36.950001,33.500000,34.599998,22.890520,90400
2006-05-03,35.200001,35.200001,33.799999,33.849998,22.394344,109400
2006-05-04,34.299999,35.000000,33.950001,34.150002,22.592815,20200
2006-05-05,34.000000,35.349998,33.799999,34.349998,22.725132,40000
2006-05-08,34.900002,35.099998,34.200001,34.450001,22.791292,25200
2006-05-09,33.900002,34.599998,33.900002,34.299999,22.692053,19500
2006-05-10,34.750000,35.000000,33.700001,34.099998,22.559732,17000
2006-05-11,30.150000,34.900002,30.150000,33.650002,22.262030,16600
2006-05-12,32.250000,34.750000,32.250000,33.700001,22.295107,25800
2006-05-15,33.650002,34.500000,33.099998,33.950001,22.460501,43900
2006-05-16,34.000000,34.000000,31.549999,32.099998,21.236586,29200
2006-05-17,31.000000,34.500000,31.000000,33.000000,21.832005,7100
2006-05-18,32.599998,34.000000,29.500000,30.000000,19.847277,36500
2006-05-19,31.100000,31.900000,28.000000,28.600000,18.921072,22200
2006-05-22,29.000000,30.500000,23.100000,25.500000,16.870184,55900
2006-05-23,26.000000,28.000000,23.150000,26.799999,17.730232,15700
2006-05-24,28.400000,28.400000,25.549999,26.250000,17.366367,15100
2006-05-25,25.000000,26.299999,25.000000,26.049999,17.234051,2900
2006-05-26,25.900000,27.650000,25.900000,27.000000,17.862549,10300
2006-05-29,28.000000,32.400002,26.600000,31.250000,20.674244,33500
2006-05-30,32.500000,32.950001,30.549999,30.799999,20.376535,43800
2006-05-31,29.549999,29.549999,25.600000,27.900000,18.457968,20704
2006-06-01,27.150000,29.500000,27.000000,27.150000,17.961786,7200
2006-06-02,25.549999,26.450001,25.100000,25.750000,17.035578,8400
2006-06-05,26.000000,26.100000,25.250000,25.450001,16.837105,6300
2006-06-06,25.299999,25.299999,24.000000,24.100000,15.943981,8100
2006-06-07,24.500000,24.700001,21.000000,21.200001,14.025409,12800
2006-06-08,21.000000,21.700001,17.799999,18.100000,11.974524,25500
2006-06-09,18.500000,20.350000,18.299999,19.400000,12.834573,10700
2006-06-12,20.000000,20.000000,18.250000,19.000000,12.569943,20600
2006-06-13,18.000000,19.700001,16.600000,17.400000,11.511420,58800
2006-06-14,19.549999,19.549999,15.750000,16.049999,10.618293,6800
2006-06-15,18.000000,18.000000,16.100000,17.700001,11.709893,8591
2006-06-16,17.900000,19.200001,17.049999,18.350000,12.139916,15632
2006-06-19,17.299999,19.900000,17.100000,19.200001,12.702258,11000
2006-06-20,19.750000,20.799999,18.400000,19.500000,12.900730,9200
2006-06-21,19.049999,21.000000,19.049999,20.700001,13.694623,13400
2006-06-22,21.000000,22.000000,21.000000,21.750000,14.389276,23300
2006-06-23,21.700001,21.900000,20.799999,21.650000,14.323116,7800
2006-06-26,20.150000,22.900000,20.150000,21.350000,14.124645,13200
2006-06-27,20.500000,20.600000,19.650000,19.850000,13.132282,6400
2006-06-28,18.850000,20.400000,18.850000,19.650000,12.999965,3900
2006-06-29,19.100000,23.600000,19.100000,19.299999,12.768414,13600
2006-06-30,19.799999,20.450001,19.799999,20.049999,13.264598,8000
2006-07-03,22.950001,22.950001,19.799999,19.900000,13.165360,3300
2006-07-04,22.000000,22.000000,19.850000,19.850000,13.132282,2900
2006-07-05,20.750000,20.750000,19.700001,19.799999,13.099204,4300
2006-07-06,19.450001,20.250000,18.900000,19.600000,12.966885,4000
2006-07-07,19.150000,20.200001,19.150000,19.500000,12.900730,4600
2006-07-10,19.049999,19.500000,19.000000,19.000000,12.569943,3500
2006-07-11,19.100000,19.750000,18.600000,18.799999,12.437625,12300
2006-07-12,18.549999,18.900000,18.200001,18.500000,12.239153,7100
2006-07-13,18.299999,18.950001,18.250000,18.650000,12.338390,7700
2006-07-14,18.250000,18.400000,18.049999,18.100000,11.974524,4500
2006-07-17,18.100000,19.000000,18.100000,18.549999,12.620875,7300
