Date,open,high,low,close,adj_close,volume
2008-08-21,149.699997,149.699997,16.600000,17.450001,12.940951,16297200
2008-08-22,18.250000,18.900000,16.350000,17.150000,12.718470,3338425
2008-08-25,18.100000,18.100000,14.800000,15.700000,11.643148,1579106
2008-08-26,15.450000,15.450000,12.600000,12.600000,9.344182,3306800
2008-08-27,12.600000,14.400000,11.500000,13.500000,10.011623,3679165
2008-08-28,13.600000,14.400000,12.550000,13.000000,9.640822,1151300
2008-08-29,13.500000,13.850000,12.700000,12.950000,9.603744,820493
2008-09-01,12.950000,13.200000,12.350000,12.650000,9.381261,445460
2008-09-02,12.800000,13.700000,12.500000,12.900000,9.566664,936212
2008-09-04,12.900000,12.900000,12.300000,12.500000,9.270022,421500
2008-09-05,12.350000,13.350000,12.100000,13.050000,9.677903,4047741
2008-09-08,13.400000,13.600000,12.800000,12.850000,9.529582,764606
2008-09-09,12.900000,13.100000,12.600000,12.700000,9.418342,188800
2008-09-10,12.500000,12.850000,12.100000,12.250000,9.084621,220000
2008-09-11,12.500000,12.500000,11.550000,11.600000,8.602581,254992
2008-09-12,12.000000,12.000000,10.650000,10.950000,8.120540,370366
2008-09-15,10.900000,10.900000,9.150000,9.400000,6.971056,333500
2008-09-16,9.150000,9.150000,8.450000,8.850000,6.563175,511041
2008-09-17,8.800000,9.200000,8.100000,8.350000,6.192375,386100
2008-09-18,8.100000,8.250000,7.000000,8.050000,5.969894,720710
2008-09-19,9.000000,9.000000,7.850000,8.100000,6.006974,450800
2008-09-22,8.100000,8.600000,7.900000,8.300000,6.155295,305455
2008-09-23,8.000000,8.250000,7.950000,7.950000,5.895734,103600
2008-09-24,8.200000,8.200000,7.700000,7.750000,5.747413,138000
2008-09-25,7.900000,7.950000,7.700000,7.750000,5.747413,95988
2008-09-26,7.800000,7.800000,7.150000,7.350000,5.450773,130976
2008-09-29,6.600000,7.900000,6.000000,6.200000,4.597931,311700
2008-09-30,5.700000,6.350000,5.150000,6.050000,4.486691,424834
2008-10-01,5.950000,6.450000,5.950000,6.250000,4.635011,170146
2008-10-03,6.050000,7.500000,6.000000,7.500000,5.562013,456800
2008-10-06,7.800000,8.000000,6.650000,7.000000,5.191212,251138
2008-10-07,7.250000,7.300000,6.800000,7.000000,5.191212,173668
2008-10-08,6.300000,6.600000,5.600000,6.200000,4.597931,286950
2008-10-10,5.750000,6.400000,5.250000,5.500000,4.078809,91965
2008-10-13,5.700000,6.400000,5.700000,6.050000,4.486691,177932
2008-10-14,6.400000,6.500000,6.000000,6.100000,4.523771,89800
2008-10-15,6.000000,6.150000,5.400000,5.600000,4.152970,100838
2008-10-16,5.500000,5.700000,5.200000,5.450000,4.041729,108516
2008-10-17,5.700000,5.800000,5.250000,5.300000,3.930489,81432
2008-10-20,5.000000,5.600000,5.000000,5.400000,4.004650,58268
2008-10-21,5.350000,5.600000,5.200000,5.300000,3.930489,40500
2008-10-22,5.550000,5.550000,5.200000,5.300000,3.930489,62545
2008-10-23,5.100000,5.250000,4.900000,4.950000,3.670928,58900
2008-10-24,4.550000,4.900000,4.300000,4.400000,3.263048,100404
2008-10-27,4.100000,5.000000,3.950000,4.700000,3.485528,95828
2008-10-29,5.400000,5.900000,5.000000,5.050000,3.745089,82900
2008-10-31,5.000000,5.300000,4.950000,5.000000,3.708009,68875
2008-11-03,5.100000,5.400000,4.900000,5.000000,3.708009,106300
2008-11-04,4.950000,5.400000,4.950000,5.200000,3.856329,94908
2008-11-05,5.200000,5.450000,4.950000,5.000000,3.708009,60939
2008-11-06,4.500000,5.150000,4.500000,4.900000,3.633849,32700
2008-11-07,5.350000,5.350000,4.900000,5.250000,3.893410,30300
2008-11-10,5.100000,5.400000,5.100000,5.300000,3.930489,44639
2008-11-11,5.000000,5.500000,5.000000,5.050000,3.745089,36015
2008-11-12,5.000000,5.200000,4.400000,4.550000,3.374288,79866
2008-11-14,4.600000,5.000000,4.550000,4.600000,3.411368,99900
2008-11-17,4.600000,5.000000,4.500000,4.550000,3.374288,51244
2008-11-18,4.600000,4.600000,4.250000,4.400000,3.263048,45100
2008-11-19,4.250000,4.600000,4.150000,4.250000,3.151808,16587
2008-11-20,4.100000,4.150000,3.400000,3.500000,2.595606,218700
2008-11-21,3.500000,3.750000,3.350000,3.700000,2.743927,45352
2008-11-24,3.750000,3.850000,3.600000,3.750000,2.781007,32615
2008-11-25,3.900000,3.900000,3.500000,3.700000,2.743927,32857
2008-11-26,3.900000,3.900000,3.350000,3.600000,2.669766,38120
2008-11-27,null,null,null,null,null,null
2008-11-28,3.300000,3.800000,3.050000,3.350000,2.484366,34929
2008-12-01,3.400000,3.850000,3.100000,3.700000,2.743927,71500
2008-12-02,3.400000,3.950000,3.400000,3.800000,2.818087,21285
2008-12-03,4.000000,4.200000,3.600000,4.000000,2.966407,58600
2008-12-04,4.000000,4.650000,3.900000,4.350000,3.225968,115400
2008-12-05,4.250000,4.950000,4.050000,4.200000,3.114727,33500
2008-12-08,4.150000,4.450000,4.000000,4.150000,3.077647,42872
2008-12-10,4.100000,4.450000,4.050000,4.300000,3.188888,71271
2008-12-11,4.450000,4.450000,4.250000,4.350000,3.225968,35300
2008-12-12,4.350000,4.450000,4.150000,4.350000,3.225968,40000
2008-12-15,4.650000,4.800000,4.300000,4.700000,3.485528,76733
2008-12-16,4.950000,4.950000,4.400000,4.550000,3.374288,174004
2008-12-17,4.600000,4.700000,4.100000,4.200000,3.114727,124676
2008-12-18,4.250000,4.300000,3.900000,4.000000,2.966407,116200
2008-12-19,4.000000,4.450000,4.000000,4.350000,3.225968,91637
2008-12-22,4.350000,4.500000,4.000000,4.000000,2.966407,165798
2008-12-23,4.050000,4.100000,3.950000,4.050000,3.003487,53500
2008-12-24,4.100000,4.100000,3.850000,4.050000,3.003487,36200
2008-12-26,4.100000,4.150000,3.700000,3.900000,2.892247,38132
2008-12-29,3.950000,4.100000,3.850000,4.050000,3.003487,21900
2008-12-30,3.950000,4.100000,3.950000,4.100000,3.040567,25600
2008-12-31,4.050000,4.200000,4.050000,4.200000,3.114727,23100
2009-01-02,4.200000,4.800000,4.100000,4.650000,3.448449,199252
2009-01-05,5.200000,5.200000,4.550000,4.950000,3.670928,109100
2009-01-06,5.050000,5.200000,4.850000,4.900000,3.633849,91139
2009-01-07,5.450000,5.450000,3.950000,4.150000,3.077647,119400
2009-01-09,3.800000,4.000000,3.400000,3.850000,2.855167,63657
2009-01-12,3.800000,4.000000,3.750000,3.800000,2.818087,52100
2009-01-13,3.800000,4.150000,3.700000,4.050000,3.003487,38782
2009-01-14,4.150000,4.150000,3.750000,3.850000,2.855167,85183
2009-01-15,3.800000,3.800000,3.500000,3.550000,2.632686,102100
2009-01-16,3.550000,3.700000,3.500000,3.650000,2.706846,27200
2009-01-19,3.700000,3.800000,3.600000,3.750000,2.781007,46006
2009-01-20,4.000000,4.000000,3.650000,3.850000,2.855167,37533
2009-01-21,3.700000,3.950000,3.700000,3.850000,2.855167,32492
2009-01-22,3.800000,3.900000,3.750000,3.800000,2.818087,33799
2009-01-23,3.750000,3.750000,3.550000,3.650000,2.706846,44007
2009-01-27,3.700000,4.000000,3.600000,3.750000,2.781007,32703
2009-01-28,3.700000,3.950000,3.700000,3.900000,2.892247,34700
2009-01-29,3.900000,3.950000,3.650000,3.900000,2.892247,33761
2009-01-30,3.850000,4.000000,3.750000,3.900000,2.892247,21711
2009-02-02,3.950000,3.950000,3.600000,3.700000,2.743927,29264
2009-02-03,3.550000,4.050000,3.550000,3.950000,2.929327,77610
2009-02-04,4.600000,4.600000,3.800000,4.000000,2.966407,45921
2009-02-05,4.000000,4.100000,3.900000,3.950000,2.929327,25202
2009-02-06,3.900000,4.000000,3.700000,3.850000,2.855167,56700
2009-02-09,3.900000,3.950000,3.800000,3.850000,2.855167,25785
2009-02-10,3.900000,3.900000,3.800000,3.850000,2.855167,48075
2009-02-11,3.800000,3.950000,3.700000,3.850000,2.855167,19954
2009-02-12,3.800000,4.000000,3.800000,3.950000,2.929327,35217
2009-02-13,3.950000,4.000000,3.900000,4.000000,2.966407,82000
2009-02-16,4.000000,4.000000,3.750000,3.800000,2.818087,33206
2009-02-17,3.800000,3.800000,3.650000,3.650000,2.706846,16400
2009-02-18,3.550000,3.900000,3.550000,3.800000,2.818087,26694
2009-02-19,3.750000,3.850000,3.700000,3.700000,2.743927,18500
2009-02-20,3.800000,3.800000,3.600000,3.600000,2.669766,12800
2009-02-24,3.400000,3.750000,3.400000,3.500000,2.595606,41300
2009-02-25,3.600000,3.850000,3.500000,3.600000,2.669766,49341
2009-02-26,3.700000,3.700000,3.500000,3.650000,2.706846,8400
2009-02-27,3.650000,3.700000,3.500000,3.550000,2.632686,11546
2009-03-02,3.550000,3.550000,3.200000,3.300000,2.447286,56878
2009-03-03,3.250000,3.450000,3.100000,3.150000,2.336046,38100
2009-03-04,3.200000,3.200000,3.000000,3.150000,2.336046,23600
2009-03-05,3.100000,3.150000,3.000000,3.000000,2.224805,27100
2009-03-06,3.000000,3.100000,2.900000,3.000000,2.224805,40900
2009-03-09,3.000000,3.050000,2.900000,3.000000,2.224805,17300
2009-03-12,3.000000,3.150000,2.950000,3.050000,2.261885,34583
2009-03-13,3.000000,3.100000,3.000000,3.000000,2.224805,17524
2009-03-16,3.100000,3.300000,3.000000,3.100000,2.298965,32104
2009-03-17,3.100000,3.200000,3.050000,3.100000,2.298965,35200
2009-03-18,3.300000,3.300000,3.050000,3.200000,2.373126,30300
2009-03-19,3.150000,3.400000,3.150000,3.300000,2.447286,29727
2009-03-20,3.200000,3.300000,3.100000,3.200000,2.373126,27402
2009-03-23,3.150000,3.850000,3.150000,3.850000,2.855167,95700
2009-03-24,4.300000,4.500000,3.800000,3.950000,2.929327,123600
2009-03-25,4.200000,4.200000,3.950000,4.100000,3.040567,57408
2009-03-26,4.200000,4.500000,4.000000,4.200000,3.114727,81383
2009-03-27,4.000000,4.200000,3.800000,4.000000,2.966407,109400
2009-03-30,4.000000,4.050000,3.850000,3.900000,2.892247,38228
2009-03-31,3.800000,4.250000,3.800000,4.050000,3.003487,33529
2009-04-01,4.050000,4.050000,3.900000,4.000000,2.966407,31000
2009-04-02,4.100000,4.250000,3.950000,4.150000,3.077647,98065
2009-04-06,4.500000,4.500000,4.100000,4.200000,3.114727,52400
2009-04-08,4.050000,4.900000,4.050000,4.550000,3.374288,122967
2009-04-09,5.000000,5.200000,4.650000,5.100000,3.782169,112600
2009-04-13,5.550000,5.550000,4.750000,4.950000,3.670928,209902
2009-04-15,4.950000,5.150000,4.600000,4.950000,3.670928,223981
2009-04-16,5.050000,5.300000,4.500000,4.650000,3.448449,246356
2009-04-17,5.000000,5.000000,4.700000,4.750000,3.522608,87362
2009-04-20,5.000000,5.000000,4.550000,4.550000,3.374288,26036
2009-04-21,4.400000,4.700000,4.350000,4.550000,3.374288,20021
2009-04-22,4.650000,4.700000,4.650000,4.700000,3.485528,14475
2009-04-23,4.950000,4.950000,4.800000,4.800000,3.559689,25300
2009-04-24,4.900000,5.000000,4.650000,4.900000,3.633849,45715
2009-04-27,5.000000,5.150000,4.700000,5.100000,3.782169,42583
2009-04-28,5.350000,5.350000,4.850000,5.000000,3.708009,39605
2009-04-29,4.900000,5.100000,4.800000,5.000000,3.708009,17470
2009-04-30,null,null,null,null,null,null
2009-05-04,5.000000,5.000000,4.700000,4.800000,3.559689,23300
2009-05-05,4.650000,4.700000,4.600000,4.600000,3.411368,21234
2009-05-06,4.400000,4.800000,4.400000,4.400000,3.263048,9660
2009-05-07,4.550000,4.650000,4.200000,4.650000,3.448449,15543
2009-05-08,4.500000,4.800000,4.400000,4.650000,3.448449,15926
2009-05-11,4.350000,4.600000,4.350000,4.450000,3.300128,40701
2009-05-12,4.450000,4.700000,4.350000,4.600000,3.411368,68089
2009-05-13,4.500000,4.650000,4.300000,4.300000,3.188888,49182
2009-05-14,4.400000,4.600000,4.400000,4.600000,3.411368,20222
2009-05-15,4.850000,4.850000,4.500000,4.550000,3.374288,81614
2009-05-18,4.550000,4.550000,4.550000,4.550000,3.374288,0
2009-05-19,4.650000,4.800000,4.650000,4.800000,3.559689,23100
2009-05-20,5.000000,5.050000,4.900000,5.050000,3.745089,14000
2009-05-21,5.300000,5.300000,5.300000,5.300000,3.930489,15000
2009-05-22,5.300000,5.600000,5.300000,5.600000,4.152970,44100
2009-05-25,5.650000,5.900000,5.650000,5.900000,4.375450,9600
2009-05-26,6.150000,6.200000,6.150000,6.200000,4.597931,86200
2009-05-27,6.500000,6.550000,6.350000,6.550000,4.857491,60300
2009-05-28,6.900000,6.900000,6.900000,6.900000,5.117052,6000
2009-05-29,7.250000,7.250000,7.250000,7.250000,5.376613,16200
2009-06-01,7.650000,7.650000,7.650000,7.650000,5.673254,23000
2009-06-02,8.050000,8.050000,7.300000,8.050000,5.969894,388400
2009-06-03,8.450000,8.450000,8.300000,8.450000,6.266534,78200
2009-06-04,8.600000,8.900000,8.600000,8.900000,6.600256,108600
2009-06-05,9.350000,9.350000,9.300000,9.350000,6.933977,106500
2009-06-08,9.800000,9.850000,8.900000,9.000000,6.674416,266400
2009-06-09,9.300000,9.400000,8.700000,8.900000,6.600256,93500
2009-06-10,8.700000,9.250000,8.400000,8.450000,6.266534,69900
2009-06-11,8.000000,8.300000,8.000000,8.000000,5.932814,44000
2009-06-12,7.600000,8.200000,7.600000,7.650000,5.673254,64900
2009-06-15,7.650000,8.000000,7.300000,8.000000,5.932814,59500
2009-06-16,8.000000,8.250000,7.550000,8.100000,6.006974,49900
2009-06-17,8.050000,8.400000,7.800000,8.000000,5.932814,26700
2009-06-18,7.850000,8.050000,7.500000,7.500000,5.562013,17100
2009-06-19,7.500000,7.500000,7.150000,7.250000,5.376613,26300
2009-06-22,7.550000,7.550000,7.000000,7.300000,5.413693,37700
2009-06-23,7.150000,7.550000,6.900000,7.300000,5.413693,36200
2009-06-24,7.450000,7.700000,7.450000,7.700000,5.710334,36400
2009-06-25,7.950000,8.050000,7.950000,8.050000,5.969894,34100
2009-06-26,8.450000,8.450000,8.450000,8.450000,6.266534,23800
2009-06-29,8.850000,8.900000,8.600000,8.600000,6.377775,48600
2009-06-30,8.600000,9.150000,8.300000,8.500000,6.303615,39300
2009-07-01,8.600000,8.600000,8.200000,8.600000,6.377775,22200
2009-07-02,8.250000,8.300000,8.100000,8.100000,6.006974,9000
2009-07-03,8.000000,8.150000,7.700000,7.700000,5.710334,31100
2009-07-06,8.000000,8.200000,7.600000,7.650000,5.673254,26500
2009-07-07,8.000000,8.000000,7.250000,7.350000,5.450773,22000
2009-07-08,7.550000,7.550000,7.150000,7.250000,5.376613,19300
2009-07-09,6.850000,7.100000,6.850000,7.000000,5.191212,23800
2009-07-10,7.000000,7.050000,6.650000,6.650000,4.931652,20300
2009-07-13,6.350000,6.600000,6.350000,6.350000,4.709171,19000
2009-07-14,6.350000,6.700000,6.350000,6.600000,4.894572,14400
2009-07-15,6.450000,6.950000,6.450000,6.950000,5.154132,11200
2009-07-16,6.950000,7.200000,6.750000,6.900000,5.117052,14082
2009-07-17,6.800000,7.200000,6.800000,6.850000,5.079972,32818
2009-07-20,6.900000,7.200000,6.900000,7.200000,5.339532,11900
2009-07-21,7.550000,7.600000,7.200000,7.600000,5.636173,73700
2009-07-22,7.950000,8.000000,7.700000,7.850000,5.821574,61100
2009-07-23,8.300000,8.300000,7.550000,7.700000,5.710334,57200
2009-07-24,7.800000,7.900000,7.350000,7.850000,5.821574,18800
2009-07-27,7.950000,8.000000,7.450000,7.900000,5.858653,47700
2009-07-28,8.300000,8.300000,7.650000,7.850000,5.821574,30200
2009-07-29,7.850000,8.000000,7.500000,7.500000,5.562013,30700
2009-07-30,7.750000,8.000000,7.600000,8.000000,5.932814,22100
2009-07-31,8.000000,8.050000,7.650000,7.700000,5.710334,42800
2009-08-03,7.850000,8.000000,7.500000,7.900000,5.858653,34300
2009-08-04,7.900000,8.000000,7.550000,7.900000,5.858653,14900
2009-08-05,8.000000,8.250000,8.000000,8.250000,6.118215,282800
2009-08-06,8.650000,8.700000,8.550000,8.700000,6.451935,39100
