Date,open,high,low,close,adj_close,volume
2002-07-01,40.500000,40.950001,40.000000,40.750000,27.465815,1837
2002-07-02,41.000000,42.250000,40.099998,42.250000,28.476820,895
2002-07-03,43.650002,43.650002,40.900002,41.150002,27.735415,900
2002-07-04,40.400002,43.250000,40.349998,43.250000,29.150833,3246
2002-07-05,44.549999,45.450001,43.500000,43.900002,29.588936,2250
2002-07-08,46.099998,46.099998,46.099998,46.099998,31.071754,1
2002-07-09,47.799999,48.450001,47.799999,48.450001,32.655666,728
2002-07-10,49.000000,51.500000,45.549999,46.500000,31.341345,4704
2002-07-11,46.700001,46.700001,45.250000,45.250000,30.498842,1270
2002-07-12,44.250000,45.000000,41.049999,41.150002,27.735415,3077
2002-07-15,44.000000,44.000000,40.000000,40.200001,27.095104,3248
2002-07-16,40.099998,40.099998,40.000000,40.000000,26.960306,327
2002-07-17,38.000000,38.799999,37.500000,38.400002,25.881893,1100
2002-07-18,39.000000,39.000000,39.000000,39.000000,26.286297,300
2002-07-19,40.000000,40.000000,40.000000,40.000000,26.960306,30
2002-07-22,38.099998,38.099998,38.099998,38.099998,25.679689,500
2002-07-23,null,null,null,null,null,null
2002-07-24,37.000000,37.000000,37.000000,37.000000,24.938278,200
2002-07-25,37.200001,37.200001,37.099998,37.099998,25.005680,125
2002-07-26,37.500000,37.500000,34.000000,35.000000,23.590263,595
2002-07-29,null,null,null,null,null,null
2002-07-30,null,null,null,null,null,null
2002-07-31,null,null,null,null,null,null
2002-08-01,33.900002,34.549999,33.900002,34.549999,23.286963,400
2002-08-02,36.000000,36.000000,36.000000,36.000000,24.264277,55
2002-08-05,37.400002,37.400002,36.200001,36.200001,24.399071,345
2002-08-06,38.500000,38.500000,38.500000,38.500000,25.949293,14
2002-08-07,39.099998,40.500000,39.000000,39.700001,26.758104,800
2002-08-08,41.750000,41.799999,38.500000,38.750000,26.117794,678
2002-08-09,35.000000,40.000000,35.000000,39.599998,26.690699,707
2002-08-12,41.200001,41.200001,41.200001,41.200001,27.769115,45
2002-08-13,39.099998,39.099998,39.099998,39.099998,26.353693,100
2002-08-14,40.000000,40.000000,37.650002,37.650002,25.376387,216
2002-08-15,null,null,null,null,null,null
2002-08-16,38.250000,38.250000,38.250000,38.250000,25.780790,200
2002-08-19,null,null,null,null,null,null
2002-08-20,38.000000,38.000000,37.500000,37.500000,25.275288,15
2002-08-21,34.000000,34.000000,34.000000,34.000000,22.916258,1
2002-08-22,37.400002,37.400002,37.400002,37.400002,25.207882,20
2002-08-23,38.950001,38.950001,38.950001,38.950001,26.252600,50
2002-08-26,39.500000,39.500000,38.000000,38.000000,25.612289,155
2002-08-27,null,null,null,null,null,null
2002-08-28,37.000000,38.000000,36.049999,36.049999,24.297972,100
2002-08-29,35.299999,35.299999,34.799999,34.849998,23.489162,750
2002-08-30,35.799999,36.500000,35.799999,36.500000,24.601278,687
2002-09-02,null,null,null,null,null,null
2002-09-03,35.750000,35.750000,35.700001,35.700001,24.062073,299
2002-09-04,37.500000,37.500000,37.500000,37.500000,25.275288,100
2002-09-05,37.099998,37.500000,37.099998,37.500000,25.275288,150
2002-09-06,38.000000,38.000000,36.049999,37.349998,25.174185,790
2002-09-09,36.150002,36.150002,36.150002,36.150002,24.365377,100
2002-09-10,null,null,null,null,null,null
2002-09-11,33.099998,39.000000,33.099998,37.450001,25.241587,100
2002-09-12,null,null,null,null,null,null
2002-09-13,36.200001,39.349998,36.200001,37.150002,25.039383,271
2002-09-16,35.049999,37.000000,35.000000,37.000000,27.532160,2400
2002-09-17,37.000000,37.000000,35.200001,36.500000,27.160099,200
2002-09-18,37.450001,37.450001,37.450001,37.450001,27.867010,25
2002-09-19,35.299999,37.500000,35.150002,37.299999,27.755392,2400
2002-09-20,36.000000,36.349998,36.000000,36.349998,27.048487,250
2002-09-23,34.599998,36.450001,34.500000,36.450001,27.122898,800
2002-09-24,34.549999,36.000000,34.549999,36.000000,26.788052,400
2002-09-25,37.299999,37.299999,36.500000,37.299999,27.755392,57
2002-09-26,36.099998,36.099998,36.099998,36.099998,26.862455,100
2002-09-27,36.000000,36.000000,35.000000,35.049999,26.081141,2600
2002-09-30,36.500000,36.500000,36.500000,36.500000,27.160099,100
2002-10-01,34.150002,36.849998,34.099998,34.500000,25.671877,200
2002-10-02,null,null,null,null,null,null
2002-10-03,35.000000,36.500000,35.000000,36.500000,27.160099,250
2002-10-04,36.000000,36.000000,36.000000,36.000000,26.788052,127
2002-10-07,36.000000,36.000000,36.000000,36.000000,26.788052,100
2002-10-08,37.000000,37.000000,37.000000,37.000000,27.532160,100
2002-10-09,37.950001,38.000000,37.950001,38.000000,28.276274,800
2002-10-10,37.950001,38.000000,37.950001,38.000000,28.276274,949
2002-10-11,35.799999,38.000000,35.799999,36.750000,27.346130,1080
2002-10-14,33.500000,33.500000,33.500000,33.500000,24.927769,100
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,36.849998,36.849998,36.849998,36.849998,27.420538,100
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,null,null,null,null,null,null
2002-10-23,36.250000,36.500000,36.250000,36.500000,27.160099,500
2002-10-24,null,null,null,null,null,null
2002-10-25,34.049999,35.250000,34.049999,35.250000,26.229959,110
2002-10-28,null,null,null,null,null,null
2002-10-29,35.099998,37.000000,35.000000,37.000000,27.532160,110
