Date,open,high,low,close,adj_close,volume
2002-07-01,7.000000,8.700000,7.000000,8.700000,5.540406,240461
2002-07-02,9.100000,9.550000,8.150000,8.250000,5.253833,190621
2002-07-03,8.500000,9.100000,8.100000,8.200000,5.221992,142051
2002-07-04,8.000000,9.000000,8.000000,8.850000,5.635931,109375
2002-07-05,9.050000,10.500000,8.700000,9.700000,6.177235,368841
2002-07-08,10.000000,11.200000,10.000000,10.700000,6.814065,312201
2002-07-09,10.400000,11.400000,10.400000,11.000000,7.005112,250485
2002-07-10,10.750000,11.300000,9.400000,9.750000,6.209074,140240
2002-07-11,10.450000,10.450000,8.600000,9.050000,5.763296,92800
2002-07-12,9.500000,10.900000,9.250000,10.900000,6.941427,391872
2002-07-15,11.350000,11.400000,9.600000,9.750000,6.209074,249167
2002-07-16,10.250000,10.700000,9.350000,9.550000,6.081711,154302
2002-07-17,9.650000,9.700000,8.250000,8.600000,5.476723,114803
2002-07-18,8.750000,9.350000,8.600000,8.750000,5.572248,66829
2002-07-19,9.300000,9.450000,8.250000,8.450000,5.381199,48335
2002-07-22,8.750000,9.000000,7.250000,7.350000,4.680688,71215
2002-07-23,7.950000,7.950000,7.150000,7.550000,4.808054,31583
2002-07-24,7.500000,7.700000,6.800000,6.900000,4.394115,35648
2002-07-25,7.500000,7.500000,6.750000,6.850000,4.362275,38752
2002-07-26,7.100000,7.100000,6.150000,6.200000,3.948336,21002
2002-07-29,6.200000,6.200000,5.150000,5.800000,3.693604,51154
2002-07-30,6.500000,6.500000,5.000000,5.050000,3.215983,30594
2002-07-31,5.100000,5.350000,4.500000,5.250000,3.343349,26755
2002-08-01,5.500000,5.600000,4.900000,4.900000,3.120459,29405
2002-08-02,5.000000,5.050000,4.700000,4.850000,3.088617,11419
2002-08-05,5.050000,5.850000,5.050000,5.850000,3.725446,101865
2002-08-06,5.300000,7.050000,5.300000,7.050000,4.489640,175435
2002-08-07,7.100000,7.700000,6.850000,7.100000,4.521482,157017
2002-08-08,7.600000,7.600000,5.750000,6.000000,3.820971,84740
2002-08-09,5.650000,6.200000,5.600000,5.900000,3.757288,46490
2002-08-12,6.300000,6.500000,6.000000,6.100000,3.884653,42379
2002-08-13,6.000000,6.400000,6.000000,6.200000,3.948336,11498
2002-08-14,6.100000,6.250000,5.800000,5.900000,3.757288,14121
2002-08-15,null,null,null,null,null,null
2002-08-16,6.400000,6.400000,5.800000,5.800000,3.693604,9257
2002-08-19,6.250000,6.400000,5.800000,6.100000,3.884653,22959
2002-08-20,6.300000,6.350000,5.900000,6.100000,3.884653,52365
2002-08-21,6.000000,6.350000,6.000000,6.100000,3.884653,22485
2002-08-22,6.300000,6.300000,6.000000,6.050000,3.852811,14710
2002-08-23,6.300000,6.300000,5.850000,5.950000,3.789128,11408
2002-08-26,6.300000,6.300000,5.800000,5.850000,3.725446,17543
2002-08-27,6.400000,6.400000,5.800000,5.850000,3.725446,6826
2002-08-28,6.100000,6.100000,5.400000,5.450000,3.470714,14439
2002-08-29,6.000000,6.000000,5.250000,5.300000,3.375190,17103
2002-08-30,5.850000,5.850000,4.700000,5.000000,3.184142,30615
2002-09-02,5.350000,5.600000,5.200000,5.250000,3.343349,16047
2002-09-03,5.600000,5.600000,4.900000,5.200000,3.311507,22859
2002-09-04,5.600000,5.600000,5.050000,5.250000,3.343349,12324
2002-09-05,5.600000,5.600000,5.050000,5.150000,3.279666,6433
2002-09-06,5.500000,5.500000,4.950000,5.000000,3.184142,7239
2002-09-09,5.400000,5.400000,4.600000,4.700000,2.993093,19098
2002-09-10,null,null,null,null,null,null
2002-09-11,5.100000,5.150000,4.850000,4.850000,3.088617,47572
2002-09-12,4.700000,5.850000,4.700000,5.850000,3.725446,72421
2002-09-13,5.850000,6.250000,5.350000,5.950000,3.789128,42093
2002-09-16,5.400000,6.200000,5.400000,5.650000,3.598080,23041
2002-09-17,5.050000,5.800000,5.050000,5.650000,3.598080,15077
2002-09-18,5.500000,6.500000,5.500000,6.100000,3.884653,81519
2002-09-19,6.200000,6.500000,5.750000,5.850000,3.725446,33922
2002-09-20,5.250000,5.950000,5.250000,5.900000,3.757288,4801
2002-09-23,6.000000,6.000000,5.500000,5.900000,3.757288,14907
2002-09-24,5.250000,5.900000,5.250000,5.650000,3.598080,13278
2002-09-25,5.400000,5.700000,5.250000,5.450000,3.470714,3529
2002-09-26,5.300000,5.700000,5.300000,5.400000,3.438873,2353
2002-09-27,5.200000,5.400000,5.200000,5.350000,3.407032,4653
2002-09-30,5.150000,6.050000,5.150000,5.900000,3.757288,28113
2002-10-01,5.300000,6.750000,5.300000,6.500000,4.139384,102577
2002-10-02,null,null,null,null,null,null
2002-10-03,6.500000,7.050000,6.350000,6.400000,4.075702,62802
2002-10-04,6.350000,6.600000,5.900000,6.150000,3.916494,57311
2002-10-07,6.500000,6.750000,6.350000,6.550000,4.171226,56013
2002-10-08,6.900000,6.900000,6.300000,6.350000,4.043859,39520
2002-10-09,6.900000,6.900000,6.000000,6.200000,3.948336,52932
2002-10-10,6.600000,6.600000,6.200000,6.300000,4.012019,4607
2002-10-11,6.500000,6.500000,6.200000,6.400000,4.075702,32402
2002-10-14,6.600000,7.100000,5.950000,6.850000,4.362275,222819
2002-10-15,null,null,null,null,null,null
2002-10-16,6.750000,7.400000,6.550000,6.650000,4.234909,118774
2002-10-17,7.250000,7.250000,6.350000,6.600000,4.203066,14938
2002-10-18,7.250000,7.250000,6.300000,6.350000,4.043859,22323
2002-10-21,6.650000,6.650000,6.250000,6.450000,4.107543,9972
2002-10-22,6.600000,6.600000,6.100000,6.100000,3.884653,13190
