Date,open,high,low,close,adj_close,volume
2004-03-09,17.160000,17.160000,17.160000,17.160000,14.326626,150
2004-03-10,16.930000,18.830000,16.000000,17.290001,14.435164,3423
2004-03-11,16.809999,18.920000,16.809999,17.410000,14.535346,7141
2004-03-12,17.600000,18.160000,17.059999,17.070000,14.251488,426
2004-03-15,16.219999,16.219999,16.219999,16.219999,13.541835,50
2004-03-16,15.400000,15.450000,15.400000,15.450000,12.898973,350
2004-03-17,null,null,null,null,null,null
2004-03-18,16.400000,16.400000,16.400000,16.400000,13.692115,100
2004-03-19,16.400000,16.400000,15.800000,15.800000,13.191183,200
2004-03-22,15.600000,15.600000,15.500000,15.500000,12.940719,1000
2004-03-23,16.190001,16.190001,16.190001,16.190001,13.516788,10
2004-03-24,null,null,null,null,null,null
2004-03-25,15.410000,16.549999,15.410000,16.549999,13.817348,161
2004-03-26,16.400000,16.400000,16.299999,16.299999,13.608626,1100
2004-03-29,16.799999,16.799999,16.430000,16.430000,13.717164,1300
2004-03-30,16.410000,16.410000,15.800000,15.800000,13.191183,250
2004-03-31,15.610000,16.200001,15.600000,15.880000,13.257974,1400
2004-04-01,16.760000,17.469999,16.760000,17.469999,14.585439,1401
2004-04-02,18.200001,18.200001,17.400000,17.530001,14.635535,828
2004-04-05,17.430000,18.000000,17.420000,17.879999,14.927744,1003
2004-04-06,17.209999,18.000000,17.200001,17.270000,14.418467,405
2004-04-07,16.200001,17.400000,16.200001,17.400000,14.526999,200
2004-04-08,17.000000,17.000000,17.000000,17.000000,14.193047,200
2004-04-09,null,null,null,null,null,null
2004-04-12,16.809999,17.900000,16.809999,17.770000,14.835907,890
2004-04-13,18.000000,18.990000,18.000000,18.799999,15.695839,1600
2004-04-14,null,null,null,null,null,null
2004-04-15,18.700001,20.680000,18.400000,20.680000,17.265421,32044
2004-04-16,21.400000,22.500000,19.620001,19.959999,16.664307,18730
2004-04-19,20.049999,20.200001,19.400000,19.900000,16.614212,1193
2004-04-20,19.200001,20.200001,19.200001,20.200001,16.864676,832
2004-04-21,20.000000,20.200001,19.799999,20.170000,16.839628,1110
2004-04-22,19.980000,22.000000,19.980000,21.520000,17.966726,7104
2004-04-23,21.100000,22.000000,21.100000,21.629999,18.058561,1693
2004-04-26,null,null,null,null,null,null
2004-04-27,21.100000,21.100000,19.469999,19.530001,16.305307,2630
