Date,open,high,low,close,adj_close,volume
2006-04-03,45.000000,58.000000,44.049999,52.919998,29.247871,51392295
2006-04-04,53.730000,54.279999,50.040001,50.450001,27.882755,10678200
2006-04-05,50.299999,51.279999,48.419998,48.970001,27.064783,6313245
2006-04-07,49.200001,50.680000,47.619999,48.139999,26.606056,3612660
2006-04-10,48.400002,52.459999,47.130001,51.049999,28.214367,5649250
2006-04-12,51.049999,51.049999,47.250000,47.790001,26.412626,1213675
2006-04-13,48.740002,49.000000,46.230000,47.220001,26.097593,1674460
2006-04-17,47.400002,49.160000,47.200001,47.840000,26.440256,899070
2006-04-18,48.200001,48.700001,47.509998,47.639999,26.329723,795665
2006-04-19,47.580002,50.099998,47.580002,48.189999,26.633690,817630
2006-04-20,49.000000,49.000000,47.610001,48.009998,26.534208,323155
2006-04-21,52.000000,52.189999,47.650002,51.520000,28.474117,1744410
2006-04-24,49.400002,54.400002,49.400002,53.779999,29.723186,2747345
2006-04-25,53.779999,55.400002,51.299999,52.189999,28.844419,1819685
2006-04-26,51.029999,60.799999,51.029999,56.830002,31.408852,4072525
2006-04-27,57.279999,58.340000,55.000000,55.349998,30.590891,1280065
2006-04-28,53.099998,54.599998,48.799999,53.380001,29.502111,385650
2006-05-02,53.980000,56.990002,53.980000,55.310001,30.568781,561570
2006-05-03,55.599998,58.000000,54.099998,55.029999,30.414038,549055
2006-05-04,55.200001,55.740002,52.310001,52.759998,29.159445,283770
2006-05-05,52.759998,54.200001,51.029999,51.740002,28.595715,269055
2006-05-08,51.799999,52.000000,48.419998,48.900002,27.026098,681075
2006-05-09,51.000000,51.000000,49.240002,50.029999,27.650625,288375
2006-05-10,50.779999,50.779999,48.630001,49.509998,27.363232,193940
2006-05-11,49.599998,49.900002,48.700001,48.980000,27.070309,68825
2006-05-12,48.560001,49.939999,48.540001,48.709999,26.921085,70145
2006-05-15,48.799999,49.799999,46.799999,47.639999,26.329723,204815
2006-05-16,48.049999,48.799999,44.799999,45.680000,25.246466,639275
2006-05-17,47.000000,48.400002,46.099998,47.070000,26.014692,127340
2006-05-18,47.180000,47.299999,45.209999,46.380001,25.633341,329030
2006-05-19,46.419998,47.990002,41.000000,42.230000,23.339714,251855
2006-05-22,41.400002,42.000000,34.000000,37.240002,20.581844,129335
2006-05-23,35.020000,42.000000,35.020000,41.000000,22.659918,138910
