Date,open,high,low,close,adj_close,volume
2000-01-03,1.374520,1.374520,1.240170,1.343510,-0.000584,179976
2000-01-04,1.343510,1.343510,1.222940,1.250500,-0.000543,179976
2000-01-05,1.033470,1.240170,1.033470,1.212610,-0.000527,91439
2000-01-06,1.240170,1.240170,1.212610,1.212610,-0.000527,24674
2000-01-07,1.178160,1.212610,1.171270,1.205720,-0.000524,63862
2000-01-10,1.174710,1.205720,1.174710,1.191940,-0.000518,36285
2000-01-11,1.205720,1.205720,1.140260,1.171270,-0.000509,113211
2000-01-12,1.212610,1.212610,1.171270,1.188490,-0.000516,42091
2000-01-13,1.171270,1.171270,1.157490,1.157490,-0.000503,13063
2000-01-14,1.129930,1.171270,1.129930,1.164380,-0.000506,49348
2000-01-17,1.178160,1.188490,1.154040,1.157490,-0.000503,46445
2000-01-18,1.123040,1.171270,1.119590,1.164380,-0.000506,69668
2000-01-19,1.171270,1.171270,1.154040,1.154040,-0.000502,46445
2000-01-20,1.136820,1.178160,1.126480,1.171270,-0.000509,23223
2000-01-21,1.164380,1.171270,1.143710,1.150600,-0.000500,82731
2000-01-24,1.136820,1.143710,1.085150,1.119590,-0.000487,69668
2000-01-25,1.136820,1.157490,1.088590,1.126480,-0.000490,155302
2000-01-26,null,null,null,null,null,null
2000-01-27,1.205720,1.371070,1.171270,1.312510,-0.000570,288832
2000-01-28,1.360740,1.377960,1.247060,1.309060,-0.000569,390432
2000-01-31,1.309060,1.326290,1.257390,1.264280,-0.000549,209004
2000-02-01,1.222940,1.298730,1.102370,1.278060,-0.000555,323666
2000-02-02,1.377960,1.598440,1.377960,1.598440,-0.000695,338181
2000-02-03,1.598440,1.729340,1.598440,1.729340,-0.000752,297541
2000-02-04,1.860250,1.870580,1.860250,1.870580,-0.000813,484774
2000-02-07,1.994600,2.018710,1.722450,1.722450,-0.000749,500739
2000-02-08,1.601880,1.601880,1.584660,1.584660,-0.000689,134982
2000-02-09,1.577770,1.577770,1.460640,1.464080,-0.000636,451391
2000-02-10,1.381410,1.550210,1.381410,1.498530,-0.000651,200296
2000-02-11,1.515760,1.563990,1.412410,1.446860,-0.000629,134982
2000-02-14,1.364180,1.501980,1.350400,1.419300,-0.000617,323666
2000-02-15,1.377960,1.377960,1.309060,1.312510,-0.000570,322215
2000-02-16,1.309060,1.377960,1.309060,1.367630,-0.000594,105954
2000-02-17,1.353850,1.377960,1.305620,1.329730,-0.000578,136433
2000-02-18,1.288390,1.343510,1.240170,1.267730,-0.000551,103051
2000-02-21,1.305620,1.305620,1.171270,1.216050,-0.000528,161107
2000-02-22,1.288390,1.288390,1.136820,1.202270,-0.000522,198844
2000-02-23,1.240170,1.274610,1.212610,1.260840,-0.000548,153850
2000-02-24,1.240170,1.343510,1.240170,1.319400,-0.000573,60960
