Date,open,high,low,close,adj_close,volume
2005-06-06,128.300003,131.750000,123.000000,128.649994,117.223892,19100
2005-06-07,136.000000,136.000000,121.000000,125.349998,114.217003,1600
2005-06-08,131.000000,131.000000,126.000000,128.000000,116.631645,1200
2005-06-09,126.000000,134.899994,124.050003,132.800003,121.005318,22800
2005-06-10,135.000000,146.100006,135.000000,142.699997,130.026062,49700
2005-06-13,149.500000,149.850006,145.000000,149.850006,136.541031,16976
2005-06-14,155.000000,155.000000,147.050003,147.949997,134.809769,15600
2005-06-15,147.000000,150.000000,145.500000,145.850006,132.896271,7500
2005-06-16,150.000000,150.000000,140.250000,142.449997,129.798264,5000
2005-06-17,136.100006,140.250000,135.399994,138.750000,126.426842,11500
2005-06-20,143.000000,144.899994,137.550003,144.000000,131.210602,4100
2005-06-21,138.500000,146.000000,138.500000,142.800003,130.117188,7300
2005-06-22,138.000000,143.500000,138.000000,138.500000,126.199066,6900
2005-06-23,137.050003,144.500000,137.050003,141.899994,129.297089,7100
2005-06-24,141.500000,145.000000,140.300003,143.949997,131.165024,3700
2005-06-27,137.000000,144.000000,137.000000,138.250000,125.971283,3000
2005-06-28,142.000000,142.000000,132.149994,133.050003,121.233116,3800
2005-06-29,137.000000,139.699997,137.000000,139.699997,127.292473,1900
2005-06-30,142.199997,146.000000,142.000000,145.100006,132.212906,5500
2005-07-01,145.000000,152.399994,144.000000,152.399994,138.864548,13938
2005-07-04,155.000000,160.050003,155.000000,157.100006,143.147125,32900
2005-07-05,153.000000,153.000000,149.250000,149.250000,135.994324,3400
2005-07-06,152.250000,152.250000,145.199997,147.000000,133.944153,2400
2005-07-07,143.500000,143.500000,142.000000,142.600006,129.934906,200
2005-07-08,144.000000,144.899994,140.000000,141.050003,128.522614,750
2005-07-11,143.000000,147.000000,143.000000,145.100006,132.212906,1800
2005-07-12,144.000000,144.000000,139.000000,140.500000,128.021439,2087
2005-07-13,138.199997,138.199997,135.500000,136.600006,124.467842,3000
2005-07-14,134.000000,143.449997,134.000000,143.449997,130.709457,2900
2005-07-15,149.000000,150.649994,147.000000,150.649994,137.269943,12200
2005-07-18,158.000000,158.199997,155.000000,158.199997,144.149399,13700
2005-07-19,165.699997,166.149994,152.100006,165.100006,150.436600,44300
2005-07-20,170.000000,173.199997,157.199997,160.550003,146.290710,19900
2005-07-21,160.550003,162.000000,154.100006,158.100006,144.058319,6300
2005-07-22,162.800003,163.850006,160.100006,160.350006,146.108459,2300
2005-07-25,160.000000,162.000000,156.000000,156.000000,142.144836,3000
2005-07-26,156.000000,156.000000,150.100006,153.899994,140.231308,1500
2005-07-27,150.550003,157.399994,149.000000,150.199997,136.859940,1484
2005-07-28,null,null,null,null,null,null
2005-07-29,150.000000,157.050003,149.000000,155.149994,141.370255,8700
2005-08-01,154.500000,155.500000,151.000000,152.350006,138.818985,2800
2005-08-02,150.600006,153.000000,148.050003,153.000000,139.411240,582
2005-08-03,148.500000,160.649994,148.500000,157.449997,143.466019,11900
2005-08-04,159.000000,159.399994,153.000000,157.649994,143.648285,7400
2005-08-05,155.500000,163.500000,155.500000,160.649994,146.381805,3000
2005-08-08,161.899994,168.699997,158.550003,168.500000,153.534622,20600
2005-08-09,174.000000,176.000000,162.500000,163.050003,148.568634,11100
2005-08-10,171.000000,171.000000,163.350006,164.050003,149.479843,3500
2005-08-11,166.500000,172.050003,166.000000,169.800003,154.719147,5300
2005-08-12,165.350006,168.899994,161.750000,163.449997,150.349869,2400
2005-08-16,163.449997,169.850006,160.000000,160.100006,147.268356,3200
2005-08-17,158.350006,161.899994,158.350006,160.350006,147.498322,2300
2005-08-18,156.300003,167.500000,156.300003,165.199997,151.959595,5900
2005-08-19,167.000000,171.000000,165.399994,167.250000,153.845306,2800
2005-08-22,171.699997,171.699997,165.000000,165.649994,152.373520,8800
2005-08-23,168.750000,168.750000,164.000000,164.050003,150.901764,413
2005-08-24,161.500000,164.199997,160.000000,160.699997,147.820282,3400
2005-08-25,163.100006,163.949997,162.000000,162.000000,149.016068,1282
2005-08-26,163.500000,166.449997,162.199997,163.449997,150.349869,2800
2005-08-29,164.000000,164.000000,160.500000,163.050003,149.981918,1400
2005-08-30,163.000000,164.899994,162.750000,163.199997,150.119888,3100
2005-08-31,164.000000,179.550003,162.000000,179.449997,165.067490,14300
2005-09-01,182.000000,195.000000,177.199997,180.949997,166.447250,16000
2005-09-02,181.899994,182.000000,176.000000,177.500000,163.273788,2600
2005-09-05,180.000000,195.250000,176.550003,194.449997,178.865234,34100
2005-09-06,198.000000,198.000000,186.000000,187.350006,172.334351,9500
2005-09-08,187.500000,202.850006,187.500000,195.100006,179.463165,17000
2005-09-09,201.899994,201.899994,188.149994,189.399994,174.220032,4700
2005-09-12,188.500000,188.500000,183.250000,184.600006,169.804733,6700
2005-09-13,183.250000,186.000000,166.300003,173.949997,160.008286,12100
2005-09-14,177.250000,180.850006,168.100006,174.250000,160.284271,13000
2005-09-15,174.500000,179.899994,174.050003,176.250000,162.123978,1689
2005-09-16,178.000000,178.000000,172.000000,175.399994,161.342102,3300
2005-09-19,180.050003,185.050003,178.250000,179.899994,165.481430,5800
2005-09-20,183.250000,183.850006,172.149994,175.449997,161.388077,3600
2005-09-21,175.050003,175.050003,166.000000,171.699997,157.938660,3810
2005-09-22,167.100006,169.000000,155.149994,156.350006,143.818924,3500
