Date,open,high,low,close,adj_close,volume
2002-07-01,13.630000,15.130000,13.630000,14.230000,13.562072,77941
2002-07-02,14.000000,14.750000,13.800000,13.980000,13.323805,50318
2002-07-03,13.830000,14.480000,13.830000,14.030000,13.371458,41446
2002-07-04,14.230000,14.250000,13.500000,13.780000,13.133193,56231
2002-07-05,13.800000,14.480000,13.530000,13.980000,13.323805,82617
2002-07-08,14.730000,15.500000,14.380000,14.880000,14.181561,94204
2002-07-09,15.000000,16.000000,14.800000,14.900000,14.200621,112718
2002-07-10,15.000000,15.330000,13.800000,13.950000,13.295214,78090
2002-07-11,13.850000,14.500000,13.850000,13.980000,13.323805,76835
2002-07-12,14.000000,14.630000,13.600000,13.930000,13.276153,38028
2002-07-15,13.750000,14.100000,13.250000,13.350000,12.723378,37732
2002-07-16,13.250000,13.550000,13.130000,13.200000,12.580417,38764
2002-07-17,13.450000,13.630000,12.850000,13.080000,12.466051,41042
2002-07-18,13.130000,13.500000,12.880000,13.000000,12.389805,47012
2002-07-19,13.200000,13.200000,12.850000,13.000000,12.389805,43557
2002-07-22,12.550000,12.880000,11.900000,12.080000,11.512988,48048
2002-07-23,12.000000,12.250000,11.800000,12.100000,11.532050,47222
2002-07-24,12.050000,12.250000,11.880000,11.930000,11.370029,47431
2002-07-25,12.250000,12.500000,11.680000,11.850000,11.293784,48527
2002-07-26,11.800000,12.000000,11.150000,11.350000,10.817252,52356
2002-07-29,11.530000,11.680000,11.000000,11.200000,10.674294,69589
2002-07-30,11.500000,11.630000,11.050000,11.380000,10.845844,66552
2002-07-31,11.380000,11.380000,10.880000,11.200000,10.674294,63810
2002-08-01,11.380000,11.750000,11.180000,11.500000,10.960212,54424
2002-08-02,11.130000,11.380000,11.080000,11.200000,10.674294,44552
2002-08-05,11.500000,11.530000,11.230000,11.380000,10.845844,53255
2002-08-06,11.300000,11.430000,11.130000,11.250000,10.721947,44590
2002-08-07,11.430000,11.680000,11.380000,11.480000,10.941151,49751
