Date,open,high,low,close,adj_close,volume
2007-03-14,34.950001,36.200001,32.000000,32.950001,32.519283,75417
2007-03-15,36.250000,36.250000,31.049999,31.549999,31.137581,32000
2007-03-16,32.299999,32.450001,29.799999,32.000000,31.581699,11500
2007-03-19,31.500000,33.000000,29.600000,31.950001,31.532354,6206
2007-03-20,30.000000,31.549999,29.549999,29.549999,29.163725,1400
2007-03-21,31.500000,31.700001,30.000000,30.750000,30.348040,2000
2007-03-22,29.600000,32.000000,29.600000,31.799999,31.384314,2550
2007-03-23,30.200001,32.950001,30.200001,32.099998,31.680391,2025
2007-03-26,30.100000,32.950001,30.049999,32.400002,31.976473,1181
2007-03-28,30.100000,31.350000,29.700001,30.450001,30.051962,2100
2007-03-29,32.049999,32.049999,30.049999,30.299999,29.903921,1000
2007-03-30,31.900000,31.900000,30.150000,31.000000,30.594770,425
2007-04-02,30.000000,30.500000,30.000000,30.350000,29.953268,350
2007-04-03,30.400000,30.400000,30.400000,30.400000,30.002615,3
2007-04-04,29.650000,32.000000,29.650000,32.000000,31.581699,2000
2007-04-05,33.549999,35.200001,30.650000,35.049999,34.591831,3900
2007-04-09,34.900002,38.599998,33.000000,38.200001,37.700653,43486
2007-04-10,39.799999,40.150002,37.349998,37.900002,37.404575,9100
2007-04-11,38.400002,38.400002,36.049999,38.349998,37.848690,12300
2007-04-12,36.450001,37.099998,36.450001,36.700001,36.220261,1300
2007-04-13,37.750000,38.549999,35.000000,37.099998,36.615032,16600
2007-04-16,36.750000,38.000000,35.799999,36.700001,36.220261,16700
2007-04-17,36.299999,36.799999,35.000000,35.299999,34.838562,6000
2007-04-18,36.299999,37.099998,35.900002,36.250000,35.776142,28200
2007-04-19,37.299999,38.099998,36.750000,37.849998,37.355228,7400
2007-04-20,39.650002,39.650002,38.299999,38.500000,37.996731,2100
2007-04-23,39.500000,39.500000,37.500000,38.849998,38.342155,4400
2007-04-24,40.150002,40.150002,37.400002,39.000000,38.490196,1400
2007-04-25,39.799999,40.000000,37.099998,39.049999,38.539543,15400
2007-04-26,39.200001,39.299999,37.799999,38.750000,38.243465,12500
2007-04-27,37.650002,38.650002,37.000000,37.450001,36.960457,1600
2007-04-30,39.250000,39.250000,37.299999,37.599998,37.108494,869
2007-05-03,38.950001,38.950001,37.099998,37.099998,36.615032,4500
2007-05-04,37.650002,37.700001,37.099998,37.700001,37.207191,1500
2007-05-07,36.000000,38.700001,35.849998,35.849998,35.381371,200
2007-05-08,34.150002,34.150002,34.150002,34.150002,33.703598,45
2007-05-09,32.549999,35.900002,32.450001,34.049999,33.604900,29600
2007-05-10,35.000000,35.599998,33.500000,35.099998,34.641174,4200
