Date,open,high,low,close,adj_close,volume
2003-10-24,4.237500,4.350000,4.237500,4.350000,2.172118,400
2003-10-27,4.562500,4.650000,4.382500,4.650000,2.321919,1688
2003-10-28,4.437500,4.437500,4.415000,4.415000,2.204575,600
2003-10-29,4.387500,4.412500,4.250000,4.345000,2.169621,1800
2003-10-30,4.525000,4.525000,4.445000,4.490000,2.242025,4400
2003-10-31,4.812500,4.812500,4.475000,4.507500,2.250764,8080
2003-11-03,4.612500,4.625000,4.462500,4.575000,2.284469,25344
2003-11-04,4.457500,4.512500,4.457500,4.477500,2.235783,4988
2003-11-05,4.450000,4.512500,4.420000,4.455000,2.224548,6000
2003-11-06,4.502500,4.562500,4.487500,4.507500,2.250764,13708
2003-11-07,4.512500,4.547500,4.500000,4.500000,2.247019,12500
2003-11-10,4.562500,4.570000,4.562500,4.562500,2.278227,1200
2003-11-11,4.500000,4.612500,4.500000,4.602500,2.298200,2868
2003-11-12,4.737500,5.000000,4.625000,4.900000,2.446754,21148
2003-11-13,4.887500,4.887500,4.750000,4.840000,2.416793,1504
2003-11-14,4.650000,5.187500,4.062500,4.817500,2.405559,18016
2003-11-17,4.987500,5.000000,4.852500,4.880000,2.436766,10112
2003-11-18,4.950000,4.950000,4.812500,4.862500,2.428028,3612
2003-11-19,4.750000,4.872500,4.750000,4.867500,2.430525,4592
2003-11-20,4.930000,4.930000,4.750000,4.825000,2.409303,4700
2003-11-21,4.812500,4.837500,4.752500,4.812500,2.403062,1368
2003-11-24,4.875000,5.012500,4.825000,5.000000,2.496687,12404
2003-11-25,4.995000,5.062500,4.955000,5.015000,2.504177,12716
2003-11-26,null,null,null,null,null,null
2003-11-27,5.000000,5.112500,5.000000,5.107500,2.550366,9244
2003-11-28,5.250000,5.762500,5.250000,5.687500,2.839982,23688
2003-12-01,6.187500,6.545000,6.115000,6.192500,3.092147,26168
2003-12-02,6.487500,6.487500,5.887500,6.062500,3.027233,9952
2003-12-03,6.125000,6.312500,6.125000,6.212500,3.102134,4964
2003-12-04,6.360000,6.370000,5.937500,6.117500,3.054696,17156
2003-12-05,6.487500,6.600000,6.077500,6.172500,3.082161,39368
2003-12-08,5.750000,6.512500,5.750000,6.310000,3.150819,11300
2003-12-09,6.362500,6.375000,6.150000,6.370000,3.180779,18992
2003-12-10,6.262500,6.375000,5.940000,6.215000,3.103382,8284
2003-12-11,6.245000,6.250000,6.000000,6.087500,3.039716,9624
2003-12-12,6.065000,6.250000,5.320000,5.620000,2.806277,25028
2003-12-15,5.625000,6.172500,5.625000,5.935000,2.963568,53572
2003-12-16,6.125000,6.375000,5.130000,5.480000,2.736369,110896
2003-12-17,5.712500,6.312500,5.315000,6.142500,3.067180,425908
2003-12-18,6.475000,6.475000,6.250000,6.325000,3.158309,141248
2003-12-19,6.282500,6.437500,5.862500,6.057500,3.024737,106332
2003-12-22,5.815000,6.275000,5.815000,6.230000,3.110873,30980
2003-12-23,6.250000,6.250000,5.940000,6.000000,2.996025,36088
2003-12-24,6.062500,6.087500,5.837500,5.880000,2.936104,19360
2003-12-25,null,null,null,null,null,null
2003-12-26,5.997500,6.012500,5.875000,5.897500,2.944842,21620
2003-12-29,5.877500,6.335000,5.877500,6.172500,3.082161,55688
2003-12-30,6.362500,6.375000,5.550000,6.145000,3.068428,84456
2003-12-31,6.187500,6.562500,6.037500,6.367500,3.179531,142708
2004-01-01,6.387500,6.562500,6.387500,6.432500,3.211988,66140
2004-01-02,6.487500,6.562500,6.425000,6.445000,3.218230,85576
2004-01-05,6.487500,6.525000,6.125000,6.190000,3.090899,59816
2004-01-06,6.200000,6.312500,5.862500,5.890000,2.941097,63632
2004-01-07,5.977500,6.125000,5.940000,6.060000,3.025984,28596
2004-01-08,7.125000,7.125000,6.125000,6.410000,3.200753,44684
2004-01-09,6.500000,6.750000,6.287500,6.337500,3.164551,69364
2004-01-12,6.312500,6.425000,6.162500,6.232500,3.112120,17528
2004-01-13,6.250000,6.375000,6.127500,6.317500,3.154564,20300
2004-01-14,6.375000,7.582500,6.362500,7.572500,3.781233,251784
2004-01-15,7.870000,8.062500,7.252500,7.522500,3.756266,204416
2004-01-16,7.687500,7.932500,7.437500,7.652500,3.821180,468072
2004-01-19,7.625000,8.025000,7.625000,7.852500,3.921047,440948
2004-01-20,7.875000,7.937500,7.537500,7.590000,3.789971,129516
2004-01-21,7.595000,7.595000,6.437500,6.535000,3.263170,259772
2004-01-22,6.750000,6.775000,5.382500,5.610000,2.801283,336076
2004-01-23,5.702500,6.732500,5.702500,6.700000,3.345561,372348
2004-01-26,null,null,null,null,null,null
2004-01-27,6.987500,7.172500,6.750000,6.787500,3.389253,213640
2004-01-28,6.750000,7.052500,6.190000,6.315000,3.153316,261904
2004-01-29,6.437500,6.560000,6.220000,6.297500,3.144578,115436
2004-01-30,6.125000,6.272500,5.937500,5.985000,2.988534,149848
2004-02-02,null,null,null,null,null,null
2004-02-03,5.937500,5.937500,5.375000,5.387500,2.690180,401052
2004-02-04,5.437500,5.870000,5.320000,5.507500,2.750101,177988
2004-02-05,5.387500,5.515000,5.125000,5.127500,2.560353,383004
2004-02-06,5.262500,5.340000,5.125000,5.260000,2.626515,146380
2004-02-09,5.312500,5.457500,5.212500,5.382500,2.687684,95860
2004-02-10,5.390000,5.665000,5.345000,5.370000,2.681442,94220
2004-02-11,5.427500,5.497500,5.132500,5.202500,2.597803,74652
2004-02-12,5.312500,5.375000,5.195000,5.275000,2.634005,64476
2004-02-13,5.062500,6.052500,5.062500,5.760000,2.876184,452128
2004-02-16,5.890000,6.150000,5.890000,5.970000,2.981044,241560
2004-02-17,6.090000,6.090000,5.632500,5.682500,2.837485,134996
2004-02-18,5.782500,5.907500,5.697500,5.737500,2.864948,73904
2004-02-19,5.795000,5.795000,5.077500,5.162500,2.577829,198792
2004-02-20,5.245000,5.437500,5.125000,5.327500,2.660220,131256
2004-02-23,5.552500,5.557500,5.032500,5.090000,2.541627,124368
