Date,open,high,low,close,adj_close,volume
2002-08-12,9.550000,9.550000,9.550000,9.550000,5.252361,1000
2002-08-13,9.600000,9.800000,9.600000,9.800000,5.389858,2400
2002-08-14,9.600000,9.600000,9.600000,9.600000,5.279861,1000
2002-08-15,null,null,null,null,null,null
2002-08-16,9.400000,9.800000,9.400000,9.600000,5.279861,9525
2002-08-19,9.500000,9.890000,9.500000,9.890000,5.439356,2750
2002-08-20,9.410000,9.420000,9.410000,9.420000,5.180864,8975
2002-08-21,9.410000,9.420000,9.400000,9.410000,5.175363,3825
2002-08-22,9.400000,9.420000,9.400000,9.420000,5.180864,15400
2002-08-23,9.970000,9.970000,9.410000,9.450000,5.197362,925
2002-08-26,9.400000,9.410000,9.150000,9.370000,5.153364,30075
2002-08-27,9.020000,9.200000,8.900000,8.900000,4.894871,31600
2002-08-28,9.000000,9.100000,8.810000,8.810000,4.845373,26000
2002-08-29,8.810000,9.000000,8.800000,8.810000,4.845373,2325
2002-08-30,8.880000,8.880000,8.880000,8.880000,4.883872,400
2002-09-02,9.000000,9.000000,8.800000,8.800000,4.839873,28500
2002-09-03,8.820000,8.820000,8.800000,8.800000,4.839873,4200
2002-09-04,8.440000,8.980000,8.010000,8.910000,4.900372,4275
2002-09-05,9.000000,9.000000,8.300000,9.000000,4.949870,8250
2002-09-06,null,null,null,null,null,null
2002-09-09,8.900000,9.870000,8.600000,9.580000,5.268861,3700
2002-09-10,null,null,null,null,null,null
2002-09-11,8.630000,8.810000,8.630000,8.800000,4.839873,1275
2002-09-12,8.800000,8.800000,8.800000,8.800000,4.839873,2075
2002-09-13,9.000000,9.000000,9.000000,9.000000,4.949870,1250
2002-09-16,9.390000,9.400000,8.680000,8.690000,4.779374,1750
2002-09-17,8.690000,9.150000,8.690000,9.150000,5.032367,1025
2002-09-18,8.700000,8.970000,8.690000,8.970000,4.933370,2000
2002-09-19,8.600000,8.600000,8.600000,8.600000,4.729876,2150
2002-09-20,9.090000,9.090000,8.600000,8.660000,4.762875,3275
2002-09-23,9.200000,9.200000,8.360000,8.840000,4.861872,13075
2002-09-24,8.380000,8.600000,8.370000,8.390000,4.614379,7075
2002-09-25,8.300000,8.980000,8.300000,8.900000,4.894871,8950
2002-09-26,8.410000,8.560000,8.410000,8.450000,4.647377,4400
2002-09-27,8.960000,8.970000,8.770000,8.770000,4.823373,3750
2002-09-30,9.400000,9.400000,8.410000,8.440000,4.641878,4150
2002-10-01,8.300000,8.360000,8.300000,8.360000,4.597879,1850
2002-10-02,null,null,null,null,null,null
2002-10-03,8.770000,8.770000,8.770000,8.770000,4.823373,25
2002-10-04,8.320000,8.590000,8.320000,8.590000,4.724376,2775
2002-10-07,8.270000,9.000000,8.270000,9.000000,4.949870,7050
2002-10-08,9.800000,9.800000,8.600000,8.800000,4.839873,3125
2002-10-09,8.600000,8.650000,8.600000,8.600000,4.729876,3625
2002-10-10,8.330000,8.500000,8.330000,8.490000,4.669377,6125
2002-10-11,8.270000,8.630000,8.270000,8.630000,4.746375,3425
2002-10-14,8.980000,8.980000,8.870000,8.870000,4.878373,875
2002-10-15,null,null,null,null,null,null
2002-10-16,8.840000,8.840000,8.650000,8.650000,4.757375,10025
2002-10-17,8.790000,8.790000,8.790000,8.790000,4.834373,2500
2002-10-18,8.600000,8.600000,8.600000,8.600000,4.729876,5000
2002-10-21,8.420000,8.620000,8.420000,8.620000,4.740875,1850
2002-10-22,8.400000,8.560000,8.400000,8.560000,4.707876,4050
2002-10-23,8.420000,8.890000,8.420000,8.610000,4.735375,1675
2002-10-24,8.410000,8.890000,8.400000,8.420000,4.630878,3850
2002-10-25,8.240000,8.500000,8.240000,8.400000,4.619878,5000
2002-10-28,8.290000,8.290000,8.110000,8.110000,4.460382,2775
2002-10-29,8.400000,8.400000,8.400000,8.400000,4.619878,1500
2002-10-30,8.020000,8.570000,8.020000,8.570000,4.713376,1000
2002-10-31,8.520000,8.530000,8.520000,8.520000,4.685877,5325
2002-11-01,9.320000,9.320000,8.420000,8.540000,4.696877,5825
2002-11-04,null,null,null,null,null,null
2002-11-05,8.550000,8.790000,8.550000,8.560000,4.707876,4725
2002-11-06,null,null,null,null,null,null
2002-11-07,8.400000,8.900000,8.400000,8.640000,4.751875,1250
2002-11-08,8.400000,8.400000,8.000000,8.120000,4.465882,6750
2002-11-11,8.880000,8.880000,8.880000,8.880000,4.883872,1250
2002-11-12,null,null,null,null,null,null
2002-11-13,8.200000,8.500000,8.200000,8.220000,4.520881,3525
2002-11-14,7.750000,8.000000,7.740000,8.000000,4.399884,875
2002-11-15,8.000000,8.200000,8.000000,8.020000,4.410884,4300
2002-11-18,8.010000,8.050000,8.000000,8.010000,4.405384,13775
2002-11-19,null,null,null,null,null,null
2002-11-20,8.030000,8.190000,8.030000,8.180000,4.498881,3275
2002-11-21,8.070000,8.390000,8.070000,8.070000,4.438383,4150
2002-11-22,8.580000,8.580000,8.380000,8.480000,4.663877,14525
2002-11-25,8.600000,8.600000,8.420000,8.520000,4.685877,3650
2002-11-26,8.500000,8.700000,8.500000,8.680000,4.773875,10600
2002-11-27,8.360000,8.360000,8.360000,8.360000,4.597879,400
2002-11-28,8.500000,8.500000,8.400000,8.400000,4.619878,2975
2002-11-29,null,null,null,null,null,null
2002-12-02,8.230000,8.750000,8.230000,8.600000,4.729876,6150
2002-12-03,8.000000,8.410000,8.000000,8.410000,4.625379,9750
2002-12-04,8.410000,8.600000,8.300000,8.330000,4.581379,9850
2002-12-05,8.300000,8.580000,8.300000,8.310000,4.570380,4250
2002-12-06,8.310000,8.790000,8.310000,8.430000,4.636379,4525
2002-12-09,8.450000,8.700000,8.450000,8.500000,4.674878,2925
2002-12-10,8.400000,8.500000,8.240000,8.410000,4.625379,7125
2002-12-11,8.340000,8.520000,8.330000,8.520000,4.685877,1850
2002-12-12,8.360000,8.500000,8.120000,8.140000,4.476882,10650
2002-12-13,8.250000,8.260000,8.150000,8.160000,4.487881,17000
2002-12-16,8.500000,8.500000,8.180000,8.180000,4.498881,14000
2002-12-17,8.300000,8.520000,8.170000,8.520000,4.685877,3975
2002-12-18,8.180000,8.200000,8.010000,8.100000,4.454883,8825
2002-12-19,8.000000,8.340000,8.000000,8.160000,4.487881,35250
2002-12-20,8.010000,8.450000,8.010000,8.410000,4.625379,18250
2002-12-23,8.400000,8.420000,8.400000,8.420000,4.630878,15500
2002-12-24,8.400000,8.500000,8.400000,8.400000,4.619878,6825
2002-12-25,null,null,null,null,null,null
2002-12-26,8.400000,8.500000,8.050000,8.410000,4.625379,11125
2002-12-27,8.400000,8.510000,8.400000,8.410000,4.625379,14175
2002-12-30,8.400000,8.520000,8.400000,8.400000,4.619878,2600
2002-12-31,8.400000,8.530000,8.400000,8.420000,4.630878,7550
2003-01-01,null,null,null,null,null,null
2003-01-02,8.220000,8.420000,8.220000,8.410000,4.625379,9625
2003-01-03,8.400000,8.400000,8.400000,8.400000,4.619878,5075
2003-01-06,8.400000,8.400000,8.000000,8.300000,4.564880,12375
2003-01-07,8.400000,8.500000,8.400000,8.400000,4.619878,20000
2003-01-08,8.220000,9.000000,8.220000,8.330000,4.581379,16700
2003-01-09,8.200000,8.320000,8.200000,8.300000,4.564880,2300
2003-01-10,8.400000,8.420000,8.400000,8.400000,4.619878,13600
