Date,open,high,low,close,adj_close,volume
2002-07-01,9.200000,9.300000,9.000000,9.105000,0.155081,17100
2002-07-02,9.040000,9.200000,9.040000,9.075000,0.154570,21570
2002-07-03,9.055000,9.175000,9.055000,9.100000,0.154996,4200
2002-07-04,9.200000,9.200000,9.000000,9.035000,0.153889,19070
2002-07-05,9.040000,9.200000,9.040000,9.140000,0.155677,6830
2002-07-08,9.300000,9.490000,9.300000,9.490000,0.161639,23490
2002-07-09,9.400000,9.500000,9.200000,9.200000,0.156699,9910
2002-07-10,9.150000,9.390000,9.150000,9.225000,0.157125,5170
2002-07-11,9.375000,9.375000,8.995000,9.025000,0.153718,93500
2002-07-12,9.000000,9.000000,8.825000,8.840000,0.150567,37080
2002-07-15,8.505000,8.595000,8.400000,8.400000,0.143073,84260
2002-07-16,8.600000,8.600000,8.200000,8.280000,0.141029,42120
2002-07-17,8.225000,8.300000,8.220000,8.220000,0.140007,2090
2002-07-18,8.255000,8.400000,8.255000,8.400000,0.143073,1660
2002-07-19,8.250000,8.400000,8.000000,8.095000,0.137878,15000
2002-07-22,8.150000,8.200000,7.700000,7.715000,0.131406,52000
2002-07-23,7.600000,7.800000,7.600000,7.785000,0.132598,9090
2002-07-24,7.745000,8.000000,7.740000,7.840000,0.133535,6500
2002-07-25,7.995000,7.995000,7.740000,7.740000,0.131832,690
2002-07-26,7.615000,7.615000,6.800000,6.985000,0.118972,95300
2002-07-29,6.605000,6.855000,6.600000,6.675000,0.227873,27250
2002-07-30,6.800000,6.825000,6.615000,6.640000,0.226678,7900
2002-07-31,6.965000,6.970000,6.700000,6.885000,0.235042,4150
2002-08-01,6.900000,7.200000,6.845000,6.850000,0.233848,11050
2002-08-02,6.800000,7.000000,6.800000,6.950000,0.237261,3180
2002-08-05,7.000000,7.000000,6.800000,7.000000,0.238968,10830
2002-08-06,7.100000,7.150000,7.000000,7.145000,0.243918,3710
2002-08-07,7.100000,7.195000,7.010000,7.040000,0.240334,1930
2002-08-08,6.830000,7.045000,6.810000,6.980000,0.238286,3500
2002-08-09,6.855000,6.985000,6.820000,6.875000,0.234701,9600
2002-08-12,6.855000,6.985000,6.805000,6.810000,0.232482,12680
2002-08-13,6.805000,6.850000,6.800000,6.800000,0.232141,640
2002-08-14,7.000000,7.000000,6.800000,6.835000,0.233336,6370
2002-08-15,null,null,null,null,null,null
2002-08-16,6.985000,6.985000,6.860000,6.875000,0.234701,390
2002-08-19,6.625000,7.000000,6.625000,6.790000,0.231799,21270
2002-08-20,6.730000,6.800000,6.610000,6.675000,0.227873,21750
2002-08-21,6.990000,7.000000,6.600000,6.700000,0.228727,31560
2002-08-22,6.790000,6.800000,6.750000,6.800000,0.232141,88320
2002-08-23,7.185000,7.200000,6.925000,7.000000,0.238968,10000
2002-08-26,6.940000,6.940000,6.895000,6.900000,0.235555,102160
2002-08-27,6.900000,7.000000,6.900000,6.900000,0.235555,4170
2002-08-28,7.000000,7.000000,6.795000,6.800000,0.232141,9180
2002-08-29,6.705000,6.715000,6.705000,6.710000,0.229068,1600
2002-08-30,6.615000,6.985000,6.615000,6.930000,0.236579,930
2002-09-02,6.705000,6.720000,6.705000,6.720000,0.229410,300
2002-09-03,6.610000,6.610000,6.495000,6.500000,0.221899,61250
2002-09-04,6.435000,6.500000,6.430000,6.450000,0.220192,16530
2002-09-05,6.695000,6.700000,6.455000,6.475000,0.221046,3220
2002-09-06,6.450000,6.700000,6.450000,6.610000,0.225654,7210
2002-09-09,6.500000,6.700000,6.500000,6.500000,0.221899,1500
2002-09-10,null,null,null,null,null,null
2002-09-11,6.600000,6.900000,6.600000,6.625000,0.226166,57100
2002-09-12,6.785000,6.785000,6.785000,6.785000,0.231629,160
2002-09-13,6.780000,6.900000,6.740000,6.820000,0.232823,24450
2002-09-16,6.800000,6.850000,6.655000,6.715000,0.229239,4660
2002-09-17,6.850000,6.850000,6.600000,6.655000,0.227191,25800
2002-09-18,6.800000,6.800000,6.800000,6.800000,0.232141,140
2002-09-19,6.690000,6.800000,6.610000,6.730000,0.229751,18580
2002-09-20,6.700000,7.000000,6.700000,6.875000,0.234701,17760
2002-09-23,6.900000,6.900000,6.800000,6.800000,0.232141,3280
2002-09-24,6.800000,6.870000,6.800000,6.800000,0.232141,9340
2002-09-25,6.665000,6.795000,6.660000,6.700000,0.228727,4000
2002-09-26,6.875000,6.875000,6.840000,6.850000,0.233848,1500
2002-09-27,6.900000,6.900000,6.755000,6.850000,0.233848,8180
2002-09-30,6.750000,6.895000,6.750000,6.755000,0.230604,50
2002-10-01,6.800000,6.850000,6.665000,6.700000,0.228727,2340
2002-10-02,null,null,null,null,null,null
2002-10-03,6.600000,6.900000,6.600000,6.650000,0.227020,9130
2002-10-04,6.600000,6.750000,6.600000,6.700000,0.228727,13130
2002-10-07,6.610000,6.660000,6.600000,6.600000,0.225313,5620
2002-10-08,6.600000,6.600000,6.550000,6.600000,0.225313,3620
2002-10-09,6.635000,6.635000,6.620000,6.625000,0.226166,1000
2002-10-10,6.600000,6.800000,6.600000,6.765000,0.230946,910
2002-10-11,null,null,null,null,null,null
2002-10-14,6.800000,6.995000,6.600000,6.800000,0.232141,11480
2002-10-15,null,null,null,null,null,null
2002-10-16,7.480000,7.480000,6.550000,6.650000,0.227020,48570
2002-10-17,7.300000,7.300000,6.595000,6.650000,0.227020,119690
2002-10-18,7.300000,7.300000,6.500000,6.535000,0.223094,31300
2002-10-21,6.500000,6.695000,6.390000,6.500000,0.221899,67750
2002-10-22,6.600000,6.600000,6.415000,6.435000,0.219680,7500
2002-10-23,7.000000,7.000000,6.330000,6.395000,0.218315,40570
2002-10-24,6.450000,6.500000,6.405000,6.475000,0.221046,2820
2002-10-25,6.595000,6.595000,6.185000,6.250000,0.213365,26100
2002-10-28,6.390000,6.390000,6.200000,6.240000,0.213023,2530
2002-10-29,6.350000,6.400000,6.300000,6.335000,0.216266,15320
2002-10-30,6.205000,6.365000,6.200000,6.200000,0.211658,6400
2002-10-31,6.395000,6.400000,6.250000,6.350000,0.216778,1850
2002-11-01,6.300000,6.300000,6.300000,6.300000,0.215071,1000
2002-11-04,null,null,null,null,null,null
2002-11-05,6.400000,6.400000,6.250000,6.275000,0.214218,5250
2002-11-06,null,null,null,null,null,null
2002-11-07,6.205000,6.365000,6.200000,6.275000,0.214218,13920
2002-11-08,6.250000,6.300000,6.215000,6.250000,0.213365,6730
2002-11-11,6.400000,6.400000,6.220000,6.235000,0.212852,10030
2002-11-12,6.380000,6.380000,6.225000,6.225000,0.212511,570
2002-11-13,6.205000,6.350000,6.110000,6.200000,0.211658,12380
2002-11-14,6.200000,6.300000,6.200000,6.235000,0.212852,39900
2002-11-15,6.235000,6.240000,6.155000,6.155000,0.210121,4370
2002-11-18,6.300000,6.400000,6.300000,6.385000,0.217973,21820
2002-11-19,null,null,null,null,null,null
2002-11-20,6.400000,6.600000,6.400000,6.440000,0.219851,11750
2002-11-21,6.500000,6.500000,6.370000,6.405000,0.218656,10160
2002-11-22,6.540000,6.600000,6.500000,6.500000,0.221899,8670
2002-11-25,6.580000,6.640000,6.560000,6.605000,0.225484,26390
2002-11-26,6.700000,6.750000,6.550000,6.675000,0.227873,5830
2002-11-27,6.430000,6.700000,6.430000,6.605000,0.225484,3040
2002-11-28,6.650000,6.800000,6.620000,6.780000,0.231458,12970
2002-11-29,6.775000,6.800000,6.500000,6.625000,0.226166,13560
2002-12-02,6.775000,6.800000,6.685000,6.800000,0.232141,21100
2002-12-03,6.800000,6.800000,6.615000,6.700000,0.228727,11440
2002-12-04,6.700000,6.750000,6.600000,6.645000,0.226849,13680
2002-12-05,6.740000,6.750000,6.625000,6.625000,0.226166,6980
2002-12-06,6.725000,6.900000,6.700000,6.800000,0.232141,21640
2002-12-09,6.725000,6.800000,6.610000,6.650000,0.227020,6140
2002-12-10,6.675000,6.675000,6.675000,6.675000,0.227873,1000
2002-12-11,6.690000,6.795000,6.600000,6.605000,0.225484,22730
2002-12-12,6.600000,6.695000,6.600000,6.600000,0.225313,33890
2002-12-13,6.800000,6.800000,6.600000,6.600000,0.225313,70070
2002-12-16,6.650000,6.650000,6.465000,6.510000,0.222240,24050
2002-12-17,6.600000,6.600000,6.200000,6.210000,0.211999,75980
2002-12-18,6.395000,6.585000,6.265000,6.585000,0.224801,12090
2002-12-19,6.550000,6.690000,6.505000,6.510000,0.222240,23950
2002-12-20,6.650000,6.650000,6.450000,6.480000,0.221216,2940
2002-12-23,6.630000,6.630000,6.450000,6.550000,0.223606,23670
2002-12-24,6.515000,6.600000,6.500000,6.505000,0.222070,3610
2002-12-25,null,null,null,null,null,null
2002-12-26,6.525000,6.650000,6.430000,6.650000,0.227020,14890
2002-12-27,6.530000,6.685000,6.475000,6.640000,0.226678,12980
2002-12-30,6.600000,6.640000,6.475000,6.600000,0.225313,6780
2002-12-31,6.600000,6.785000,6.600000,6.615000,0.225825,9120
2003-01-01,6.620000,6.800000,6.600000,6.790000,0.231799,12760
2003-01-02,6.740000,6.825000,6.635000,6.650000,0.227020,19040
2003-01-03,7.250000,7.315000,7.125000,7.315000,0.249722,156290
2003-01-06,7.740000,7.900000,7.100000,7.750000,0.264572,546780
2003-01-07,7.900000,8.200000,7.705000,7.840000,0.267644,455960
2003-01-08,7.800000,7.895000,7.600000,7.625000,0.260305,62550
2003-01-09,7.675000,7.750000,7.605000,7.740000,0.264231,34900
2003-01-10,7.700000,7.705000,7.405000,7.410000,0.252965,46940
2003-01-13,7.455000,7.455000,7.200000,7.375000,0.251770,46780
2003-01-14,7.400000,7.550000,7.350000,7.385000,0.252112,37140
2003-01-15,7.375000,7.550000,7.370000,7.450000,0.254331,17100
2003-01-16,7.325000,7.480000,7.325000,7.380000,0.251941,29220
2003-01-17,7.500000,7.500000,7.300000,7.335000,0.250405,56830
2003-01-20,7.310000,7.395000,7.200000,7.245000,0.247332,25710
2003-01-21,7.205000,7.350000,7.130000,7.245000,0.247332,60570
2003-01-22,7.800000,7.800000,7.255000,7.315000,0.249722,7890
2003-01-23,7.400000,7.445000,7.260000,7.360000,0.251258,39100
2003-01-24,7.280000,7.350000,7.200000,7.225000,0.246649,27630
2003-01-27,7.200000,7.340000,7.015000,7.020000,0.239651,28460
2003-01-28,7.035000,7.180000,7.000000,7.015000,0.239480,20280
2003-01-29,7.200000,7.200000,6.800000,6.805000,0.232311,65070
2003-01-30,6.825000,7.000000,6.750000,6.910000,0.235896,12830
2003-01-31,6.800000,6.985000,6.700000,6.725000,0.229580,53290
2003-02-03,6.700000,7.230000,6.700000,6.970000,0.237944,51170
2003-02-04,6.950000,7.020000,6.905000,7.000000,0.238968,14500
2003-02-05,6.950000,7.000000,6.870000,6.920000,0.236237,11750
2003-02-06,7.050000,7.285000,6.910000,7.040000,0.240334,10760
2003-02-07,6.855000,6.995000,6.855000,6.900000,0.235555,2860
2003-02-10,7.000000,7.275000,7.000000,7.060000,0.241017,14070
2003-02-11,7.055000,7.295000,7.055000,7.250000,0.247503,25020
2003-02-12,7.300000,7.300000,7.200000,7.215000,0.246308,6810
2003-02-13,null,null,null,null,null,null
2003-02-14,7.165000,7.165000,7.005000,7.095000,0.242211,12310
2003-02-17,7.195000,7.800000,7.050000,7.300000,0.249210,12630
2003-02-18,7.300000,7.500000,7.160000,7.350000,0.250917,13250
2003-02-19,7.350000,7.410000,7.350000,7.365000,0.251429,11060
2003-02-20,7.400000,7.500000,7.285000,7.380000,0.251941,27330
2003-02-21,7.330000,7.350000,7.270000,7.295000,0.249039,4090
2003-02-24,7.205000,7.495000,7.205000,7.320000,0.249893,13760
2003-02-25,7.115000,7.395000,6.905000,7.065000,0.241187,31690
