Date,open,high,low,close,adj_close,volume
2000-01-03,22.000000,22.000000,19.500000,19.600000,10.067304,1700
2000-01-04,20.000000,20.000000,18.150000,18.299999,9.399574,2350
2000-01-05,18.000000,18.000000,17.100000,17.549999,9.014344,2500
2000-01-06,18.000000,19.000000,18.000000,19.000000,9.759120,2200
2000-01-07,18.900000,19.000000,18.299999,19.000000,9.759120,1200
2000-01-10,20.400000,20.500000,18.750000,18.950001,9.733439,6750
2000-01-11,19.000000,19.250000,18.850000,19.000000,9.759120,6300
2000-01-12,18.500000,18.500000,16.500000,16.500000,8.475026,2050
2000-01-13,17.549999,18.500000,16.900000,17.400000,8.937298,34000
2000-01-14,17.500000,19.600000,17.500000,18.450001,9.476621,12050
2000-01-17,18.000000,18.600000,18.000000,18.500000,9.502301,10950
2000-01-18,18.000000,18.000000,17.000000,17.950001,9.219800,11200
2000-01-19,18.000000,18.299999,18.000000,18.250000,9.373893,1450
2000-01-20,18.000000,18.500000,17.799999,17.799999,9.142755,4050
2000-01-21,17.500000,19.000000,17.500000,19.000000,9.759120,6100
2000-01-24,20.000000,20.150000,17.549999,18.700001,9.605031,16150
2000-01-25,19.500000,19.500000,17.650000,17.650000,9.065708,11900
2000-01-26,null,null,null,null,null,null
2000-01-27,17.750000,17.799999,17.750000,17.750000,9.117072,2100
2000-01-28,17.299999,17.700001,17.000000,17.049999,8.757525,5500
2000-01-31,17.049999,17.299999,16.549999,17.299999,8.885936,3150
2000-02-01,16.000000,16.950001,16.000000,16.850000,8.654799,3200
2000-02-02,16.500000,16.950001,16.150000,16.950001,8.706164,2250
2000-02-03,16.350000,17.400000,16.350000,17.000000,8.731846,2000
2000-02-04,16.250000,16.950001,16.250000,16.900000,8.680481,2800
2000-02-07,16.299999,16.549999,16.299999,16.549999,8.500708,1200
2000-02-08,16.250000,16.250000,15.000000,15.650000,8.038433,4550
2000-02-09,15.500000,19.250000,14.200000,16.900000,8.680481,3400
2000-02-10,16.900000,17.500000,16.900000,17.400000,8.937298,2700
2000-02-11,18.000000,20.750000,17.000000,17.049999,8.757525,3200
2000-02-14,16.500000,17.250000,16.500000,16.600000,8.526390,1400
2000-02-15,16.600000,16.600000,15.250000,16.049999,8.243890,3450
2000-02-16,16.500000,17.350000,16.500000,17.350000,8.911619,1400
2000-02-17,16.100000,16.950001,16.049999,16.650000,8.552072,700
2000-02-18,15.500000,16.500000,15.000000,15.800000,8.115479,2400
2000-02-21,14.000000,16.000000,14.000000,15.250000,7.832978,2100
2000-02-22,14.500000,16.000000,14.500000,15.150000,7.781614,3050
2000-02-23,15.500000,15.600000,14.750000,15.050000,7.730251,2200
2000-02-24,15.600000,16.500000,15.600000,16.400000,8.423661,4500
2000-02-25,16.000000,16.700001,16.000000,16.500000,8.475026,1500
2000-02-28,16.600000,17.500000,16.600000,16.600000,8.526390,3650
2000-02-29,16.500000,16.950001,16.000000,16.650000,8.552072,6550
2000-03-01,16.000000,16.000000,15.500000,15.500000,7.961388,600
2000-03-02,15.500000,16.450001,15.000000,15.250000,7.832978,7800
2000-03-03,14.700000,15.100000,14.500000,15.000000,7.704569,4900
2000-03-06,15.950000,15.950000,15.000000,15.050000,7.730251,5600
2000-03-07,15.000000,15.000000,14.050000,14.050000,7.216614,2500
2000-03-08,13.050000,14.000000,13.050000,13.250000,6.805704,1800
2000-03-09,13.250000,13.250000,13.000000,13.100000,6.728657,2950
2000-03-10,13.250000,15.000000,13.250000,15.000000,7.704569,3100
2000-03-13,14.450000,15.150000,13.500000,13.550000,6.959794,3900
2000-03-14,13.500000,14.500000,13.100000,13.250000,6.805704,4300
2000-03-15,14.900000,15.000000,13.000000,13.250000,6.805704,6500
2000-03-16,13.900000,14.200000,13.000000,13.000000,6.677294,11500
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,13.900000,14.000000,12.900000,13.000000,6.677294,4950
2000-03-22,12.500000,12.750000,12.000000,12.600000,6.471839,13400
2000-03-23,12.600000,12.750000,12.000000,12.050000,6.189339,7700
2000-03-24,11.550000,12.500000,11.000000,12.500000,6.420475,12750
2000-03-27,12.400000,15.000000,12.400000,14.800000,7.601841,7700
2000-03-28,14.000000,14.200000,13.500000,13.650000,7.011158,3750
2000-03-29,13.100000,14.000000,13.000000,14.000000,7.190931,2500
2000-03-30,13.100000,13.100000,13.100000,13.100000,6.728657,300
2000-03-31,13.500000,16.000000,13.500000,15.000000,7.704569,6900
2000-04-03,15.250000,15.500000,15.000000,15.450000,7.935706,9900
2000-04-04,14.950000,15.000000,14.250000,14.250000,7.319341,8950
2000-04-05,14.900000,14.900000,14.400000,14.400000,7.396386,500
2000-04-06,14.350000,14.350000,13.650000,13.650000,7.011158,2300
2000-04-07,14.200000,14.950000,14.200000,14.950000,7.678886,6200
2000-04-10,14.950000,15.500000,14.500000,15.500000,7.961388,1700
2000-04-11,15.000000,16.250000,15.000000,15.700000,8.064116,7150
2000-04-12,16.000000,16.000000,15.000000,15.000000,7.704569,1600
2000-04-13,14.900000,14.900000,14.250000,14.900000,7.653204,1950
2000-04-14,null,null,null,null,null,null
2000-04-17,15.100000,16.700001,15.100000,16.049999,8.243890,2150
2000-04-18,16.000000,16.000000,15.500000,15.750000,8.089799,4300
2000-04-19,16.000000,16.000000,15.550000,15.550000,7.987071,2200
2000-04-20,15.550000,16.000000,15.500000,15.950000,8.192525,2300
2000-04-21,null,null,null,null,null,null
2000-04-24,null,null,null,null,null,null
2000-04-25,15.200000,15.200000,15.000000,15.000000,7.704569,1050
2000-04-26,14.500000,14.500000,14.500000,14.500000,7.447750,1000
2000-04-27,12.500000,14.250000,12.500000,14.250000,7.319341,2600
2000-04-28,null,null,null,null,null,null
2000-05-01,null,null,null,null,null,null
2000-05-02,13.700000,13.700000,13.700000,13.700000,7.036839,600
2000-05-03,13.800000,14.000000,13.800000,14.000000,7.190931,600
2000-05-04,14.900000,14.900000,13.700000,13.700000,7.036839,1800
2000-05-05,14.500000,14.500000,14.400000,14.400000,7.396386,600
2000-05-08,14.700000,15.000000,14.700000,14.700000,7.550478,2550
2000-05-09,14.600000,17.400000,14.600000,16.049999,8.243890,7400
2000-05-10,null,null,null,null,null,null
2000-05-11,15.050000,15.050000,15.050000,15.050000,7.730251,50
2000-05-12,16.850000,16.850000,15.000000,15.000000,7.704569,2450
2000-05-15,16.350000,16.850000,15.500000,15.500000,7.961388,2150
2000-05-16,15.500000,16.000000,15.500000,15.500000,7.961388,950
2000-05-17,16.350000,16.350000,15.200000,15.200000,7.807297,400
2000-05-18,null,null,null,null,null,null
2000-05-19,15.150000,15.150000,15.150000,15.150000,7.781614,250
2000-05-22,15.950000,15.950000,15.000000,15.050000,7.730251,2100
2000-05-23,15.100000,15.150000,15.000000,15.100000,7.755933,7750
2000-05-24,16.000000,17.200001,16.000000,16.400000,8.423661,1750
2000-05-25,16.650000,18.000000,16.500000,17.400000,8.937298,9950
2000-05-26,17.000000,18.000000,16.799999,17.850000,9.168435,6400
2000-05-29,16.900000,18.000000,16.500000,18.000000,9.245483,3500
2000-05-30,17.549999,17.700001,17.000000,17.350000,8.911619,11350
2000-05-31,17.950001,17.950001,17.350000,17.400000,8.937298,2100
2000-06-01,17.250000,17.799999,17.250000,17.250000,8.860254,900
2000-06-02,17.450001,17.650000,17.000000,17.350000,8.911619,30500
2000-06-05,16.500000,18.000000,16.500000,17.600000,9.040027,9500
2000-06-06,17.400000,17.500000,17.250000,17.400000,8.937298,8350
2000-06-07,17.299999,18.000000,17.200001,17.250000,8.860254,8350
2000-06-08,17.150000,19.000000,17.150000,18.549999,9.527986,34150
2000-06-09,18.500000,18.500000,17.299999,17.850000,9.168435,19250
2000-06-12,17.799999,17.799999,17.500000,17.750000,9.117072,10100
2000-06-13,17.500000,17.850000,17.400000,17.549999,9.014344,8200
2000-06-14,17.549999,18.100000,17.400000,17.400000,8.937298,9800
2000-06-15,17.299999,18.000000,17.250000,18.000000,9.245483,4250
2000-06-16,18.200001,18.200001,18.000000,18.000000,9.245483,650
2000-06-19,17.299999,18.500000,17.299999,18.400000,9.450937,32500
2000-06-20,18.700001,18.700001,18.100000,18.549999,9.527986,3000
2000-06-21,17.549999,17.549999,17.549999,17.549999,9.014344,650
2000-06-22,18.500000,19.000000,18.500000,19.000000,9.759120,3350
2000-06-23,19.000000,19.250000,18.049999,19.150000,9.836166,12350
2000-06-26,18.700001,19.000000,18.700001,19.000000,9.759120,2900
2000-06-27,18.350000,19.000000,18.299999,18.500000,9.502301,2650
2000-06-28,18.000000,18.549999,18.000000,18.549999,9.527986,2100
2000-06-29,18.500000,18.500000,17.850000,18.000000,9.245483,2500
2000-06-30,17.600000,17.600000,17.549999,17.600000,9.040027,700
2000-07-03,17.150000,18.049999,17.150000,18.000000,9.245483,1550
2000-07-04,17.850000,17.900000,17.850000,17.900000,9.194118,200
2000-07-05,17.500000,17.500000,17.500000,17.500000,8.988664,1000
2000-07-06,17.250000,17.600000,17.250000,17.500000,8.988664,650
2000-07-07,17.500000,17.500000,17.500000,17.500000,8.988664,500
2000-07-10,17.250000,17.600000,17.250000,17.549999,9.014344,1900
2000-07-11,18.000000,18.000000,17.600000,17.600000,9.040027,800
2000-07-12,17.500000,17.600000,17.500000,17.600000,9.040027,1050
2000-07-13,17.600000,18.000000,17.500000,18.000000,9.245483,5400
2000-07-14,18.000000,18.000000,18.000000,18.000000,9.245483,3050
2000-07-17,17.650000,18.250000,17.650000,18.000000,9.245483,2600
2000-07-18,17.850000,18.500000,17.850000,17.950001,9.219800,16250
2000-07-19,18.750000,18.799999,16.000000,17.000000,8.731846,31850
2000-07-20,17.700001,17.750000,16.850000,17.000000,8.731846,14100
2000-07-21,16.950001,17.600000,16.850000,17.200001,8.834573,3800
2000-07-24,17.000000,17.049999,16.900000,17.000000,8.731846,3500
2000-07-25,17.700001,18.000000,17.700001,17.950001,9.219800,3500
2000-07-26,17.799999,22.000000,17.400000,18.450001,9.476621,1300
2000-07-27,18.200001,18.500000,18.200001,18.500000,9.502301,1100
2000-07-28,18.000000,18.799999,18.000000,18.799999,9.656392,5650
2000-07-31,20.000000,22.950001,20.000000,22.600000,11.608219,35350
2000-08-01,21.799999,23.500000,21.500000,22.600000,11.608219,34650
2000-08-02,22.000000,23.000000,22.000000,22.950001,11.787992,29350
2000-08-03,22.600000,23.100000,22.600000,22.650000,11.633900,11800
2000-08-04,22.350000,22.500000,21.150000,21.450001,11.017535,13650
2000-08-07,21.350000,21.900000,21.000000,21.000000,10.786399,8850
2000-08-08,20.200001,21.600000,20.200001,21.400000,10.991853,21250
2000-08-09,21.950001,23.049999,21.600000,23.049999,11.839355,14300
2000-08-10,23.000000,24.000000,22.500000,22.950001,11.787992,10450
2000-08-11,23.250000,23.250000,22.250000,22.950001,11.787992,7700
2000-08-14,24.500000,24.500000,22.500000,23.150000,11.890718,9900
2000-08-15,null,null,null,null,null,null
2000-08-16,22.500000,23.400000,22.049999,23.049999,11.839355,6600
2000-08-17,22.500000,23.000000,22.500000,22.549999,11.582535,10100
2000-08-18,22.500000,23.000000,22.000000,23.000000,11.813673,13600
2000-08-21,22.500000,22.500000,22.250000,22.250000,11.428447,3200
2000-08-22,22.450001,23.000000,22.000000,22.500000,11.556855,11500
2000-08-23,23.000000,24.000000,23.000000,23.000000,11.813673,4072
2000-08-24,22.600000,22.799999,22.600000,22.799999,11.710945,550
2000-08-25,23.000000,23.400000,22.500000,23.400000,12.019130,8478
2000-08-28,23.500000,23.500000,23.000000,23.450001,12.044811,1200
2000-08-29,23.450001,23.500000,23.000000,23.500000,12.070494,1700
2000-08-30,23.450001,23.450001,23.200001,23.200001,11.916400,1000
2000-08-31,23.400000,23.400000,23.000000,23.350000,11.993445,1950
2000-09-01,null,null,null,null,null,null
2000-09-04,23.000000,23.000000,23.000000,23.000000,11.813673,6022
2000-09-05,23.000000,23.000000,22.500000,23.000000,11.813673,1000
2000-09-06,23.000000,23.000000,22.500000,22.500000,11.556855,140
2000-09-07,22.299999,23.000000,22.299999,23.000000,11.813673,550
2000-09-08,23.350000,23.350000,22.049999,22.500000,11.556855,850
2000-09-11,22.000000,22.600000,22.000000,22.100000,11.351401,4149
2000-09-12,22.100000,22.150000,22.100000,22.100000,11.351401,660
2000-09-13,22.000000,22.000000,22.000000,22.000000,11.300035,20500
2000-09-14,22.250000,22.250000,21.500000,21.500000,11.043218,2000
2000-09-15,21.500000,21.500000,20.500000,21.000000,10.786399,16400
2000-09-18,20.049999,21.500000,20.000000,20.950001,10.760716,7350
2000-09-19,20.100000,20.250000,20.000000,20.000000,10.272758,4350
2000-09-20,20.450001,21.000000,20.450001,20.500000,10.529579,3450
2000-09-21,20.500000,21.000000,20.500000,20.500000,10.529579,5600
2000-09-22,20.000000,20.000000,19.000000,20.000000,10.272758,6650
2000-09-25,19.500000,19.500000,19.500000,19.500000,10.015941,3800
2000-09-26,19.500000,19.500000,19.500000,19.500000,10.015941,900
2000-09-27,null,null,null,null,null,null
2000-09-28,19.500000,19.900000,19.500000,19.900000,10.221394,519
2000-09-29,19.500000,19.500000,19.500000,19.500000,10.015941,200
2000-10-02,null,null,null,null,null,null
2000-10-03,20.000000,20.000000,20.000000,20.000000,10.272758,50
2000-10-04,19.950001,19.950001,19.500000,19.850000,10.195715,360
2000-10-05,19.900000,20.000000,19.900000,19.900000,10.221394,2200
2000-10-06,19.500000,19.500000,19.500000,19.500000,10.015941,200
2000-10-09,null,null,null,null,null,null
2000-10-10,19.500000,20.000000,19.500000,20.000000,10.272758,750
2000-10-11,19.500000,19.500000,19.049999,19.049999,9.784801,1150
2000-10-12,null,null,null,null,null,null
2000-10-13,null,null,null,null,null,null
2000-10-16,19.500000,19.950001,19.500000,19.950001,10.247078,200
2000-10-17,19.000000,19.049999,19.000000,19.049999,9.784801,1150
2000-10-18,22.500000,22.500000,19.000000,19.000000,9.759120,602
2000-10-19,19.500000,19.500000,19.500000,19.500000,10.015941,350
2000-10-20,21.000000,21.100000,20.600000,20.600000,10.580941,15795
2000-10-23,21.400000,21.400000,20.100000,20.100000,10.324125,505
2000-10-24,21.000000,21.000000,20.299999,20.299999,10.426849,896
2000-10-25,21.299999,21.950001,21.049999,21.400000,10.991853,3650
2000-10-26,21.450001,21.450001,21.400000,21.450001,11.017535,1449
2000-10-27,21.400000,21.400000,21.299999,21.299999,10.940489,2700
2000-10-30,21.299999,21.299999,20.850000,21.000000,10.786399,5250
2000-10-31,20.299999,20.299999,20.299999,20.299999,10.426849,750
2000-11-01,20.000000,20.799999,20.000000,20.000000,10.272758,11700
2000-11-02,20.000000,20.500000,20.000000,20.000000,10.272758,3902
2000-11-03,20.500000,20.500000,20.000000,20.200001,10.375488,450
2000-11-06,19.100000,20.500000,19.100000,20.000000,10.272758,3950
2000-11-07,19.500000,19.500000,19.500000,19.500000,10.015941,500
2000-11-08,19.900000,19.900000,19.500000,19.500000,10.015941,519
2000-11-09,19.500000,19.549999,19.500000,19.549999,10.041620,1050
2000-11-10,19.500000,20.000000,19.500000,19.900000,10.221394,1619
2000-11-13,20.250000,20.250000,19.049999,20.000000,10.272758,6550
