Date,open,high,low,close,adj_close,volume
2015-01-02,2.150000,2.150000,2.150000,2.150000,2.150000,150
2015-01-05,2.150000,2.150000,2.150000,2.150000,2.150000,0
2015-01-06,2.150000,2.150000,2.150000,2.150000,2.150000,0
2015-01-07,2.050000,2.050000,2.050000,2.050000,2.050000,99
2015-01-08,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-01-09,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-01-12,2.450000,2.450000,2.450000,2.450000,2.450000,400
2015-01-13,2.700000,2.700000,2.700000,2.700000,2.700000,20
2015-01-14,2.550000,2.550000,2.550000,2.550000,2.550000,1000
2015-01-15,3.000000,3.000000,3.000000,3.000000,3.000000,2167
2015-01-16,2.950000,2.950000,2.950000,2.950000,2.950000,500
2015-01-19,2.700000,2.700000,2.700000,2.700000,2.700000,2000
2015-01-20,2.550000,2.850000,2.550000,2.550000,2.550000,500
2015-01-21,2.600000,2.650000,2.500000,2.600000,2.600000,1120
2015-01-22,2.600000,2.600000,2.550000,2.600000,2.600000,1135
2015-01-23,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-01-27,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-01-28,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-01-29,2.800000,2.800000,2.350000,2.800000,2.800000,2100
2015-01-30,2.950000,2.950000,2.600000,2.950000,2.950000,1325
2015-02-02,2.700000,2.950000,2.700000,2.700000,2.700000,1601
2015-02-03,2.700000,2.700000,2.700000,2.700000,2.700000,0
2015-02-04,2.700000,2.700000,2.700000,2.700000,2.700000,0
2015-02-05,2.500000,2.500000,2.500000,2.500000,2.500000,50
2015-02-06,3.000000,3.000000,2.900000,3.000000,3.000000,559
2015-02-09,2.400000,2.400000,2.400000,2.400000,2.400000,17
2015-02-10,2.300000,2.350000,2.300000,2.300000,2.300000,600
2015-02-11,2.750000,2.750000,2.300000,2.750000,2.750000,2200
2015-02-12,2.950000,3.300000,2.950000,2.950000,2.950000,99
2015-02-13,2.400000,2.400000,2.400000,2.400000,2.400000,1500
2015-02-16,2.100000,2.350000,2.000000,2.100000,2.100000,3531
2015-02-18,2.100000,2.100000,2.100000,2.100000,2.100000,0
2015-02-19,2.100000,2.100000,2.100000,2.100000,2.100000,0
2015-02-20,2.500000,2.500000,2.500000,2.500000,2.500000,450
2015-02-23,2.900000,2.950000,2.900000,2.900000,2.900000,260
2015-02-24,3.000000,3.000000,3.000000,3.000000,3.000000,470
2015-02-25,3.050000,3.150000,3.050000,3.050000,3.050000,480
2015-02-26,2.750000,2.750000,2.750000,2.750000,2.750000,50
2015-02-27,3.000000,3.000000,2.850000,3.000000,3.000000,2442
2015-02-28,null,null,null,null,null,null
2015-03-02,3.300000,3.350000,3.300000,3.300000,3.300000,120
2015-03-03,3.300000,3.300000,3.300000,3.300000,3.300000,0
2015-03-04,3.000000,3.000000,3.000000,3.000000,3.000000,250
2015-03-05,3.000000,3.000000,3.000000,3.000000,3.000000,0
2015-03-09,3.000000,3.000000,3.000000,3.000000,3.000000,0
2015-03-10,2.800000,2.800000,2.800000,2.800000,2.800000,20
2015-03-11,2.900000,2.900000,2.900000,2.900000,2.900000,10
2015-03-12,3.000000,3.000000,3.000000,3.000000,3.000000,20
2015-03-13,3.000000,3.000000,3.000000,3.000000,3.000000,0
2015-03-16,3.000000,3.000000,3.000000,3.000000,3.000000,0
2015-03-17,3.300000,3.300000,2.700000,3.300000,3.300000,1080
2015-03-18,3.000000,3.000000,3.000000,3.000000,3.000000,700
2015-03-19,3.000000,3.000000,3.000000,3.000000,3.000000,0
2015-03-20,2.850000,2.850000,2.850000,2.850000,2.850000,300
2015-03-23,2.600000,2.700000,2.600000,2.600000,2.600000,2800
2015-03-24,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-03-25,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-03-26,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-03-27,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-03-30,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-03-31,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-04-01,2.500000,2.500000,2.500000,2.500000,2.500000,200
2015-04-06,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-04-07,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-04-08,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-04-09,2.500000,2.500000,2.500000,2.500000,2.500000,0
2015-04-10,2.400000,2.400000,2.400000,2.400000,2.400000,800
2015-04-13,2.450000,2.500000,2.450000,2.450000,2.450000,300
2015-04-15,2.450000,2.450000,2.450000,2.450000,2.450000,0
2015-04-16,2.350000,2.450000,2.350000,2.350000,2.350000,1500
2015-04-17,2.350000,2.350000,2.350000,2.350000,2.350000,0
2015-04-20,2.450000,2.450000,2.450000,2.450000,2.450000,600
2015-04-21,2.350000,2.350000,2.350000,2.350000,2.350000,3500
