Date,open,high,low,close,adj_close,volume
2002-07-01,17.500000,18.000000,17.000000,17.549999,14.725128,8119
2002-07-02,17.600000,21.100000,16.900000,21.000000,17.619816,180526
2002-07-03,22.000000,22.000000,19.000000,19.500000,16.361258,78589
2002-07-04,19.500000,19.900000,18.950001,19.450001,16.319309,32155
2002-07-05,19.200001,19.950001,19.000000,19.750000,16.571018,14978
2002-07-08,19.500000,22.600000,19.500000,21.600000,18.123238,88042
2002-07-09,22.799999,23.750000,22.200001,22.650000,19.004230,123008
2002-07-10,23.700001,24.799999,22.600000,22.850000,19.172037,137284
2002-07-11,23.250000,23.500000,21.799999,22.150000,18.584713,15562
2002-07-12,22.500000,26.600000,22.000000,26.350000,22.108675,389938
2002-07-15,27.000000,27.000000,24.150000,25.100000,21.059875,107378
2002-07-16,25.150000,25.400000,24.000000,24.350000,20.430595,38774
2002-07-17,24.000000,24.400000,22.500000,22.950001,19.255941,24117
2002-07-18,23.500000,23.750000,23.200001,23.500000,19.717413,17620
2002-07-19,25.000000,25.400000,23.750000,23.900000,20.053024,40667
2002-07-22,24.200001,24.400000,22.500000,23.000000,19.297895,16951
2002-07-23,22.000000,23.500000,22.000000,23.150000,19.423750,6335
2002-07-24,22.799999,23.450001,22.549999,22.750000,19.088133,8821
2002-07-25,22.900000,22.900000,22.250000,22.299999,18.710566,9809
2002-07-26,22.500000,26.000000,21.150000,21.549999,18.081287,12150
2002-07-29,21.000000,21.650000,17.350000,19.299999,16.193451,16928
2002-07-30,20.799999,20.799999,18.900000,19.299999,16.193451,9190
2002-07-31,19.000000,19.000000,17.250000,18.900000,15.857834,5799
2002-08-01,19.700001,19.700001,18.500000,18.750000,15.731983,4279
2002-08-02,18.150000,18.500000,16.700001,16.950001,14.221708,16036
2002-08-05,15.550000,16.950001,15.550000,16.450001,13.802191,12002
2002-08-06,16.049999,18.000000,16.049999,17.500000,14.683181,7250
2002-08-07,18.000000,18.000000,16.900000,17.150000,14.389517,10501
2002-08-08,16.799999,17.100000,16.650000,16.650000,13.969995,2350
2002-08-09,17.100000,17.100000,16.549999,16.900000,14.179759,3560
2002-08-12,17.900000,17.900000,16.400000,16.650000,13.969995,2515
2002-08-13,16.500000,17.049999,16.500000,16.850000,14.137804,1150
2002-08-14,16.500000,16.950001,16.150000,16.299999,13.676333,8953
2002-08-15,null,null,null,null,null,null
2002-08-16,16.150000,17.000000,16.150000,16.250000,13.634383,1677
2002-08-19,16.100000,16.799999,16.100000,16.350000,13.718286,1207
2002-08-20,16.200001,16.350000,16.100000,16.299999,13.676333,2653
2002-08-21,16.950001,16.950001,16.150000,16.200001,13.592430,2301
2002-08-22,16.150000,16.200001,16.000000,16.000000,13.424623,1500
2002-08-23,15.500000,16.200001,15.150000,15.750000,13.214863,2512
2002-08-26,15.600000,16.250000,15.400000,15.550000,13.047054,2826
2002-08-27,17.000000,17.000000,15.000000,15.100000,12.669487,10552
2002-08-28,15.950000,15.950000,15.100000,15.100000,12.669487,1701
2002-08-29,15.950000,15.950000,14.750000,15.200000,12.753390,1475
2002-08-30,15.800000,15.800000,14.850000,15.100000,12.669487,4954
2002-09-02,16.150000,16.150000,15.250000,15.300000,12.837295,2251
2002-09-03,16.500000,16.500000,15.250000,15.400000,12.921196,1901
2002-09-04,15.450000,16.799999,15.450000,16.450001,13.802191,4465
2002-09-05,15.100000,16.450001,15.100000,16.000000,13.424623,500
2002-09-06,15.050000,16.450001,14.900000,14.900000,12.501678,4624
2002-09-09,15.000000,15.600000,14.800000,15.100000,12.669487,6320
2002-09-10,null,null,null,null,null,null
2002-09-11,15.150000,15.500000,14.950000,15.100000,12.669487,2417
2002-09-12,15.950000,15.950000,14.850000,15.150000,12.711438,2126
2002-09-13,15.850000,15.850000,14.750000,15.450000,12.963151,1053
2002-09-16,15.250000,15.250000,14.800000,15.000000,12.585583,1502
2002-09-17,15.000000,15.000000,14.650000,14.700000,12.333871,1102
2002-09-18,14.750000,14.800000,14.300000,14.300000,11.998255,1504
2002-09-19,14.050000,14.350000,13.500000,13.700000,11.494832,3256
2002-09-20,12.550000,13.950000,12.550000,13.650000,11.452881,1843
2002-09-23,15.900000,15.900000,13.350000,13.750000,11.536786,2323
2002-09-24,14.950000,14.950000,13.500000,13.700000,11.494832,3375
2002-09-25,14.400000,14.400000,13.650000,13.650000,11.452881,903
2002-09-26,14.350000,14.350000,14.350000,14.350000,12.040208,1
2002-09-27,13.750000,14.300000,13.750000,14.300000,11.998255,1101
2002-09-30,14.950000,14.950000,13.700000,13.750000,11.536786,1703
2002-10-01,14.900000,14.900000,13.600000,14.350000,12.040208,202
2002-10-02,null,null,null,null,null,null
2002-10-03,13.650000,14.000000,13.650000,14.000000,11.746544,125
2002-10-04,14.000000,14.100000,13.500000,13.900000,11.662642,402
2002-10-07,14.650000,14.650000,13.650000,13.750000,11.536786,2115
2002-10-08,14.450000,14.450000,13.750000,13.850000,11.620688,832
2002-10-09,15.200000,15.200000,14.100000,14.400000,12.082160,1908
2002-10-10,16.250000,16.250000,14.000000,14.100000,11.830449,1001
2002-10-11,15.200000,15.200000,13.850000,14.400000,12.082160,1405
2002-10-14,15.200000,15.200000,13.150000,14.000000,11.746544,1352
2002-10-15,null,null,null,null,null,null
2002-10-16,13.500000,14.750000,13.500000,14.000000,11.746544,483
2002-10-17,15.200000,15.200000,13.150000,13.400000,11.243122,2937
2002-10-18,13.950000,13.950000,13.500000,13.900000,11.662642,2082
2002-10-21,15.000000,15.000000,13.600000,14.050000,11.788497,1610
2002-10-22,14.450000,14.450000,13.800000,13.950000,11.704593,391
2002-10-23,15.100000,15.100000,13.100000,13.800000,11.578738,663
2002-10-24,15.150000,15.150000,13.800000,13.800000,11.578738,679
2002-10-25,14.900000,14.900000,13.750000,13.800000,11.578738,1003
2002-10-28,12.750000,13.200000,12.600000,12.950000,10.865552,1102
2002-10-29,14.750000,14.750000,13.000000,13.400000,11.243122,1052
2002-10-30,16.049999,16.049999,12.000000,12.700000,10.655793,11881
2002-10-31,12.800000,12.850000,12.500000,12.650000,10.613840,3041
2002-11-01,11.550000,12.600000,11.500000,12.600000,10.571889,2081
2002-11-04,12.900000,13.450000,12.000000,12.200000,10.236275,880
2002-11-05,12.500000,12.500000,12.100000,12.250000,10.278226,2921
2002-11-06,null,null,null,null,null,null
2002-11-07,13.550000,13.550000,12.250000,12.650000,10.613840,2108
2002-11-08,12.500000,12.950000,12.050000,12.300000,10.320177,2101
2002-11-11,12.500000,12.900000,12.100000,12.100000,10.152369,696
2002-11-12,12.400000,12.450000,12.400000,12.450000,10.446033,400
2002-11-13,13.650000,13.650000,12.400000,12.400000,10.404081,241
2002-11-14,12.400000,12.850000,11.900000,12.050000,10.110418,3448
2002-11-15,12.500000,12.500000,11.950000,12.150000,10.194322,2520
2002-11-18,12.450000,13.000000,12.000000,12.700000,10.655793,1390
2002-11-19,null,null,null,null,null,null
2002-11-20,12.850000,13.000000,12.500000,12.650000,10.613840,3555
2002-11-21,13.400000,13.400000,12.500000,12.500000,10.487986,6226
2002-11-22,12.150000,13.350000,12.150000,12.750000,10.697743,5821
2002-11-25,13.350000,13.350000,12.500000,12.550000,10.529938,2460
2002-11-26,12.600000,12.750000,12.450000,12.600000,10.571889,8369
2002-11-27,12.450000,12.500000,12.250000,12.300000,10.320177,3872
2002-11-28,12.000000,12.500000,12.000000,12.300000,10.320177,10476
2002-11-29,12.500000,12.800000,12.100000,12.750000,10.697743,9881
2002-12-02,12.400000,13.800000,12.400000,13.400000,11.243122,14083
2002-12-03,13.400000,13.500000,12.850000,13.400000,11.243122,3641
2002-12-04,12.750000,13.000000,12.500000,12.650000,10.613840,3425
2002-12-05,12.800000,13.100000,12.800000,13.000000,10.907506,800
2002-12-06,13.100000,13.250000,12.900000,12.950000,10.865552,4101
2002-12-09,13.650000,13.650000,12.800000,12.800000,10.739697,2981
2002-12-10,12.600000,12.800000,12.600000,12.650000,10.613840,1000
2002-12-11,12.450000,12.750000,12.400000,12.500000,10.487986,1305
2002-12-12,12.350000,12.700000,12.350000,12.450000,10.446033,700
2002-12-13,12.550000,13.100000,12.550000,13.000000,10.907506,790
2002-12-16,12.600000,12.800000,12.150000,12.200000,10.236275,9936
2002-12-17,12.200000,12.600000,12.000000,12.500000,10.487986,2402
2002-12-18,12.500000,12.500000,12.150000,12.250000,10.278226,4675
2002-12-19,12.950000,12.950000,12.000000,12.300000,10.320177,7652
2002-12-20,12.100000,12.400000,12.050000,12.200000,10.236275,3450
2002-12-23,12.000000,13.350000,12.000000,12.150000,10.194322,2302
2002-12-24,12.100000,12.300000,12.100000,12.250000,10.278226,1743
2002-12-25,null,null,null,null,null,null
2002-12-26,12.400000,12.450000,12.100000,12.200000,10.236275,2465
2002-12-27,12.300000,12.300000,12.200000,12.250000,10.278226,2400
2002-12-30,12.050000,12.400000,12.050000,12.050000,10.110418,3544
2002-12-31,12.250000,12.250000,12.050000,12.100000,10.152369,3350
2003-01-01,13.000000,13.000000,12.050000,12.200000,10.236275,975
2003-01-02,12.300000,12.500000,12.300000,12.400000,10.404081,400
2003-01-03,12.100000,12.200000,12.000000,12.000000,10.068467,2250
2003-01-06,12.000000,12.300000,11.700000,11.700000,9.816756,1550
2003-01-07,11.750000,11.750000,11.750000,11.750000,9.858706,100
2003-01-08,11.800000,12.250000,11.800000,12.200000,10.236275,910
