Date,open,high,low,close,adj_close,volume
2000-08-02,12.497500,12.497500,12.497500,12.497500,-1.367024,100
2000-08-03,11.850000,12.000000,10.800000,11.547500,-1.263109,33020
2000-08-04,11.650000,11.650000,10.900000,11.200000,-1.225098,25500
2000-08-07,11.050000,11.050000,10.800000,10.807500,-1.182165,13320
2000-08-08,10.350000,11.000000,10.350000,10.742500,-1.175055,47520
2000-08-09,10.950000,11.000000,10.805000,10.805000,-1.181891,7000
2000-08-10,11.000000,11.145000,10.850000,10.950000,-1.197752,7900
2000-08-11,10.997500,11.400000,10.862500,10.862500,-1.188181,5700
2000-08-14,10.500000,10.995000,10.500000,10.657500,-1.165757,14800
2000-08-15,null,null,null,null,null,null
2000-08-16,11.050000,11.050000,10.715000,11.000000,-1.203221,14520
2000-08-17,10.657500,10.797500,10.652500,10.722500,-1.172867,3900
2000-08-18,10.525000,10.900000,10.525000,10.757500,-1.176696,5500
2000-08-21,10.775000,11.000000,10.700000,10.700000,-1.170406,9900
2000-08-22,10.800000,10.800000,10.500000,10.500000,-1.148529,19520
2000-08-23,10.550000,11.000000,10.550000,10.925000,-1.195017,7020
2000-08-24,11.150000,11.150000,10.650000,10.715000,-1.172047,11000
2000-08-25,10.950000,10.950000,10.650000,10.780000,-1.179157,10620
2000-08-28,10.900000,10.997500,10.650000,10.807500,-1.182165,16800
2000-08-29,10.802500,10.850000,10.600000,10.667500,-1.166851,21440
2000-08-30,10.750000,11.150000,10.675000,10.775000,-1.178610,13520
2000-08-31,10.500000,10.650000,10.250000,10.502500,-1.148803,5200
2000-09-01,null,null,null,null,null,null
2000-09-04,10.500000,10.700000,10.450000,10.650000,-1.164937,22060
2000-09-05,10.052500,10.900000,10.050000,10.212500,-1.117082,48700
2000-09-06,10.225000,10.897500,10.200000,10.257500,-1.122004,158080
2000-09-07,11.077500,11.077500,10.050000,10.192500,-1.114894,148180
2000-09-08,10.250000,10.250000,10.162500,10.245000,-1.120636,40240
2000-09-11,10.100000,10.297500,10.050000,10.130000,-1.108057,40960
2000-09-12,10.200000,10.250000,9.950000,10.047500,-1.099033,132440
2000-09-13,10.350000,10.350000,10.110000,10.145000,-1.109698,45040
2000-09-14,10.240000,10.295000,9.485000,9.535000,-1.042974,161440
2000-09-15,9.625000,9.745000,9.507500,9.597500,-1.049810,78620
2000-09-18,9.250000,9.650000,9.250000,9.477500,-1.036685,49820
2000-09-19,9.275000,9.550000,8.720000,8.992500,-0.983633,74780
2000-09-20,9.387500,9.545000,9.202500,9.375000,-1.025473,17700
2000-09-21,9.472500,9.695000,9.260000,9.400000,-1.028207,29000
2000-09-22,9.595000,9.595000,9.175000,9.282500,-1.015355,8880
2000-09-25,9.000000,9.400000,9.000000,9.247500,-1.011526,31680
2000-09-26,9.025000,9.250000,8.775000,8.910000,-0.974609,43840
2000-09-27,8.900000,8.900000,8.355000,8.772500,-0.959569,30300
2000-09-28,8.895000,8.895000,8.500000,8.592500,-0.939880,12220
2000-09-29,8.415000,8.740000,8.400000,8.582500,-0.938786,28540
2000-10-02,null,null,null,null,null,null
2000-10-03,8.250000,8.550000,8.250000,8.325000,-0.910620,31280
2000-10-04,8.300000,8.500000,8.200000,8.207500,-0.897767,118020
2000-10-05,8.400000,8.400000,7.415000,7.527500,-0.823386,265280
2000-10-06,7.305000,7.730000,7.300000,7.530000,-0.823660,1424620
2000-10-09,7.450000,7.550000,7.250000,7.315000,-0.800142,135400
2000-10-10,7.345000,7.400000,6.950000,7.005000,-0.766233,124860
2000-10-11,7.000000,7.900000,6.900000,7.695000,-0.841708,105260
2000-10-12,7.262500,8.200000,7.262500,7.812500,-0.854560,216240
2000-10-13,7.560000,7.745000,7.350000,7.425000,-0.812174,107120
2000-10-16,7.250000,7.900000,7.250000,7.640000,-0.835692,115000
