Date,open,high,low,close,adj_close,volume
2008-05-21,880.700012,880.700012,703.599976,786.599976,769.361755,4752
2008-05-22,786.000000,797.000000,754.000000,769.099976,752.245300,728
2008-05-23,770.000000,800.000000,705.299988,755.400024,738.845581,3941
2008-05-26,751.000000,777.950012,746.349976,759.049988,742.415527,301195
2008-05-27,765.000000,775.000000,740.000000,740.000000,723.783081,192500
2008-05-28,706.000000,765.000000,706.000000,724.000000,708.133667,800
2008-05-29,730.000000,730.000000,690.000000,708.299988,692.777710,406
2008-05-30,707.000000,721.000000,686.099976,711.549988,695.956482,835
2008-06-02,740.000000,741.000000,682.500000,692.599976,677.421753,2100
2008-06-03,667.000000,693.000000,640.250000,647.650024,633.456909,968
2008-06-04,653.000000,660.000000,612.000000,623.549988,609.885071,12679
2008-06-05,625.599976,625.599976,551.349976,599.250000,586.117554,218483
2008-06-06,572.500000,597.000000,570.099976,584.150024,571.348511,1451
2008-06-09,494.000000,580.000000,494.000000,533.000000,521.319397,4696
2008-06-10,485.000000,562.000000,485.000000,544.349976,532.420654,1055
2008-06-11,538.900024,579.000000,535.000000,553.700012,541.565735,895
2008-06-12,541.799988,550.000000,516.500000,536.349976,524.595947,2626
2008-06-13,531.000000,555.000000,531.000000,546.799988,534.816956,363
2008-06-16,565.000000,582.000000,560.000000,568.299988,555.845825,4018
2008-06-17,577.000000,580.000000,540.000000,555.500000,543.326355,3095
2008-06-18,551.099976,570.000000,476.200012,527.599976,516.037720,4442
2008-06-19,516.000000,516.000000,480.299988,487.149994,476.474213,4440
2008-06-20,495.000000,498.700012,412.000000,428.700012,419.305115,10587
2008-06-23,426.000000,439.500000,365.100006,378.049988,369.765076,18939
2008-06-24,374.250000,391.000000,355.000000,358.149994,350.301178,10700
2008-06-25,337.000000,380.000000,335.000000,368.850006,360.766693,9797
2008-06-26,365.149994,387.899994,365.149994,367.000000,358.957275,7551
2008-06-27,359.899994,366.000000,331.200012,346.950012,339.346680,12522
2008-06-30,343.000000,379.799988,300.000000,310.000000,303.206390,10500
2008-07-01,316.000000,333.000000,285.000000,291.299988,284.916199,8187
2008-07-02,291.100006,300.000000,246.500000,263.750000,257.969971,38110
2008-07-03,253.300003,266.000000,230.000000,235.699997,230.534683,20196
2008-07-04,240.000000,247.949997,230.000000,236.800003,231.610580,15772
2008-07-07,264.850006,264.850006,225.100006,232.500000,227.404800,31015
2008-07-08,225.000000,235.000000,222.199997,229.350006,224.323837,18769
2008-07-09,239.000000,253.000000,232.300003,240.250000,234.984970,44214
2008-07-10,243.000000,245.000000,237.399994,238.800003,233.566757,30474
2008-07-11,238.000000,240.000000,230.100006,231.449997,226.377808,15505
2008-07-14,230.050003,230.050003,219.000000,223.699997,218.797653,16809
2008-07-15,222.000000,233.899994,200.000000,210.399994,205.789124,69731
2008-07-16,215.000000,218.949997,200.050003,202.199997,197.768814,26668
2008-07-17,223.800003,234.000000,200.050003,226.649994,221.683014,21778
2008-07-18,230.050003,237.500000,222.000000,226.000000,221.047256,50914
2008-07-21,221.000000,227.449997,221.000000,224.699997,219.775742,4801
2008-07-22,229.850006,265.000000,222.000000,261.799988,256.062714,137866
2008-07-23,288.000000,294.399994,269.000000,277.799988,271.712067,66442
2008-07-24,283.000000,333.399994,276.000000,317.000000,310.053009,207871
2008-07-25,305.000000,319.000000,293.000000,295.149994,288.681854,54575
2008-07-28,312.899994,312.899994,290.000000,293.399994,286.970184,16739
2008-07-29,290.000000,294.450012,277.799988,281.250000,275.086456,10803
2008-07-30,290.000000,295.000000,284.000000,289.100006,282.764435,11459
2008-07-31,289.000000,294.899994,281.700012,289.600006,283.253510,9056
2008-08-01,284.000000,304.000000,282.100006,295.850006,289.366516,9861
2008-08-04,290.000000,309.000000,290.000000,293.399994,286.970184,9513
2008-08-05,293.750000,307.700012,293.750000,297.049988,290.540192,73329
2008-08-06,313.450012,313.450012,291.000000,291.250000,284.867340,20119
2008-08-07,288.000000,295.000000,288.000000,291.049988,284.671692,6108
2008-08-08,292.000000,294.899994,290.000000,291.000000,284.622803,10000
2008-08-11,295.000000,295.200012,282.299988,285.850006,279.585632,9230
2008-08-12,285.000000,312.899994,277.799988,295.049988,288.584015,14919
2008-08-13,290.000000,300.500000,284.000000,285.100006,278.852081,14390
2008-08-14,291.000000,291.000000,277.750000,279.899994,273.766052,14692
2008-08-18,277.799988,283.149994,272.000000,273.549988,267.555206,6914
2008-08-19,274.000000,274.600006,263.000000,265.899994,260.072845,4543
2008-08-20,263.299988,271.450012,255.000000,264.500000,258.703522,13306
2008-08-21,262.000000,265.000000,253.500000,255.350006,249.754059,5996
2008-08-22,245.000000,261.750000,245.000000,254.250000,248.678146,3080
2008-08-25,264.899994,265.000000,254.300003,256.649994,251.025574,3149
2008-08-26,263.000000,263.549988,255.000000,260.000000,254.302155,2882
2008-08-27,267.899994,267.899994,256.000000,258.399994,252.737213,3236
2008-08-28,255.649994,258.100006,255.100006,256.600006,250.976669,3775
2008-08-29,261.000000,280.000000,260.950012,271.700012,265.745758,51097
2008-09-01,270.000000,275.000000,263.350006,268.950012,263.056030,12672
2008-09-02,270.000000,284.500000,265.000000,279.049988,272.934662,219840
2008-09-04,276.000000,283.000000,265.049988,269.200012,263.300537,9652
2008-09-05,261.000000,270.000000,261.000000,267.799988,261.931183,10321
2008-09-08,271.000000,280.000000,271.000000,275.200012,269.169037,28110
2008-09-09,271.549988,277.000000,271.049988,274.899994,268.875610,2625
2008-09-10,270.000000,280.000000,270.000000,277.500000,271.418640,12530
2008-09-11,278.000000,284.000000,273.000000,275.000000,268.973419,40388
2008-09-12,279.500000,279.500000,270.149994,272.700012,266.723846,37448
2008-09-15,246.000000,260.000000,240.199997,255.000000,249.411713,8713
2008-09-16,230.000000,248.800003,230.000000,245.199997,239.826492,9321
2008-09-17,249.949997,249.949997,221.100006,231.800003,226.720139,8888
2008-09-18,225.000000,235.000000,209.000000,225.100006,220.166977,5988
2008-09-19,244.800003,250.000000,223.199997,226.000000,221.047256,14287
2008-09-22,233.000000,245.000000,230.000000,238.100006,232.882095,25573
2008-09-23,235.000000,238.500000,228.000000,229.800003,224.763977,2283
2008-09-24,235.949997,240.000000,230.300003,237.250000,232.050705,2457
2008-09-25,236.050003,241.699997,236.050003,240.100006,234.838257,11334
2008-09-26,242.750000,245.949997,225.000000,235.550003,230.387985,7017
2008-09-29,220.000000,230.000000,188.550003,196.750000,192.438263,47917
2008-09-30,188.850006,231.000000,188.000000,225.399994,220.460388,16581
2008-10-01,230.949997,230.949997,216.500000,228.149994,223.150131,11332
2008-10-03,210.500000,220.000000,206.850006,210.000000,205.397888,46866
2008-10-06,215.000000,215.000000,181.000000,184.449997,180.407806,11931
2008-10-07,186.350006,198.000000,167.050003,174.000000,170.186829,7418
2008-10-08,174.000000,175.000000,142.100006,153.949997,150.576202,13643
2008-10-10,140.000000,152.000000,123.199997,125.000000,122.260651,37613
2008-10-13,126.000000,128.800003,116.300003,125.000000,122.260651,87438
2008-10-14,134.949997,137.500000,134.850006,137.500000,134.486710,146875
2008-10-15,138.000000,147.000000,125.250000,129.500000,126.662033,362042
2008-10-16,118.000000,139.500000,118.000000,135.000000,132.041504,17971
2008-10-17,136.899994,142.949997,130.000000,130.600006,127.737930,9021
2008-10-20,132.100006,136.000000,131.000000,133.149994,130.232040,6613
2008-10-21,135.000000,137.000000,130.050003,133.600006,130.672180,30545
2008-10-22,132.000000,138.000000,130.000000,132.449997,129.547394,6846
2008-10-23,126.050003,142.000000,126.050003,135.399994,132.432724,40930
2008-10-24,132.000000,140.000000,125.000000,130.649994,127.786827,21232
2008-10-27,127.000000,143.750000,124.099998,140.600006,137.518784,17204
2008-10-29,153.850006,154.000000,130.100006,134.199997,131.259033,7944
2008-10-31,144.899994,147.600006,135.000000,144.199997,141.039886,13284
2008-11-03,154.000000,158.649994,149.899994,157.649994,154.195129,33693
2008-11-04,153.000000,170.000000,151.100006,167.899994,164.220505,18388
2008-11-05,160.500000,173.000000,159.500000,159.500000,156.004578,7282
2008-11-06,151.600006,161.949997,151.600006,151.600006,148.277725,2759
2008-11-07,150.000000,150.000000,144.050003,144.050003,140.893173,3063
2008-11-10,144.000000,151.250000,138.199997,140.050003,136.980835,14382
2008-11-11,137.000000,141.000000,133.050003,133.050003,130.134247,4855
2008-11-12,128.100006,128.800003,126.400002,126.400002,123.629974,5867
2008-11-14,126.050003,131.250000,120.099998,120.099998,117.468033,7301
2008-11-17,121.900002,123.000000,114.099998,114.099998,111.599518,4793
2008-11-18,114.000000,114.000000,108.400002,108.750000,106.366760,238676
2008-11-19,108.000000,109.000000,103.349998,103.349998,101.085106,13794
2008-11-20,99.199997,99.949997,98.199997,98.199997,96.047958,2969
2008-11-21,97.000000,97.000000,93.300003,93.300003,91.255356,4541
2008-11-24,88.699997,98.000000,88.699997,89.900002,87.929863,12273
2008-11-25,91.500000,94.349998,85.400002,85.400002,83.528473,13535
2008-11-26,85.500000,85.500000,81.150002,81.150002,79.371613,9654
2008-11-27,null,null,null,null,null,null
2008-11-28,77.099998,85.250000,77.099998,78.849998,77.122017,10965
2008-12-01,78.000000,79.900002,74.949997,75.849998,74.187759,10746
2008-12-02,75.000000,75.000000,72.199997,72.650002,71.057892,12604
2008-12-03,73.000000,73.000000,69.500000,70.099998,68.563774,14311
2008-12-04,70.000000,71.500000,66.900002,69.199997,67.683495,39288
2008-12-05,69.500000,72.699997,68.500000,69.199997,67.683495,36918
2008-12-08,70.599998,72.500000,69.000000,69.150002,67.634590,19573
2008-12-10,71.900002,72.500000,68.750000,70.000000,68.465958,34451
2008-12-11,72.000000,73.500000,70.550003,73.500000,71.889259,8583
2008-12-12,77.000000,77.199997,70.500000,77.199997,75.508179,5049
2008-12-15,80.900002,81.099998,80.900002,81.099998,79.322716,1721
2008-12-16,85.199997,85.199997,85.199997,85.199997,83.332863,1326
2008-12-17,89.500000,89.500000,88.050003,89.500000,87.538620,35799
2008-12-18,94.000000,94.000000,85.099998,94.000000,91.940010,23914
2008-12-19,97.650002,97.650002,97.650002,97.650002,96.537010,7273
2008-12-22,102.550003,102.550003,102.550003,102.550003,101.381165,1791
2008-12-23,107.699997,107.699997,107.599998,107.699997,106.472458,20417
2008-12-24,112.400002,112.400002,102.349998,105.849998,104.643539,35564
2008-12-26,105.300003,110.800003,100.599998,100.599998,99.453384,16377
2008-12-29,102.000000,102.000000,95.599998,98.150002,97.031311,15936
2008-12-30,99.000000,103.099998,99.000000,103.099998,101.924889,5123
2008-12-31,108.300003,108.300003,104.199997,108.300003,107.065620,15706
2009-01-02,113.750000,119.449997,108.099998,119.449997,118.088531,9047
2009-01-05,125.449997,125.449997,121.000000,125.449997,124.020149,7989
2009-01-06,131.750000,131.750000,127.000000,131.750000,130.248337,26131
2009-01-07,135.500000,138.350006,125.199997,125.199997,123.773003,27066
2009-01-09,125.199997,125.199997,118.949997,118.949997,117.594231,2885
2009-01-12,113.000000,115.750000,113.000000,113.000000,111.712059,3714
2009-01-13,107.349998,109.900002,107.349998,107.349998,106.126442,1850
2009-01-14,102.000000,110.000000,102.000000,104.900002,103.704376,21876
2009-01-15,104.099998,107.000000,99.650002,99.949997,98.810791,119244
2009-01-16,94.949997,104.500000,94.949997,100.800003,99.651108,7369
2009-01-19,103.849998,104.000000,98.050003,99.949997,98.810791,7160
2009-01-20,97.000000,101.800003,95.150002,99.650002,98.514214,5493
2009-01-21,96.300003,103.000000,94.699997,94.900002,93.818352,10073
2009-01-22,94.900002,95.500000,90.150002,90.150002,89.122490,4877
2009-01-23,91.000000,91.000000,85.650002,85.650002,84.673782,3091
2009-01-27,82.000000,87.000000,81.400002,81.400002,80.472221,5201
2009-01-28,81.900002,85.500000,78.000000,79.650002,78.742172,38125
2009-01-29,80.000000,80.000000,75.699997,78.000000,77.110970,24143
2009-01-30,78.000000,81.099998,75.000000,81.099998,80.175636,47013
2009-02-02,80.000000,81.949997,77.050003,77.349998,76.468384,17106
2009-02-03,80.300003,80.300003,73.599998,76.900002,76.023514,11047
2009-02-04,78.800003,78.800003,73.050003,73.599998,72.761124,14782
2009-02-05,75.900002,75.900002,70.550003,72.449997,71.624229,19964
2009-02-06,73.000000,74.949997,72.800003,73.199997,72.365685,18619
2009-02-09,73.500000,75.500000,71.699997,73.550003,72.711700,21160
2009-02-10,73.000000,77.250000,72.000000,73.599998,72.761124,86570
2009-02-11,71.900002,73.500000,70.000000,72.449997,71.624229,36349
2009-02-12,73.500000,73.500000,70.300003,71.250000,70.437912,28814
2009-02-13,72.000000,73.500000,71.500000,72.150002,71.327652,31440
2009-02-16,72.500000,75.000000,72.000000,72.099998,71.278221,18136
2009-02-17,72.000000,72.900002,71.800003,72.199997,71.377083,119603
2009-02-18,72.199997,72.500000,70.099998,71.300003,70.487343,97044
2009-02-19,70.699997,71.949997,69.050003,69.699997,68.905571,12777
2009-02-20,69.000000,70.199997,66.500000,69.050003,68.262993,8891
2009-02-24,69.800003,69.800003,65.699997,67.400002,66.631790,13824
2009-02-25,68.599998,69.000000,66.650002,67.349998,66.582359,11371
2009-02-26,67.900002,69.849998,66.000000,67.150002,66.384644,8109
2009-02-27,69.000000,70.550003,65.099998,65.949997,65.198311,32697
2009-03-02,66.199997,66.199997,64.500000,64.599998,63.863701,12102
2009-03-03,66.000000,67.000000,63.500000,64.900002,64.160286,339521
2009-03-04,65.949997,65.949997,62.400002,64.000000,63.270542,7187
2009-03-05,65.000000,65.000000,62.500000,62.750000,62.034790,9019
2009-03-06,64.750000,71.000000,60.099998,67.449997,66.681213,168940
2009-03-09,61.000000,67.250000,61.000000,63.950001,63.221115,9328
2009-03-12,66.000000,66.000000,62.099998,62.799999,62.084217,7712
2009-03-13,64.949997,65.500000,62.700001,64.500000,63.764843,7011
2009-03-16,66.949997,66.949997,64.300003,65.449997,64.704010,9546
2009-03-17,66.300003,68.000000,64.150002,64.550003,63.814274,13472
2009-03-18,66.000000,70.500000,64.099998,64.349998,63.616550,34451
2009-03-19,65.650002,66.900002,64.800003,66.000000,65.247749,73659
2009-03-20,65.099998,66.449997,64.099998,65.050003,64.308578,357549
2009-03-23,65.500000,66.500000,64.349998,66.099998,65.346611,20804
2009-03-24,67.900002,72.849998,66.099998,67.300003,66.532936,58566
2009-03-25,68.750000,76.900002,65.599998,71.849998,71.031067,161244
2009-03-26,73.050003,76.000000,71.099998,71.949997,71.129929,53907
2009-03-27,71.099998,76.000000,71.099998,74.250000,73.403717,47711
2009-03-30,72.400002,81.000000,72.400002,76.750000,75.875221,71867
2009-03-31,78.000000,79.650002,74.099998,75.349998,74.491173,25217
2009-04-01,75.199997,80.099998,74.500000,77.099998,76.221237,28531
2009-04-02,79.400002,86.949997,62.599998,83.349998,82.399994,142730
2009-04-06,87.500000,95.000000,80.500000,87.349998,86.354408,203815
2009-04-08,87.000000,104.849998,83.199997,104.849998,103.654938,180443
2009-04-09,110.000000,115.349998,107.050003,115.349998,114.035263,379069
2009-04-13,115.349998,124.000000,115.349998,119.500000,118.137962,147293
2009-04-15,119.000000,126.000000,116.199997,121.800003,120.411758,102776
2009-04-16,125.949997,126.150002,109.650002,119.550003,118.187401,907095
2009-04-17,120.000000,120.000000,107.599998,108.599998,107.362206,92601
2009-04-20,108.699997,117.000000,108.699997,111.400002,110.130287,56026
2009-04-21,111.000000,111.000000,102.400002,108.650002,107.411636,32133
2009-04-22,109.000000,119.000000,106.000000,107.699997,106.472458,27058
2009-04-23,107.500000,111.900002,97.250000,104.150002,102.962921,47164
2009-04-24,110.949997,111.000000,102.050003,108.349998,107.115051,41246
2009-04-27,108.000000,114.000000,106.000000,107.449997,106.225311,42183
2009-04-28,105.000000,107.000000,96.699997,96.900002,95.795563,76954
2009-04-29,99.800003,99.900002,88.000000,94.550003,93.472343,128346
2009-04-30,97.000000,97.000000,97.000000,97.000000,95.894417,0
2009-05-04,97.000000,101.900002,96.650002,100.250000,99.107368,49849
2009-05-05,101.500000,104.800003,99.000000,104.250000,103.061783,51628
2009-05-06,97.000000,114.000000,97.000000,107.949997,106.719612,110569
2009-05-07,113.500000,116.000000,108.000000,110.949997,109.685417,41891
2009-05-08,112.800003,116.000000,106.000000,110.550003,109.289986,38248
2009-05-11,110.050003,113.949997,105.500000,107.349998,106.126442,44475
2009-05-12,115.199997,127.949997,112.949997,116.099998,114.776718,193328
2009-05-13,119.000000,119.000000,110.000000,110.949997,109.685417,35065
2009-05-14,105.000000,114.400002,104.550003,111.650002,110.377441,25624
2009-05-15,114.699997,114.699997,110.000000,110.500000,109.240547,30160
2009-05-18,122.000000,122.000000,122.000000,122.000000,120.609467,800
2009-05-19,128.000000,146.399994,100.199997,146.399994,144.731369,146443
2009-05-20,143.350006,175.699997,143.100006,175.699997,173.697418,52283
2009-05-21,184.300003,193.300003,184.300003,193.300003,191.096817,43550
2009-05-22,199.949997,212.649994,195.000000,212.649994,210.226257,13826
2009-05-25,233.949997,233.949997,221.050003,233.949997,231.283478,96667
2009-05-26,257.299988,257.350006,215.800003,223.250000,220.705444,79162
2009-05-27,236.000000,245.000000,227.000000,230.449997,227.823380,35959
2009-05-28,235.000000,235.000000,218.949997,218.949997,216.454468,18832
2009-05-29,224.949997,229.899994,218.100006,229.899994,227.279648,35566
2009-06-01,238.699997,241.399994,235.000000,241.399994,238.648575,33603
2009-06-02,247.300003,252.899994,230.000000,244.250000,241.466095,36377
2009-06-03,250.649994,256.399994,232.100006,235.199997,232.519241,31686
2009-06-04,240.000000,246.100006,225.600006,230.500000,227.872818,22150
2009-06-05,232.000000,241.899994,222.000000,233.850006,231.184631,38797
2009-06-08,240.800003,240.800003,222.199997,222.199997,219.667419,10629
2009-06-09,215.000000,218.000000,211.100006,214.350006,211.906891,17163
2009-06-10,213.000000,219.550003,203.649994,204.949997,202.614029,21800
2009-06-11,202.000000,202.000000,194.699997,194.699997,192.480865,13370
2009-06-12,194.899994,197.699997,185.000000,185.199997,183.089127,18572
2009-06-15,184.000000,189.000000,175.949997,176.300003,174.290573,16508
2009-06-16,169.100006,185.149994,167.500000,185.149994,183.039688,27225
2009-06-17,193.899994,194.449997,175.899994,180.199997,178.146118,33700
2009-06-18,184.300003,184.300003,171.250000,174.600006,172.609955,12401
2009-06-19,178.000000,182.000000,169.000000,178.800003,176.762085,21697
2009-06-22,177.500000,184.000000,173.000000,174.300003,172.313370,6626
2009-06-23,173.000000,174.000000,166.000000,172.500000,170.533890,8153
2009-06-24,173.500000,181.149994,171.100006,181.149994,179.085281,6951
2009-06-25,186.000000,190.250000,184.899994,190.250000,188.081573,8149
2009-06-26,195.000000,198.000000,185.050003,188.550003,186.400955,12087
2009-06-29,190.000000,198.000000,186.550003,196.750000,194.507492,22723
2009-06-30,195.850006,201.300003,186.949997,188.000000,185.857224,28674
2009-07-01,189.899994,193.699997,182.500000,187.300003,185.165192,12356
2009-07-02,186.000000,194.000000,182.000000,191.449997,189.267883,21615
2009-07-03,188.250000,192.899994,188.250000,191.300003,189.119614,20981
2009-07-06,191.000000,197.600006,191.000000,194.399994,192.184265,67413
2009-07-07,194.399994,195.000000,190.000000,191.500000,189.317322,26646
2009-07-08,188.050003,190.000000,175.149994,184.399994,182.298233,11741
2009-07-09,185.500000,186.500000,181.500000,183.050003,180.963638,23734
2009-07-10,182.000000,186.000000,180.100006,183.000000,180.914215,13385
2009-07-13,181.250000,184.949997,178.000000,181.750000,179.678467,12381
2009-07-14,190.000000,198.000000,179.000000,180.550003,178.492142,5619
2009-07-15,185.000000,186.899994,179.000000,181.800003,179.727890,6330
2009-07-16,190.100006,217.000000,180.000000,207.199997,204.838379,39680
2009-07-17,209.000000,227.000000,201.100006,203.000000,200.686264,47933
