Date,open,high,low,close,adj_close,volume
2007-03-09,34.599998,34.599998,32.049999,33.750000,33.023674,39962
2007-03-12,34.000000,34.500000,32.650002,33.750000,33.023674,4000
2007-03-13,35.049999,37.500000,34.599998,36.549999,35.763412,6900
2007-03-14,36.000000,37.000000,34.549999,35.750000,34.980633,6800
2007-03-15,36.650002,37.950001,34.799999,36.200001,35.420948,11500
2007-03-16,35.299999,36.250000,34.500000,35.950001,35.176327,1100
2007-03-19,35.849998,37.849998,35.000000,35.400002,34.638165,2688
2007-03-20,36.750000,38.750000,36.049999,36.900002,36.105885,7349
2007-03-21,36.400002,37.599998,36.400002,37.200001,36.399426,2699
2007-03-22,36.700001,41.000000,32.000000,39.599998,38.747776,1447418
2007-03-23,37.500000,41.500000,37.500000,40.250000,39.383789,28808
2007-03-26,42.500000,42.799999,38.700001,39.450001,38.601006,14519
2007-03-28,39.900002,39.900002,36.299999,37.750000,36.937592,5587
2007-03-29,38.349998,39.500000,37.400002,39.299999,38.454231,3085
2007-03-30,39.950001,40.900002,39.700001,40.000000,39.139168,5976
2007-04-02,38.049999,38.250000,37.000000,38.049999,37.231133,5500
2007-04-03,37.700001,37.950001,37.049999,37.250000,36.448349,603
2007-04-04,38.000000,39.000000,37.049999,38.599998,37.769295,1800
2007-04-05,39.299999,39.299999,37.200001,37.549999,36.741894,1126
2007-04-09,37.000000,41.000000,37.000000,39.849998,38.992393,11518
2007-04-10,40.000000,40.000000,38.750000,39.400002,38.552082,5800
2007-04-11,39.500000,40.500000,39.500000,39.900002,39.041321,18015
2007-04-12,40.000000,40.250000,38.599998,38.700001,37.867146,2000
2007-04-13,39.750000,40.000000,39.349998,39.450001,38.601006,2600
2007-04-16,39.099998,40.450001,38.650002,38.799999,37.964993,5900
2007-04-17,39.349998,39.349998,38.099998,38.099998,37.280056,1190
2007-04-18,37.750000,39.650002,37.549999,38.200001,37.377907,3800
2007-04-19,38.750000,38.750000,37.750000,38.099998,37.280056,2100
2007-04-20,38.650002,39.700001,38.049999,38.349998,37.524677,7200
2007-04-23,39.200001,45.150002,39.200001,43.099998,42.172451,244300
2007-04-24,43.500000,45.349998,40.549999,41.450001,40.557964,89200
2007-04-25,42.000000,43.000000,39.599998,40.000000,39.139168,64800
2007-04-26,38.599998,41.700001,38.599998,39.000000,38.160690,12400
2007-04-27,39.849998,39.849998,38.500000,39.000000,38.160690,10200
2007-04-30,39.049999,39.049999,38.000000,38.450001,37.622528,3300
2007-05-03,37.900002,38.500000,37.150002,37.799999,36.986515,10100
2007-05-04,39.000000,39.000000,31.750000,37.349998,36.546196,16200
2007-05-07,37.950001,38.400002,37.150002,37.349998,36.546196,5000
2007-05-08,38.000000,40.900002,36.500000,37.299999,36.497272,57600
2007-05-09,37.849998,37.849998,36.549999,37.000000,36.203732,72800
2007-05-10,36.849998,37.900002,36.599998,37.000000,36.203732,6600
2007-05-11,37.000000,37.000000,36.000000,36.200001,35.420948,13100
2007-05-14,38.299999,38.299999,35.349998,35.700001,34.931709,5100
2007-05-15,39.000000,39.000000,35.099998,35.450001,34.687088,16800
2007-05-16,35.750000,35.900002,34.599998,35.099998,34.344620,5100
2007-05-17,36.900002,36.900002,35.400002,35.549999,34.784935,4800
2007-05-18,36.000000,36.000000,34.549999,35.150002,34.393547,5700
2007-05-21,35.750000,35.750000,34.000000,34.950001,34.197849,21000
2007-05-22,35.500000,35.500000,33.599998,34.049999,33.317215,7100
2007-05-23,34.799999,34.799999,32.900002,33.049999,32.338737,21200
2007-05-24,32.750000,32.750000,31.000000,31.400000,30.724247,27300
