Date,open,high,low,close,adj_close,volume
2002-07-01,11.000000,15.800000,11.000000,13.200000,11.229478,15155
2002-07-02,13.000000,13.500000,12.800000,13.000000,11.059336,3376
2002-07-03,12.500000,12.950000,12.150000,12.650000,10.761583,5826
2002-07-04,12.300000,12.300000,12.100000,12.200000,10.378760,500
2002-07-05,12.350000,13.400000,12.100000,12.200000,10.378760,9183
2002-07-08,12.500000,13.900000,12.500000,13.850000,11.782445,7392
2002-07-09,13.950000,13.950000,13.000000,13.050000,11.101871,2318
2002-07-10,12.900000,13.100000,12.900000,13.100000,11.144407,3524
2002-07-11,13.050000,13.250000,12.650000,13.050000,11.101871,2784
2002-07-12,12.400000,12.700000,12.050000,12.350000,10.506370,2757
2002-07-15,11.800000,11.900000,10.800000,11.650000,9.910865,5236
2002-07-16,11.050000,12.000000,11.000000,11.000000,9.357899,1178
2002-07-17,11.000000,11.100000,11.000000,11.050000,9.400434,727
2002-07-18,11.000000,11.500000,11.000000,11.400000,9.698186,1251
2002-07-19,11.200000,11.200000,11.000000,11.000000,9.357899,1551
2002-07-22,10.700000,10.700000,9.400000,10.500000,8.932541,1278
2002-07-23,10.250000,10.250000,10.250000,10.250000,8.719861,250
2002-07-24,11.150000,11.150000,10.900000,10.950000,9.315363,450
2002-07-25,10.100000,10.600000,10.100000,10.250000,8.719861,933
2002-07-26,9.800000,10.000000,9.500000,10.000000,8.507180,1400
2002-07-29,10.000000,10.000000,10.000000,10.000000,8.507180,500
2002-07-30,10.100000,10.100000,10.000000,10.000000,8.507180,101
2002-07-31,9.100000,9.100000,9.000000,9.050000,7.698998,667
2002-08-01,10.000000,10.000000,8.800000,9.000000,7.656462,670
2002-08-02,8.000000,9.900000,8.000000,9.900000,8.422109,201
2002-08-05,9.000000,9.000000,9.000000,9.000000,7.656462,1600
2002-08-06,8.000000,8.600000,8.000000,8.600000,7.316176,26
2002-08-07,8.800000,9.250000,8.800000,9.250000,7.869142,140
2002-08-08,8.000000,8.600000,8.000000,8.200000,6.975888,801
2002-08-09,7.650000,8.500000,7.650000,8.500000,7.231104,501
2002-08-12,7.250000,9.700000,7.250000,9.600000,8.166895,4
2002-08-13,7.900000,10.050000,7.850000,9.000000,7.656462,11984
2002-08-14,8.100000,9.000000,8.100000,8.700000,7.401247,7514
2002-08-15,null,null,null,null,null,null
2002-08-16,9.700000,9.700000,8.250000,8.700000,7.401247,7006
2002-08-19,8.500000,8.500000,8.500000,8.500000,7.231104,525
2002-08-20,8.300000,8.500000,8.250000,8.500000,7.231104,10002
2002-08-21,7.800000,8.500000,7.800000,8.500000,7.231104,11001
2002-08-22,8.550000,9.000000,8.250000,8.450000,7.188568,16385
2002-08-23,8.500000,8.500000,8.500000,8.500000,7.231104,5000
2002-08-26,8.300000,8.300000,8.000000,8.000000,6.805745,10100
2002-08-27,8.100000,8.100000,8.000000,8.000000,6.805745,10000
2002-08-28,8.000000,8.000000,8.000000,8.000000,6.805745,10000
2002-08-29,8.100000,8.100000,8.100000,8.100000,6.890817,1
2002-08-30,8.000000,8.400000,8.000000,8.000000,6.805745,10700
2002-09-02,9.600000,9.600000,7.800000,9.000000,7.656462,203
2002-09-03,8.150000,8.150000,8.000000,8.000000,6.805745,10000
2002-09-04,8.500000,8.500000,8.500000,8.500000,7.231104,10
2002-09-05,null,null,null,null,null,null
2002-09-06,7.250000,7.750000,7.250000,7.750000,6.593065,512
2002-09-09,7.850000,7.850000,7.500000,7.500000,6.380386,700
2002-09-10,null,null,null,null,null,null
2002-09-11,7.550000,7.550000,7.550000,7.550000,6.422922,26
2002-09-12,null,null,null,null,null,null
2002-09-13,8.500000,8.500000,7.600000,8.200000,6.975888,701
2002-09-16,8.900000,9.500000,8.900000,9.150000,7.784070,33
2002-09-17,7.750000,7.750000,7.750000,7.750000,6.593065,28
2002-09-18,null,null,null,null,null,null
2002-09-19,6.500000,7.950000,6.500000,7.950000,6.763208,502
2002-09-20,7.250000,7.500000,7.250000,7.450000,6.337850,1051
2002-09-23,7.450000,7.500000,6.600000,7.100000,6.040098,637
2002-09-24,7.000000,7.100000,7.000000,7.000000,5.955027,2299
2002-09-25,6.650000,8.200000,6.650000,7.600000,6.465457,203
2002-09-26,6.500000,9.000000,6.500000,8.650000,7.358712,10
2002-09-27,7.150000,8.650000,7.150000,8.650000,7.358712,4
2002-09-30,9.000000,9.000000,7.250000,7.850000,6.678137,1139
2002-10-01,7.700000,7.700000,7.700000,7.700000,6.550529,600
2002-10-02,null,null,null,null,null,null
2002-10-03,7.100000,7.100000,6.900000,6.900000,5.869955,1619
2002-10-04,7.000000,7.250000,7.000000,7.100000,6.040098,746
2002-10-07,7.000000,7.000000,6.800000,6.850000,5.827419,1054
2002-10-08,null,null,null,null,null,null
2002-10-09,6.800000,8.000000,6.800000,7.500000,6.380386,373
2002-10-10,6.250000,6.250000,6.250000,6.250000,5.316988,50
2002-10-11,7.000000,7.500000,7.000000,7.500000,6.380386,1150
