Date,open,high,low,close,adj_close,volume
2002-07-01,12.950000,13.450000,12.850000,13.300000,9.511405,1925
2002-07-02,13.950000,13.950000,13.100000,13.150000,9.404132,1950
2002-07-03,13.700000,13.700000,13.050000,13.050000,9.332617,1300
2002-07-04,13.050000,13.500000,12.850000,13.350000,9.547160,3200
2002-07-05,13.000000,13.650000,13.000000,13.150000,9.404132,560
2002-07-08,13.750000,14.500000,13.500000,14.000000,10.012004,1883
2002-07-09,14.000000,14.600000,13.850000,13.850000,9.904733,2600
2002-07-10,14.850000,14.850000,13.100000,13.550000,9.690189,2241
2002-07-11,12.900000,13.350000,12.850000,13.000000,9.296859,1026
2002-07-12,12.500000,13.200000,12.500000,12.800000,9.153833,1086
2002-07-15,13.150000,13.150000,11.700000,11.850000,8.474448,203
2002-07-16,12.000000,13.000000,11.500000,11.750000,8.402931,820
2002-07-17,11.100000,12.150000,11.100000,12.050000,8.617474,400
2002-07-18,11.900000,11.950000,11.900000,11.950000,8.545961,200
2002-07-19,11.900000,11.900000,11.550000,11.550000,8.259904,300
2002-07-22,10.600000,10.600000,10.600000,10.600000,7.580517,500
2002-07-23,11.300000,11.300000,11.300000,11.300000,8.081117,50
2002-07-24,11.500000,11.500000,11.500000,11.500000,8.224147,2075
2002-07-25,null,null,null,null,null,null
2002-07-26,9.650000,10.050000,9.650000,9.850000,7.044159,201
2002-07-29,9.850000,10.500000,9.850000,10.500000,7.509003,592
2002-07-30,9.500000,9.500000,9.250000,9.300000,6.650832,750
2002-07-31,8.100000,8.100000,8.100000,8.100000,5.792659,10
2002-08-01,7.100000,8.550000,7.100000,8.550000,6.114473,110
2002-08-02,7.750000,8.200000,7.750000,8.200000,5.864174,101
2002-08-05,9.200000,9.200000,9.200000,9.200000,6.579316,200
2002-08-06,9.200000,9.200000,9.200000,9.200000,6.579316,150
2002-08-07,8.050000,8.050000,8.050000,8.050000,5.756903,1
2002-08-08,null,null,null,null,null,null
2002-08-09,7.800000,9.550000,7.800000,9.300000,6.650832,12
2002-08-12,8.300000,8.300000,8.300000,8.300000,5.935689,1
2002-08-13,8.050000,9.900000,8.050000,9.900000,7.079916,2
2002-08-14,9.000000,9.400000,8.900000,8.950000,6.400531,300
2002-08-15,null,null,null,null,null,null
2002-08-16,9.800000,9.800000,9.800000,9.800000,7.008403,1
2002-08-19,9.500000,9.800000,9.500000,9.800000,7.008403,100
2002-08-20,9.100000,9.100000,9.100000,9.100000,6.507804,100
2002-08-21,8.000000,8.900000,8.000000,8.900000,6.364773,100
2002-08-22,9.950000,10.000000,8.750000,9.050000,6.472045,1000
2002-08-23,9.450000,9.450000,8.750000,9.200000,6.579316,3
2002-08-26,9.800000,9.800000,8.700000,8.700000,6.221745,51
2002-08-27,null,null,null,null,null,null
2002-08-28,9.400000,10.450000,8.550000,10.450000,7.473246,2800
2002-08-29,10.750000,10.750000,10.100000,10.750000,7.687788,689
2002-08-30,11.100000,11.100000,10.650000,10.700000,7.652032,500
2002-09-02,9.100000,9.100000,9.100000,9.100000,6.507804,1
2002-09-03,8.150000,10.600000,8.150000,10.600000,7.580517,200
2002-09-04,10.000000,10.000000,8.500000,9.050000,6.472045,1300
2002-09-05,null,null,null,null,null,null
2002-09-06,null,null,null,null,null,null
2002-09-09,9.150000,9.150000,9.100000,9.100000,6.507804,200
2002-09-10,null,null,null,null,null,null
2002-09-11,8.400000,9.650000,8.400000,9.650000,6.901131,752
2002-09-12,9.450000,9.500000,9.450000,9.500000,6.793859,200
2002-09-13,10.000000,10.100000,10.000000,10.100000,7.222946,450
2002-09-16,9.000000,9.000000,9.000000,9.000000,6.436288,100
2002-09-17,8.250000,10.250000,8.250000,10.250000,7.330217,1000
2002-09-18,9.100000,9.150000,8.700000,8.850000,6.329017,800
2002-09-19,8.100000,9.000000,8.100000,8.950000,6.400531,500
2002-09-20,9.750000,9.750000,9.750000,9.750000,6.972646,8000
2002-09-23,8.750000,9.350000,8.200000,8.350000,5.971446,600
2002-09-24,8.200000,9.450000,8.200000,8.600000,6.150231,753
2002-09-25,8.150000,10.150000,8.150000,9.500000,6.793859,1500
2002-09-26,8.300000,8.300000,8.300000,8.300000,5.935689,1
2002-09-27,8.800000,8.800000,8.800000,8.800000,6.293260,69
2002-09-30,8.550000,8.550000,8.550000,8.550000,6.114473,100
2002-10-01,8.700000,9.250000,8.000000,8.350000,6.342343,3000
2002-10-02,null,null,null,null,null,null
2002-10-03,7.500000,9.150000,7.500000,9.150000,6.949993,3
2002-10-04,10.800000,10.800000,8.250000,8.950000,6.798080,4
2002-10-07,10.400000,10.400000,10.400000,10.400000,7.899444,1
2002-10-08,8.650000,9.300000,8.500000,8.600000,6.532234,1066
2002-10-09,7.550000,8.750000,7.550000,8.400000,6.380320,14
2002-10-10,null,null,null,null,null,null
2002-10-11,7.900000,7.900000,7.900000,7.900000,6.000539,1
2002-10-14,9.450000,9.450000,7.600000,8.500000,6.456276,100
2002-10-15,null,null,null,null,null,null
2002-10-16,8.050000,8.150000,8.050000,8.150000,6.190429,100
2002-10-17,9.500000,9.500000,8.250000,8.600000,6.532234,500
2002-10-18,9.400000,9.400000,8.250000,8.750000,6.646168,100
2002-10-21,9.500000,9.500000,8.300000,8.700000,6.608189,13
2002-10-22,10.000000,10.000000,10.000000,10.000000,7.595620,1
